message=cataloging configuration,power_limit=75.000000,max_threads=112,
message=reducing available power by the sum of launched tasks,avail_before=75.000000,sum_power=68.206061,avail_after=6.793939,
start_task=,name=potrf,tick=1,start_time=586463.271210,nthreads=61,
end_task=,name=potrf,elapsed_seconds=0.519952,nthreads=61,end_time=586463.792968,released_listeners=5,
message=reducing available power by the sum of launched tasks,avail_before=75.000000,sum_power=71.705595,avail_after=3.294405,
start_task=,name=trsm,tick=2,start_time=586463.803874,nthreads=4,
start_task=,name=trsm,tick=2,start_time=586463.803902,nthreads=2,
start_task=,name=trsm,tick=2,start_time=586463.803924,nthreads=2,
start_task=,name=trsm,tick=2,start_time=586463.804270,nthreads=2,
start_task=,name=trsm,tick=2,start_time=586463.804317,nthreads=2,
end_task=,name=trsm,elapsed_seconds=0.320823,nthreads=4,end_time=586464.137560,released_listeners=5,
message=reducing available power by the sum of launched tasks,avail_before=20.719192,sum_power=20.211500,avail_after=0.507692,
start_task=,name=syrk,tick=3,start_time=586464.137620,nthreads=9,
end_task=,name=trsm,elapsed_seconds=0.463194,nthreads=2,end_time=586464.268865,released_listeners=5,
message=reducing available power by the sum of launched tasks,avail_before=14.077894,sum_power=11.553922,avail_after=2.523973,
start_task=,name=syrk,tick=4,start_time=586464.268946,nthreads=1,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
message=reducing available power by the sum of launched tasks,avail_before=2.523973,sum_power=0.000000,avail_after=2.523973,
