nthreads,energy,time
1,22123.8,195.091
4,6820.6,55.2989
5,5792.95,46.3468
6,5117.35,40.3954
7,4729.35,36.5023
8,4438.15,33.4529
9,4128.95,30.4816
10,3843.55,28.0007
11,3658.65,26.7442
12,3478.75,25.2566
13,3344.8,23.697
14,3190.5,23.1523
15,3174.85,22.6873
16,3013,21.955
17,3158.55,22.2888
18,3075.35,21.3928
19,3150.6,20.7055
20,2968.6,20.1512
21,3006.5,20.1549
22,2732.3,19.0926
23,2936.05,18.7072
24,2739.25,17.9677
25,2783.35,17.747
26,2411.25,15.659
27,2348.2,15.109
28,2248.85,14.0391
29,1999.3,12.75
30,1934.1,12.037
31,1707.75,10.8572
32,1527.15,9.79655
33,1488.75,9.29969
34,1512,9.63703
35,1349.8,8.54605
36,1454.1,8.96535
37,1314.15,8.16199
38,1241.15,7.84985
39,1134.25,7.00612
40,1229.35,7.64526
41,1312.35,8.25131
42,1169.2,7.33892
43,1188.4,7.28511
44,1076.5,6.55075
45,1100.7,6.74409
46,1037.35,6.34103
47,1215.85,7.23618
48,853.1,5.11242
49,1002.7,5.94155
50,914.2,5.38994
51,1004.8,5.98691
52,947.4,5.61126
53,1060.5,6.28217
54,964.9,5.66477
55,1062.95,6.19837
56,1019.5,5.84937
57,1077.05,6.18641
58,1577.35,9.19514
59,1766,10.1986
60,1756.85,10.1315
61,1704.1,9.76633
62,1698.15,9.58538
63,1561.85,8.99222
64,1658.6,9.49025
65,1630.4,9.14213
66,1503.15,8.34927
67,1551.6,8.66601
68,1576.1,8.78922
69,1494.6,8.29899
70,1446.4,8.15608
71,1397.5,7.62595
72,1473.85,8.20601
73,1396.8,7.79176
74,1536,8.5854
75,1318.45,7.33183
76,1293.35,7.1559
77,1225.85,6.69272
78,1216,6.64392
79,1341.05,7.2403
80,1297.6,7.06108
81,1323.35,7.1422
82,1198.85,6.50487
83,1146.3,6.16045
84,1127.45,6.05454
85,1206.65,6.58775
86,1177.8,6.50772
87,1209.15,6.53782
88,1149.6,6.1827
89,1159.95,6.19213
90,1110.95,6.05053
91,1114.2,6.11147
92,963.1,5.31114
93,903.25,4.93114
94,959.25,5.17744
95,1060.5,5.85273
96,1030.15,5.60553
97,1094.25,5.95118
98,888.4,4.77566
99,890.05,4.84956
100,986.6,5.33307
101,1040.05,5.74188
102,1074.1,5.76161
103,1040.85,5.67706
104,1042.7,5.70015
105,912.75,5.04372
106,879.5,4.80343
107,990.25,5.38806
108,830.95,4.54156
109,934.1,5.07231
110,956.8,5.21212
111,872.75,4.6818
112,816.2,4.5015
113,793.25,4.32829
114,910.4,4.99655
115,1214.6,6.63696
116,1159.1,6.34134
117,1294.05,7.10225
118,1111.35,6.13694
119,1165.3,6.32072
120,1115.8,6.07926
121,1172.3,6.40219
122,1312.65,7.08954
123,1261.8,6.74716
124,1081.55,5.8391
125,1227.5,6.59502
126,1241.55,6.63442
127,1080.4,5.91118
128,1140.8,6.16254
129,1163.3,6.22651
130,1043.35,5.63442
131,1100.6,5.90971
132,1120.3,6.00311
133,1106,6.00598
134,1103.55,5.9419
135,1075.6,5.73492
136,1118.95,6.02496
137,1108.85,5.91244
138,1017.1,5.39258
139,971.7,5.15286
140,984.55,5.18754
141,1091.3,5.7868
142,1142.7,6.15255
143,932.95,5.0606
144,976.65,5.18198
145,1048.9,5.60849
146,1037.4,5.54874
147,1068.85,5.69553
148,1051.3,5.64247
149,976.6,5.22743
150,1004.2,5.38846
151,987,5.25121
152,953.55,5.09558
153,859.9,4.66691
154,984.55,5.22173
155,992.9,5.2883
156,962.85,5.1325
157,961.8,5.08094
158,1004.95,5.30396
159,959.15,5.08364
160,872.85,4.65657
161,987.9,5.17741
162,932.95,4.93559
163,907.05,4.81968
164,888.15,4.69861
165,996.9,5.22303
166,926.1,4.89812
167,951.45,5.05539
168,962.15,5.13917
169,925.6,4.84512
170,1028.55,5.44265
171,1009.9,5.28893
172,995.05,5.33422
173,1034.1,5.48786
174,1323.6,6.99463
175,1062.45,5.60112
176,1134.5,6.03679
177,962.3,5.10479
178,1053.85,5.5393
179,1118.4,5.95473
180,1147.15,6.05639
181,1095.7,5.7415
182,1120.5,5.90972
183,1216.5,6.32833
184,1158.95,6.09552
185,1065.1,5.57853
186,1056.05,5.53782
187,953.8,4.93891
188,1130.6,5.84147
189,1158.95,6.05075
190,1126,5.89292
191,1107.95,5.78271
192,1124.2,5.90438
193,1074.35,5.57691
194,1132.8,5.88395
195,1044.45,5.53479
196,1085.5,5.69642
197,1034.55,5.4554
198,1096.9,5.69222
199,1182.95,6.07294
200,1069,5.537
201,1068,5.55202
202,1052.2,5.38884
203,1051.9,5.42839
204,1131.8,5.93035
205,1037.9,5.39382
206,1055.85,5.48019
207,1075.4,5.63702
208,1016,5.24133
209,1057.3,5.48498
210,1079.65,5.59118
211,1061.55,5.53619
212,1058.35,5.49765
213,1076.4,5.60141
214,1011,5.30195
215,984.25,5.1059
216,971.7,5.04867
217,1020.4,5.28697
218,967.05,4.98751
219,970.45,4.99602
220,1021.15,5.29823
221,1065.05,5.536
222,997.8,5.2267
223,1102.55,5.69318
224,1015.75,5.22952
225,1055.4,5.54663
226,1069.6,5.58134
227,1029.9,5.38232
228,950,4.89488
