nthreads,energy,time
1,21997.8,196.741
4,6742.25,55.9859
5,5597.65,45.2407
6,4927.5,39.2642
7,4365.1,34.5457
8,3997.1,31.5597
9,3795.55,29.4364
10,3560.8,27.4525
11,3424.15,26.1559
12,3179.3,24.1329
13,3135.9,23.478
14,3129.2,23.2761
15,3014.15,21.9893
16,2993.15,21.6004
17,2926.2,21.9037
18,2793.05,20.0887
19,2625.25,19.3057
20,2635.7,19.1853
21,2524.35,18.3901
22,2570.15,18.052
23,2526.3,17.1427
24,2451.95,16.8532
25,2390.35,16.1097
26,2258.8,14.6768
27,2042.5,13.2665
28,1904.8,12.7067
29,1840.9,12.0021
30,1602.3,10.5817
31,1570.4,10.4817
32,1456,9.40083
33,1302.25,8.55376
34,1423.75,9.30413
35,1325.9,8.50817
36,1178.1,7.61775
37,1215.5,7.78978
38,1128.45,7.14438
39,1072.9,6.8099
40,978.85,6.1451
41,1039.5,6.60448
42,1138.55,7.166
43,1132.7,7.09165
44,1031.1,6.43073
45,944.35,5.84546
46,1024.95,6.34483
47,1001.2,6.10597
48,866.05,5.24592
49,1054.45,6.38455
50,888.3,5.29204
51,990.75,5.88638
52,987.55,5.87677
53,857.6,5.11562
54,921.9,5.49353
55,903,5.25069
56,863.2,5.04551
57,878,5.0384
58,1531,9.0398
59,1680.1,9.85252
60,1597.35,9.42788
61,1457.75,8.56444
62,1492.7,8.72723
63,1486.65,8.65227
64,1553.65,8.94965
65,1528.5,8.68398
66,1513.85,8.60699
67,1398,7.99662
68,1464.05,8.40432
69,1541.7,8.69114
70,1231.85,7.0382
71,1306.6,7.43754
72,1254.35,7.13564
73,1311.05,7.42485
74,1341.9,7.59588
75,1251,6.94493
76,1227.45,6.84575
77,1143.45,6.4624
78,1045.35,5.85907
79,1225.95,6.74157
80,1165.95,6.48703
81,1243.5,6.9331
82,1079.4,5.96056
83,1080,5.94763
84,1086.1,5.96214
85,1136.55,6.21635
86,1046.45,5.77962
87,1034.6,5.75925
88,998.7,5.5378
89,995.7,5.38639
90,998.65,5.49259
91,1070.6,5.8891
92,927.3,5.09371
93,894.05,4.88962
94,925.3,5.03323
95,937.75,5.22164
96,966,5.25151
97,889.65,4.93458
98,784.45,4.23449
99,800.55,4.33358
100,821.25,4.55651
101,910,4.98604
102,885.9,4.8509
103,827.2,4.5771
104,865.9,4.69502
105,775.7,4.30331
106,763.8,4.21837
107,840.2,4.54603
108,790.4,4.35833
109,767.9,4.13225
110,788,4.35213
111,729.65,4.00632
112,787.75,4.33821
113,754.25,4.14742
114,807.6,4.46254
115,1227.55,6.82828
116,1112.1,6.12561
117,1052.7,5.80742
118,1073.1,5.87872
119,1074.2,5.8405
120,1082,5.95715
121,1069.4,5.84603
122,1132.35,6.243
123,1112,6.09126
124,973,5.3572
125,988.85,5.36548
126,1144.65,6.30569
127,1062.15,5.85025
128,1014,5.50581
129,1051.65,5.69008
130,1082.3,5.83282
131,1065.45,5.74711
132,1012.75,5.55813
133,960.05,5.15892
134,1087.6,5.8456
135,988.5,5.31005
136,939.95,5.05242
137,1016.45,5.50772
138,874.3,4.69181
139,977.9,5.25779
140,981.7,5.28313
141,997.95,5.37665
142,953.95,5.10647
143,869.7,4.63117
144,950,5.14929
145,953.45,5.13975
146,1000.55,5.29323
147,954.7,5.07879
148,1034.6,5.54422
149,847,4.53654
150,883.1,4.74021
151,881.6,4.67696
152,801,4.2854
153,930.95,4.94698
154,847.65,4.5514
155,823.7,4.35626
156,856.8,4.52127
157,850.35,4.47344
158,876.35,4.63138
159,850.4,4.48866
160,886,4.67577
161,833.8,4.39516
162,874.8,4.66365
163,758.65,4.03234
164,861.85,4.53676
165,883.45,4.62545
166,827.6,4.40977
167,822.35,4.36116
168,869.15,4.64809
169,805.75,4.30158
170,906.55,4.78165
171,929.8,4.95801
172,1047.55,5.64199
173,918.75,4.90204
174,1034.55,5.43508
175,1023.8,5.43551
176,1057.15,5.62538
177,1034.1,5.47875
178,1065.15,5.59775
179,1088.9,5.7249
180,1132.7,6.05577
181,974.55,5.15978
182,948.7,5.00283
183,1182.45,6.22412
184,1082.75,5.68162
185,1011.65,5.33068
186,1067.55,5.58865
187,973.2,5.14513
188,1139.5,5.93655
189,1025.3,5.40005
190,992.05,5.23232
191,1000.5,5.2255
192,1073.05,5.65935
193,995.35,5.14377
194,1085.8,5.70739
195,904.6,4.80605
196,936.95,4.94115
197,925.8,4.90625
198,1020.7,5.35128
199,1055.5,5.52552
200,1043.2,5.44228
201,986.95,5.15353
202,893.1,4.70899
203,905.15,4.7296
204,1001.7,5.19795
205,920.5,4.79708
206,994.75,5.2043
207,913,4.77758
208,911.5,4.74297
209,954.95,4.93039
210,885.1,4.53834
211,920.45,4.79586
212,946.95,4.88694
213,948.15,4.95139
214,835.85,4.404
215,881.6,4.60753
216,1003.85,5.20616
217,894.45,4.64007
218,999.35,5.19861
219,910.45,4.69719
220,950.45,5.01005
221,916.1,4.78061
222,891.9,4.63607
223,925.1,4.8359
224,862.15,4.47865
225,925.55,4.80874
226,935.65,4.88721
227,914.15,4.78931
228,981.1,5.15632
