nthreads,energy,time,power,speedup
1,17463.7,157.241,111.063,1
4,7386.55,62.7834,117.651,2.5045
5,7210.55,61.1999,117.82,2.5693
6,7329.35,61.8943,118.417,2.54048
7,7266.05,61.5422,118.066,2.55501
8,4108.75,33.7873,121.606,4.65385
9,4156.05,33.7874,123.006,4.65384
10,4163.65,33.795,123.203,4.65279
11,4065.55,32.9078,123.544,4.77823
12,2915.4,22.8304,127.698,6.88735
13,2966.95,23.195,127.913,6.77909
14,2975.7,23.1553,128.511,6.79071
15,2951.45,23.0803,127.877,6.81278
16,2333.75,17.3103,134.819,9.08367
17,2293.45,17.4018,131.794,9.0359
18,2217.05,16.4545,134.738,9.55611
19,2315.5,17.4043,133.042,9.03461
20,2017.45,14.6178,138.013,10.7568
21,1991.35,14.1115,141.115,11.1428
22,2070.8,14.8039,139.882,10.6216
23,1981.5,14.5612,136.081,10.7986
24,1631.45,11.5028,141.831,13.6698
25,1680,11.8636,141.61,13.2541
26,1653.5,11.4958,143.835,13.6781
27,1730.15,12.0594,143.469,13.0389
28,1600.2,10.4642,152.921,15.0266
29,1686.9,11.0334,152.89,14.2514
30,1623.7,10.6634,152.269,14.7459
31,1644.95,10.9266,150.545,14.3907
32,1459.6,9.31786,156.645,16.8752
33,1456.05,9.18976,158.443,17.1105
34,1425.25,8.89225,160.28,17.6829
35,1501.25,9.41245,159.496,16.7056
36,1098.25,6.69947,163.931,23.4707
37,1142.9,6.89588,165.737,22.8022
38,1094.8,6.70248,163.343,23.4601
39,1140.85,6.87914,165.842,22.8577
40,1044.35,6.0964,171.306,25.7924
41,1053.7,6.12871,171.929,25.6565
42,1052.05,6.18173,170.187,25.4364
43,1014,5.86722,172.825,26.7999
44,980.6,5.49214,178.546,28.6302
45,941.95,5.44257,173.071,28.8909
46,964.8,5.36074,179.975,29.332
47,961.05,5.53401,173.662,28.4136
48,949,5.2574,180.507,29.9085
49,948.75,5.2568,180.481,29.9119
50,964.15,5.24749,183.735,29.965
51,940.35,5.19756,180.921,30.2528
52,899.65,4.79591,187.587,32.7865
53,881.15,4.80213,183.491,32.744
54,903.45,4.89738,184.476,32.1072
55,917.35,4.79907,191.152,32.7649
56,845.35,4.48863,188.331,35.031
57,845.8,4.50292,187.834,34.9198
58,901.95,4.64961,193.984,33.8181
59,887.95,4.52688,196.151,34.735
60,876.15,4.47797,195.658,35.1143
61,852.45,4.48974,189.866,35.0223
62,868.5,4.49685,193.135,34.9669
63,846.75,4.50758,187.85,34.8837
64,944.95,4.9896,189.384,31.5137
65,952.45,4.99158,190.811,31.5012
66,958.5,4.98926,192.113,31.5159
67,933.95,4.99079,187.135,31.5062
68,814.7,4.19036,194.422,37.5245
69,831.8,4.23827,196.259,37.1003
70,790.95,4.0997,192.929,38.3543
71,771.95,4.01192,192.414,39.1935
72,778.35,4.06171,191.631,38.713
73,778.45,4.05563,191.943,38.771
74,839.15,4.17849,200.826,37.6311
75,800.8,4.0409,198.174,38.9124
76,747.65,3.84281,194.558,40.9182
77,806,3.98417,202.301,39.4664
78,793.4,4.01451,197.633,39.1682
79,800.2,3.94749,202.711,39.8332
80,746.55,3.78118,197.438,41.5852
81,768.7,3.74088,205.486,42.0332
82,773.3,3.7476,206.345,41.9578
83,757.45,3.73988,202.533,42.0444
84,679.4,3.41104,199.177,46.0977
85,696.3,3.49972,198.959,44.9296
