nthreads,energy,time,power,speedup
1,3005.95,26.9536,111.523,1
4,992.05,8.46105,117.249,3.18561
5,859.65,7.25098,118.556,3.71724
6,765.8,6.44547,118.812,4.18179
7,673.9,5.50903,122.326,4.89262
8,613.5,4.95788,123.742,5.43652
9,596.95,4.73545,126.06,5.69188
10,539.3,4.35159,123.932,6.19397
11,504.8,4.04827,124.695,6.65805
12,481.75,3.75827,128.184,7.17181
13,473.25,3.7577,125.941,7.1729
14,452.2,3.50716,128.936,7.68531
15,396.05,3.13518,126.324,8.59715
16,367.95,2.85152,129.036,9.45236
17,374.25,2.91203,128.519,9.25595
18,287.1,2.3073,124.431,11.6819
19,303.85,2.34907,129.349,11.4742
20,262.2,2.04652,128.12,13.1705
21,299,2.23344,133.874,12.0682
22,290.35,2.25047,129.017,11.9769
23,263.35,2.05226,128.322,13.1336
24,271.2,2.06153,131.553,13.0746
25,241.85,1.85435,130.423,14.5353
26,274.35,2.03387,134.891,13.2524
27,260.7,1.94411,134.097,13.8642
28,286.15,2.04517,139.915,13.1791
29,257.25,1.85965,138.332,14.4939
30,244.7,1.75882,139.127,15.3248
31,244.2,1.74253,140.141,15.4681
32,254.45,1.79964,141.389,14.9772
33,233,1.64607,141.549,16.3745
34,242.65,1.68054,144.388,16.0387
35,251.65,1.75913,143.054,15.3221
36,245.6,1.698,144.641,15.8737
37,225.9,1.54711,146.014,17.4219
38,233.6,1.59558,146.404,16.8927
39,249.5,1.71036,145.876,15.759
40,220.35,1.48972,147.914,18.0931
41,239,1.588,150.504,16.9733
42,339.4,2.22874,152.283,12.0936
43,242.95,1.59231,152.577,16.9274
44,298.8,1.92532,155.195,13.9995
45,231.2,1.48896,155.276,18.1023
46,320.25,2.06352,155.196,13.062
47,219.35,1.41179,155.37,19.0918
48,339,2.15682,157.176,12.4969
49,245.1,1.55403,157.719,17.3443
50,221.35,1.39397,158.791,19.3359
51,344.55,2.15336,160.006,12.517
52,233.05,1.43933,161.916,18.7265
53,397.9,2.4413,162.987,11.0407
54,318.85,1.96066,162.624,13.7472
55,238,1.46595,162.352,18.3864
56,433.25,2.58787,167.416,10.4154
57,323.05,1.9536,165.361,13.7969
58,307.15,1.8585,165.268,14.5029
59,515.9,3.08682,167.13,8.73183
60,424.05,2.52866,167.698,10.6592
61,315.7,1.89468,166.624,14.2259
62,249.9,1.50739,165.783,17.881
63,487.85,2.89394,168.576,9.31381
64,418.5,2.50374,167.15,10.7653
65,326.8,1.95037,167.558,13.8197
66,260.2,1.56163,166.621,17.2599
67,502.25,3.0207,166.269,8.92296
68,422.7,2.49706,169.279,10.7941
69,389,2.29337,169.619,11.7528
70,301.9,1.80476,167.28,14.9347
71,245.5,1.45821,168.357,18.484
72,516.05,3.03015,170.305,8.89514
73,439.3,2.60498,168.639,10.347
74,374.8,2.20724,169.805,12.2114
75,304.75,1.79268,169.997,15.0354
76,244.65,1.47462,165.907,18.2783
77,577,3.41304,169.057,7.89724
78,508.75,3.01473,168.755,8.94063
79,477.7,2.80722,170.168,9.60153
80,400.5,2.34832,170.547,11.4778
81,331.65,1.93534,171.365,13.9271
82,281.75,1.64936,170.824,16.3419
83,246.15,1.45413,169.276,18.5359
84,585.55,3.41748,171.34,7.88698
85,505.6,2.94385,171.748,9.1559
86,489.55,2.84742,171.928,9.46597
87,421.3,2.44714,172.16,11.0143
88,342.45,1.98797,172.261,13.5584
89,273.15,1.57979,172.903,17.0615
90,247.25,1.44815,170.735,18.6124
91,645.25,3.76174,171.53,7.16519
92,610.35,3.55846,171.521,7.57451
93,578.9,3.32884,173.904,8.09699
94,518.65,2.99825,172.984,8.98978
95,480.5,2.80143,171.52,9.62137
96,379.85,2.20448,172.308,12.2267
97,343.45,1.99369,172.269,13.5195
98,240.4,1.38953,173.008,19.3976
99,206.2,1.19535,172.502,22.5487
100,215.25,1.23182,174.741,21.8811
101,711.95,4.10924,173.256,6.55927
102,657.9,3.77541,174.259,7.13925
103,574.25,3.31476,173.24,8.13139
104,546.2,3.1465,173.59,8.56622
105,510.8,2.95135,173.073,9.13263
106,424.05,2.46054,172.34,10.9543
107,381.3,2.2074,172.737,12.2106
108,353.95,2.05005,172.654,13.1478
109,242.05,1.38121,175.245,19.5145
110,259.85,1.50415,172.755,17.9195
111,215.3,1.23696,174.056,21.7902
112,759.85,4.36104,174.236,6.18054
113,726.05,4.13184,175.721,6.52339
114,693.55,3.93458,176.27,6.85044
115,735.5,4.20354,174.972,6.41212
116,623.65,3.54707,175.821,7.59884
117,589.3,3.34841,175.994,8.04967
118,561.1,3.17348,176.809,8.49339
119,490.05,2.79676,175.221,9.63744
120,429.2,2.42957,176.657,11.094
121,383.6,2.20121,174.268,12.2449
122,350.85,2.00743,174.776,13.4269
123,307.15,1.74409,176.109,15.4542
124,260.55,1.5098,172.573,17.8524
125,243.6,1.40899,172.89,19.1297
126,871.55,4.95619,175.851,5.43837
127,860.6,4.89905,175.667,5.5018
128,816.65,4.65973,175.257,5.78437
129,794.3,4.49836,176.575,5.99187
130,732.3,4.13441,177.123,6.51933
131,712.9,4.05722,175.711,6.64337
132,697.95,3.95778,176.349,6.81028
133,652.7,3.71114,175.876,7.26289
134,642.8,3.64407,176.396,7.39656
135,581.75,3.30323,176.115,8.15977
136,546.25,3.09861,176.289,8.69861
137,491.35,2.78043,176.717,9.69404
138,430.05,2.43081,176.916,11.0883
139,412.25,2.33469,176.576,11.5448
140,368.5,2.08444,176.786,12.9309
141,333.2,1.8962,175.72,14.2145
142,332.05,1.89483,175.24,14.2248
143,1008.3,5.6729,177.74,4.75129
144,974.75,5.4902,177.544,4.9094
145,955.4,5.41357,176.482,4.9789
146,932.75,5.24569,177.813,5.13824
147,885.55,4.99924,177.137,5.39154
148,876.95,4.93303,177.771,5.4639
149,868.05,4.90927,176.819,5.49035
150,817.85,4.59141,178.126,5.87044
151,790.15,4.43289,178.247,6.08037
152,765.05,4.28439,178.567,6.29112
153,780.15,4.38443,177.936,6.14757
154,721.3,4.03239,178.877,6.68427
155,686.7,3.85537,178.115,6.99118
156,678.65,3.7876,179.177,7.11627
157,641.7,3.58992,178.751,7.50813
158,584.95,3.27847,178.422,8.2214
159,595.8,3.35347,177.667,8.03753
160,539.65,3.03131,178.025,8.89173
161,443.3,2.48072,178.698,10.8652
162,433.65,2.42793,178.609,11.1015
163,422.5,2.40108,175.962,11.2256
164,376.9,2.14602,175.627,12.5598
165,351.7,1.98078,177.556,13.6076
166,368.45,2.08559,176.665,12.9237
167,1202.1,6.68981,179.691,4.02905
168,1188.7,6.57526,180.784,4.09924
169,1141.15,6.33959,180.004,4.25163
170,1180.75,6.55055,180.252,4.11471
171,1202.15,6.63962,181.057,4.05951
172,1214.45,6.73994,180.187,3.99909
173,1095,6.08442,179.968,4.42994
174,1091.25,6.04,180.671,4.46252
175,1090.6,6.04064,180.544,4.46204
176,1037.6,5.72601,181.208,4.70722
177,972.85,5.38606,180.624,5.00433
178,1022.25,5.64541,181.076,4.77443
179,974.45,5.37422,181.319,5.01535
180,956.8,5.28214,181.139,5.10278
181,920.4,5.08333,181.062,5.30235
182,848.05,4.6911,180.778,5.74569
183,846.1,4.7037,179.88,5.7303
184,840.9,4.64084,181.196,5.80791
185,814.5,4.47917,181.842,6.01754
186,788.5,4.35684,180.98,6.1865
187,800.3,4.433,180.532,6.08022
188,748,4.12833,181.187,6.52894
189,737.75,4.07763,180.926,6.61011
190,682.55,3.80759,179.26,7.07891
191,646.35,3.58831,180.127,7.5115
192,644.8,3.60763,178.732,7.47128
193,588.95,3.27677,179.735,8.22566
194,570.6,3.20178,178.213,8.41832
195,560.9,3.14648,178.263,8.56627
196,525,2.96153,177.273,9.10124
197,522.95,2.93246,178.332,9.19146
