nthreads,energy,time
1,1191.5,11.0969
4,854.35,7.54795
5,854.4,7.40983
6,831.35,7.15891
7,834.3,7.07915
8,668.95,5.68762
9,632.65,5.34605
10,656.95,5.52799
11,672.25,5.63224
12,590.55,4.92988
13,621.1,5.15262
14,631.4,5.25996
15,609.95,4.99247
16,600.1,4.96046
17,568.75,4.60984
18,634,5.13484
19,566.75,4.53554
20,546.15,4.41355
21,580.7,4.63715
22,565.6,4.51451
23,540.1,4.26569
24,583.35,4.46351
25,565.1,4.34068
26,611.1,4.65965
27,606.95,4.44119
28,607.8,4.40991
29,605.4,4.37762
30,637.9,4.63227
31,627.15,4.51608
32,590.55,4.26549
33,610.1,4.36911
34,582.35,4.10749
35,612.1,4.28335
36,652.35,4.53418
37,625.65,4.33508
38,637.75,4.40626
39,601.8,4.0853
40,639.8,4.33407
41,592.7,4.00926
42,632.55,4.24628
43,660.9,4.37951
44,657.65,4.32694
45,663.05,4.35595
46,615.9,4.01133
47,697,4.47946
48,670.8,4.31331
49,666.9,4.23093
50,670.45,4.26717
51,669,4.19707
52,710.55,4.46492
53,654.65,4.06252
54,703.9,4.33207
55,714.9,4.37948
56,671,4.10996
57,662.1,4.01063
58,736.6,4.42861
59,715.75,4.34829
60,691.7,4.18336
61,678.35,4.08679
62,717.45,4.33212
63,728.45,4.39095
64,734.8,4.43065
65,752.1,4.55138
66,753.05,4.53275
67,747.95,4.49221
68,805.4,4.8297
69,722.8,4.32888
70,766.3,4.57413
71,742,4.46047
72,700.5,4.18678
73,742.35,4.45758
74,791.85,4.73581
75,689.85,4.16346
76,745.8,4.45459
77,736.85,4.38021
78,762.25,4.54501
79,755.15,4.51279
80,754.1,4.51042
81,772.9,4.58472
82,757.75,4.49004
83,724.5,4.28915
84,760.2,4.48417
85,813.6,4.79647
86,761.35,4.5123
87,703.5,4.1633
88,736.15,4.33578
89,773.15,4.53381
90,749.45,4.40405
91,782.7,4.5926
92,717.2,4.21014
93,723.85,4.24508
94,718.25,4.20987
95,727.7,4.25713
96,768.9,4.47283
97,710.35,4.15896
98,776.5,4.53389
99,738.95,4.30573
100,776.45,4.50587
101,764.55,4.45246
102,788.8,4.58521
103,756.15,4.40197
104,780.75,4.53945
105,722.45,4.20314
106,731.45,4.261
107,760.4,4.38257
108,747.3,4.30894
109,770.85,4.45483
110,737.65,4.23979
111,772.25,4.45854
112,728.95,4.1981
113,790.4,4.53046
114,731.25,4.20245
115,759.7,4.3447
116,773.6,4.42549
117,772.6,4.44529
118,766.05,4.39657
119,819.2,4.67846
120,793.95,4.53973
121,772.45,4.40099
122,768.9,4.41404
123,752.3,4.28105
124,785.95,4.50119
125,840.95,4.79447
126,755.05,4.30952
127,765.3,4.33591
128,871.85,5.01656
129,835.45,4.78654
130,881.65,5.04588
131,835.95,4.80695
132,829.95,4.76218
133,876.35,4.99521
134,909.4,5.20037
135,886.95,5.05051
136,862.8,4.8926
137,895.8,5.09741
138,845.3,4.80803
139,872.95,4.92352
140,856.55,4.85174
141,865,4.904
142,856.95,4.83446
143,865.35,4.89747
144,865.65,4.89438
145,848.15,4.80907
146,900.95,5.10032
147,850.45,4.78105
148,879.2,4.91913
149,914.35,5.13182
150,837.45,4.69955
151,881.5,4.95904
152,899.7,5.04774
153,846.5,4.75507
154,903.75,5.04352
155,856.7,4.77969
156,905.65,5.04593
157,906.5,5.04052
158,872.4,4.83951
159,845.65,4.6942
160,831.2,4.6292
161,803,4.50473
162,823.8,4.60862
163,822.35,4.58093
164,898.1,4.99425
165,862.7,4.78008
166,890.65,4.93666
167,860.7,4.78552
168,818.2,4.54054
169,897.35,4.99549
170,900.05,4.98536
171,881.3,4.8853
172,836.4,4.65195
173,897.7,4.99086
174,847.1,4.69215
175,909.85,5.04852
176,892.85,4.94121
177,885.15,4.89274
178,870.75,4.77589
179,859.2,4.75506
180,876,4.85466
181,848.65,4.6807
182,849.95,4.675
183,917.05,5.02567
184,897.15,4.92171
185,897.5,4.93549
186,927.35,5.09314
187,901.9,4.9391
188,922.7,5.04418
189,893.45,4.90497
190,955.25,5.2268
191,846.85,4.64229
192,861.9,4.75326
193,916.6,5.04703
194,881.9,4.83027
195,870.7,4.79531
196,945.95,5.1798
197,918.95,5.03107
198,900,4.93806
199,856.45,4.67814
200,866.8,4.74645
201,885.4,4.83144
202,955.75,5.23272
203,887.05,4.86018
204,912.85,4.99481
205,923.05,5.03765
206,926.35,5.03742
207,953.2,5.19316
208,924,5.02159
209,900.55,4.87998
210,900.85,4.90859
211,936.3,5.08951
212,939.95,5.1085
213,874.35,4.7523
214,926.35,5.0445
215,940.1,5.08947
216,884.05,4.81015
217,961.9,5.17311
218,901.65,4.89665
219,951.9,5.14388
220,893.9,4.86326
221,885.6,4.79836
222,899.45,4.85588
223,885.6,4.80255
224,916,4.95109
225,895.1,4.85763
226,923.8,4.97613
227,913.2,4.96178
228,887.65,4.80657
