nthreads,energy,time
1,8426.3,76.0479
4,2817.2,24.3297
5,2735.2,23.6518
6,2797.55,24.0408
7,2814.25,24.2623
8,1541.95,12.9424
9,1501.85,12.5446
10,1587.15,13.3084
11,1531.5,12.7397
12,1241.8,9.99484
13,1235.85,10.0406
14,1268.45,10.183
15,1224,9.70855
16,883.1,6.89797
17,874.05,6.89739
18,989.55,7.35269
19,882.05,7.00635
20,892.7,6.80851
21,880.95,6.69163
22,930.5,6.75224
23,899.6,6.95637
24,847.1,6.28089
25,826.05,6.23944
26,846.55,6.28214
27,846.4,6.14941
28,867.2,6.08822
29,846.2,5.99641
30,844.9,5.99514
31,842.35,5.99192
32,730.35,5.00311
33,736.65,5.04507
34,715.8,4.95923
35,751.75,5.13829
36,743.3,5.03219
37,751.75,5.05769
38,754.25,5.0301
39,753.5,5.05204
40,744,4.93498
41,733.55,4.86365
42,759.6,5.0034
43,750.45,4.87951
44,769.9,4.95696
45,783.95,4.97661
46,788.5,5.02776
47,779.25,4.95071
48,754.05,4.76337
49,790.15,4.88802
50,750.8,4.70779
51,750.65,4.69591
52,814.1,4.94979
53,828.75,5.09734
54,800.6,4.88453
55,804.6,4.89966
56,783.25,4.69801
57,804.8,4.79951
58,817.3,4.85219
59,808.35,4.83562
60,799.65,4.7912
61,817.4,4.84048
62,809.7,4.8391
63,797.05,4.76178
64,769.7,4.58028
65,762.2,4.55634
66,773.2,4.59557
67,799.35,4.6809
68,811.05,4.78353
69,786.6,4.70644
70,798.9,4.6945
71,786.3,4.65966
72,777.2,4.55998
73,766.6,4.55997
74,773.4,4.54242
75,784.75,4.64012
76,787.5,4.60714
77,766.3,4.54347
78,769.25,4.54719
79,800.7,4.69335
80,756.55,4.45961
81,770.15,4.49499
82,797.5,4.66051
83,785.95,4.57857
84,774.8,4.52795
85,777.4,4.49105
86,755.25,4.46238
87,784.6,4.55642
88,756.9,4.40968
89,775.55,4.50127
90,792.9,4.59252
91,767.1,4.452
92,770.6,4.42892
93,758.5,4.43426
94,780.9,4.49266
95,778.6,4.50099
96,772.65,4.49999
97,775.4,4.4946
98,754.25,4.39972
99,773.8,4.44883
100,746.05,4.34323
101,770.3,4.42967
102,782.3,4.53386
103,759.65,4.39981
104,811.15,4.63884
105,816.85,4.70512
106,827,4.7852
107,781.9,4.55766
108,791.5,4.54892
109,773.05,4.48465
110,770.4,4.44201
111,767.4,4.43032
112,773.65,4.47348
113,791.95,4.60598
114,765.6,4.43259
115,792.65,4.54137
116,771.2,4.42968
117,778.45,4.47817
118,791.6,4.58547
119,762.35,4.4276
120,750.4,4.32305
121,782.85,4.47689
122,746.15,4.33453
123,775.05,4.46156
124,813.85,4.64466
125,796.4,4.5923
126,810.6,4.67768
127,799.55,4.584
128,763.15,4.39812
129,738.05,4.30496
130,764,4.45991
131,757.65,4.37951
132,776.95,4.44144
133,761.95,4.39774
134,759.55,4.34978
135,776.95,4.44919
136,815.25,4.63895
137,820.45,4.64041
138,819.15,4.70211
139,802.65,4.59315
140,801.65,4.60826
141,801.4,4.58873
142,792.1,4.5553
143,806.55,4.59999
144,780.95,4.42983
145,755.1,4.27475
146,797.5,4.5398
147,746.6,4.25715
148,748,4.29392
149,773.35,4.44704
150,777.3,4.45911
151,755.45,4.33543
152,816.55,4.62467
153,831.2,4.67724
154,849,4.79338
155,813.8,4.60551
156,815.05,4.5809
157,803.8,4.60079
158,817.9,4.60512
159,814.7,4.58365
160,806.85,4.54227
161,787,4.51366
162,800.1,4.54359
163,809.35,4.58529
164,833.1,4.67683
165,805.95,4.5318
166,812.15,4.58182
167,794.35,4.49524
168,825.6,4.63333
169,806.45,4.60542
170,846.45,4.73669
171,812.45,4.56201
172,845.05,4.73288
173,806.4,4.59501
174,820.1,4.64921
175,838.1,4.75465
176,835.15,4.68347
177,794.55,4.49286
178,826.45,4.64033
179,837.4,4.69129
180,828.2,4.65217
181,816.5,4.60316
182,785.9,4.4477
183,819.7,4.59923
184,796.7,4.50215
185,810.8,4.53851
186,810,4.52413
187,809.5,4.54608
188,791.05,4.49101
189,798.1,4.52227
190,810.75,4.52834
191,798.3,4.4912
192,820.15,4.59204
193,826.3,4.6342
194,796.4,4.52284
195,788.85,4.50549
196,819.85,4.58281
197,780.15,4.45196
198,786.8,4.45546
199,819.6,4.62402
200,819.7,4.5767
201,789.35,4.50564
202,818.5,4.60821
203,804.35,4.50333
204,796.7,4.44864
205,794.15,4.4222
206,804.4,4.49057
207,822.1,4.57115
208,816.9,4.53401
209,794.1,4.43423
210,837.85,4.67907
211,789.75,4.43114
212,785.3,4.4363
213,804.2,4.54297
214,815.35,4.521
215,797.25,4.47534
216,802.35,4.55927
217,829.85,4.62496
218,818.95,4.58177
219,801.7,4.53203
220,797.3,4.4967
221,796.25,4.44023
222,816.2,4.54816
223,816.2,4.55425
224,788.15,4.45355
225,786.05,4.44156
226,825.5,4.57261
227,818.5,4.53517
228,795.85,4.43326
