power,speedup,nthreads
111.063,1.0,1
117.651,2.5045,4
117.82,2.5693,5
121.606,4.65385,8
123.544,4.77823,11
127.698,6.88735,12
131.794,9.0359,17
134.738,9.55611,18
136.081,10.7986,23
141.115,11.1428,21
141.61,13.2541,25
141.831,13.6698,24
143.835,13.6781,26
150.545,14.3907,31
152.269,14.7459,30
152.921,15.0266,28
156.645,16.8752,32
158.443,17.1105,33
160.28,17.6829,34
163.343,23.4601,38
163.931,23.4707,36
170.187,25.4364,42
171.306,25.7924,40
172.825,26.7999,43
173.071,28.8909,45
179.975,29.332,46
180.481,29.9119,49
180.921,30.2528,51
183.491,32.744,53
187.587,32.7865,52
187.834,34.9198,57
188.331,35.031,56
191.631,38.713,72
191.943,38.771,73
192.414,39.1935,71
194.558,40.9182,76
197.438,41.5852,80
198.65,43.296,90
198.959,44.9296,85
199.177,46.0977,84
200.681,47.5229,127
201.281,49.2332,102
202.752,50.025,109
204.346,51.3571,151
205.037,51.5473,117
205.785,52.7732,115
208.012,53.5847,112
208.359,54.6864,158
211.477,55.2694,178
211.494,57.3272,180
