power,speedup,nthreads
110.803,1.0,1
115.644,3.21531,5
119.139,5.87587,8
119.721,6.0622,9
123.085,7.57404,13
124.244,7.60872,12
125.893,10.8541,19
126.722,11.0256,17
131.115,11.1695,20
131.65,11.3646,21
132.392,12.1883,25
137.639,12.3667,27
140.581,12.6917,31
144.337,15.3346,34
150.76,15.41,40
150.823,15.636,41
158.302,15.9651,48
159.48,16.1536,50
159.852,16.1945,51
167.283,16.6906,65
168.66,16.7378,77
169.248,17.042,86
169.645,17.0526,80
171.054,17.1501,93
171.431,17.2847,98
171.442,17.6652,129
174.2,17.7106,148
175.376,17.8636,147
