power,speedup,nthreads
110.232,1.0,1
117.257,3.40296,4
118.622,3.52723,5
120.534,5.13183,6
123.917,6.514,9
125.232,6.72257,8
126.727,8.06896,11
127.146,9.31927,12
130.156,9.43821,14
130.758,12.2177,17
135.772,13.1251,19
135.878,14.0116,20
136.238,14.7681,23
139.118,16.0799,25
141.179,16.38,24
144.489,16.481,26
146.925,17.1954,27
150.96,18.161,29
151.67,18.6605,30
153.691,19.0481,31
154.816,20.3498,32
157.094,21.4082,34
160.221,21.824,36
164.449,22.3061,37
165.685,24.1618,41
169.431,24.2268,40
171.757,25.7789,46
177.562,26.7794,47
178.48,27.5929,50
181.55,28.1048,54
184.378,29.0796,60
186.429,32.4082,62
186.545,32.533,71
187.188,32.9798,64
187.464,33.1097,75
189.223,33.2738,72
193.826,33.5814,103
194.561,34.2367,98
194.758,34.8903,110
198.69,35.6838,106
202.955,37.0402,121
203.683,37.5032,112
204.79,40.5882,226
