nthreads,energy,time,power,speedup
1,17463.7,0.00274,121.125,1
2,17463.7,0.001555125,123.0,1
3,17463.7,0.00112,123.875,1
4,7386.55,0.000920125,127.75,2.5045
5,7210.55,0.000797625,129.75,2.5693
6,7329.35,0.000738875,131.375,2.54048
7,7266.05,0.0006885,129.375,2.55501
8,4108.75,0.0006195,132.25,4.65385
9,4156.05,0.00060725,133.125,4.65384
10,4163.65,0.000554125,135.375,4.65279
11,4065.55,0.00053525,134.5,4.77823
12,2915.4,0.00052275,135.875,6.88735
13,2966.95,0.00050375,137.125,6.77909
14,2975.7,0.000496125,139.375,6.79071
15,2951.45,0.000485125,137.5,6.81278
16,2333.75,0.000481,138.25,9.08367
17,2293.45,0.000462375,138.875,9.0359
18,2217.05,0.00042275,138.375,9.55611
19,2315.5,0.000390625,140.5,9.03461
20,2017.45,0.000369,135.625,10.7568
21,1991.35,0.000326125,139.125,11.1428
22,2070.8,0.000309,134.875,10.6216
23,1981.5,0.00028375,139.125,10.7986
24,1631.45,0.000264125,139.125,13.6698
25,1680,0.0002425,135.625,13.2541
26,1653.5,0.000215625,138.125,13.6781
27,1730.15,0.000209125,140.0,13.0389
28,1600.2,0.00020425,138.75,15.0266
29,1686.9,0.0001785,140.0,14.2514
30,1623.7,0.000184125,142.0,14.7459
31,1644.95,0.0001695,143.25,14.3907
32,1459.6,0.000177875,142.375,16.8752
33,1456.05,0.000158,142.25,17.1105
34,1425.25,0.000159375,145.625,17.6829
35,1501.25,0.00015825,145.875,16.7056
36,1098.25,0.000155125,145.875,23.4707
37,1142.9,0.000157625,146.375,22.8022
38,1094.8,0.00015025,147.0,23.4601
39,1140.85,0.00015025,147.75,22.8577
40,1044.35,0.00014825,145.75,25.7924
41,1053.7,0.000148625,150.125,25.6565
42,1052.05,0.000142875,151.125,25.4364
43,1014,0.000146875,149.125,26.7999
44,980.6,0.000145125,152.375,28.6302
45,941.95,0.0001435,148.875,28.8909
46,964.8,0.000143,154.5,29.332
47,961.05,0.00014525,156.5,28.4136
48,949,0.000141375,156.375,29.9085
49,948.75,0.000146125,157.5,29.9119
50,964.15,0.00014275,157.625,29.965
51,940.35,0.00013975,158.375,30.2528
52,899.65,0.0001415,159.25,32.7865
53,881.15,0.00014275,160.0,32.744
54,903.45,0.000142,162.125,32.1072
55,917.35,0.000137625,162.25,32.7649
56,845.35,0.000141375,164.25,35.031
57,845.8,0.000210125,164.0,34.9198
58,901.95,0.000198375,165.0,33.8181
59,887.95,0.00019475,164.5,34.735
60,876.15,0.000188375,165.125,35.1143
61,852.45,0.000179875,164.875,35.0223
62,868.5,0.000183875,165.0,34.9669
63,846.75,0.000175125,165.75,34.8837
64,944.95,0.00018675,164.5,31.5137
65,952.45,0.00016075,165.25,31.5012
66,958.5,0.000181375,166.0,31.5159
67,933.95,0.00017,166.375,31.5062
68,814.7,0.0001665,166.375,37.5245
69,831.8,0.000159125,166.5,37.1003
70,790.95,0.000168,167.125,38.3543
71,771.95,0.00017675,167.25,39.1935
72,778.35,0.00017275,166.875,38.713
73,778.45,0.000160375,166.875,38.771
74,839.15,0.00016225,166.75,37.6311
75,800.8,0.000156875,167.5,38.9124
76,747.65,0.000158375,167.25,40.9182
77,806,0.000158875,167.75,39.4664
78,793.4,0.000161,167.75,39.1682
79,800.2,0.000152625,167.75,39.8332
80,746.55,0.000151375,167.875,41.5852
81,768.7,0.000155375,167.25,42.0332
82,773.3,0.00015675,168.0,41.9578
83,757.45,0.000152,168.125,42.0444
84,679.4,0.000157,168.125,46.0977
85,696.3,0.000151375,167.875,44.9296
86,704.55,0.000156875,168.5,44.7292
87,712,0.000149,168.25,44.1517
88,695.05,0.000158625,167.5,45.7512
89,690.7,0.0001515,168.625,45.8112
90,721.45,0.00014825,168.875,43.296
91,736.9,0.000149875,168.875,43.3098
92,713.15,0.000147625,169.5,46.1959
93,649.25,0.000148625,169.0,49.1185
94,670.8,0.00014425,169.5,49.3025
95,753.6,0.000146875,169.125,43.3784
96,653.85,0.00014525,170.125,49.1799
97,685.1,0.000145625,170.0,48.8645
98,689.9,0.00014325,169.75,48.5689
99,645.65,0.000145375,169.875,49.0794
100,641.7,0.000143625,170.125,52.4096
101,673.2,0.000143625,170.5,48.4488
102,642.85,0.000147375,170.5,49.2332
103,659.95,0.000144625,170.625,48.2703
104,661,0.00014025,170.375,48.4583
105,651.05,0.00014975,170.75,49.9075
106,639.45,0.000141,170.625,50.5995
107,689.9,0.000138875,171.375,48.2296
108,652.9,0.00013875,171.0,49.3987
109,637.3,0.000145,171.75,50.025
110,679.85,0.000140375,171.5,49.0762
111,657.9,0.000139125,172.375,50.9011
112,610.4,0.00014075,171.625,53.5847
