nthreads,energy,time,power,speedup
1,17463.7,5.2e-05,117.333333333,1
2,17463.7,5.96666666667e-05,121.333333333,1
3,17463.7,6.26666666667e-05,118.666666667,1
4,7386.55,6.53333333333e-05,117.0,2.5045
5,7210.55,6.9e-05,125.0,2.5693
6,7329.35,6.5e-05,126.666666667,2.54048
7,7266.05,6.9e-05,125.666666667,2.55501
8,4108.75,6.63333333333e-05,128.0,4.65385
9,4156.05,8.23333333333e-05,128.0,4.65384
10,4163.65,7.63333333333e-05,129.0,4.65279
11,4065.55,7.8e-05,128.0,4.77823
12,2915.4,8.2e-05,129.0,6.88735
13,2966.95,7.83333333333e-05,129.0,6.77909
14,2975.7,8.03333333333e-05,131.666666667,6.79071
15,2951.45,8.06666666667e-05,132.333333333,6.81278
16,2333.75,9.13333333333e-05,133.0,9.08367
17,2293.45,8.1e-05,133.666666667,9.0359
18,2217.05,8.3e-05,133.0,9.55611
19,2315.5,9.13333333333e-05,128.333333333,9.03461
20,2017.45,8.36666666667e-05,134.666666667,10.7568
21,1991.35,8.5e-05,134.666666667,11.1428
22,2070.8,8.43333333333e-05,133.333333333,10.6216
23,1981.5,8.5e-05,138.0,10.7986
24,1631.45,8.66666666667e-05,134.666666667,13.6698
25,1680,8.56666666667e-05,137.0,13.2541
26,1653.5,8.6e-05,138.0,13.6781
27,1730.15,8.7e-05,138.0,13.0389
28,1600.2,8.6e-05,140.666666667,15.0266
29,1686.9,8.96666666667e-05,137.0,14.2514
30,1623.7,9.13333333333e-05,141.333333333,14.7459
31,1644.95,9e-05,141.666666667,14.3907
32,1459.6,9.03333333333e-05,141.666666667,16.8752
33,1456.05,8.96666666667e-05,143.666666667,17.1105
34,1425.25,9.06666666667e-05,143.0,17.6829
35,1501.25,9.1e-05,145.333333333,16.7056
36,1098.25,9.46666666667e-05,146.0,23.4707
37,1142.9,9.23333333333e-05,149.0,22.8022
38,1094.8,9.36666666667e-05,148.0,23.4601
39,1140.85,9.36666666667e-05,148.333333333,22.8577
40,1044.35,9.66666666667e-05,150.666666667,25.7924
41,1053.7,9.43333333333e-05,152.333333333,25.6565
42,1052.05,9.53333333333e-05,151.333333333,25.4364
43,1014,9.76666666667e-05,155.0,26.7999
44,980.6,9.5e-05,156.333333333,28.6302
45,941.95,9.86666666667e-05,158.333333333,28.8909
46,964.8,9.53333333333e-05,158.333333333,29.332
47,961.05,0.000100666666667,158.333333333,28.4136
48,949,9.96666666667e-05,161.0,29.9085
49,948.75,0.000102666666667,159.666666667,29.9119
50,964.15,0.000101,162.666666667,29.965
51,940.35,9.86666666667e-05,162.666666667,30.2528
52,899.65,0.000101666666667,164.333333333,32.7865
53,881.15,0.0001,165.333333333,32.744
54,903.45,0.000102,166.333333333,32.1072
55,917.35,0.000101666666667,167.666666667,32.7649
56,845.35,0.000102666666667,169.0,35.031
57,845.8,0.000110666666667,168.666666667,34.9198
58,901.95,0.000111,169.0,33.8181
59,887.95,0.000108333333333,169.0,34.735
60,876.15,0.000105666666667,170.0,35.1143
61,852.45,0.000108,169.666666667,35.0223
62,868.5,0.000106666666667,169.333333333,34.9669
63,846.75,0.000111,170.333333333,34.8837
64,944.95,0.000108666666667,170.0,31.5137
65,952.45,0.000108,170.666666667,31.5012
66,958.5,0.000111333333333,171.0,31.5159
67,933.95,0.000109,171.333333333,31.5062
68,814.7,0.00011,170.333333333,37.5245
69,831.8,0.000109666666667,171.333333333,37.1003
70,790.95,0.000111,169.333333333,38.3543
71,771.95,0.000108,166.666666667,39.1935
72,778.35,0.00011,168.0,38.713
73,778.45,0.000113333333333,171.0,38.771
74,839.15,0.000111,172.333333333,37.6311
75,800.8,0.000111,172.666666667,38.9124
76,747.65,0.000109333333333,171.333333333,40.9182
77,806,0.000108333333333,169.333333333,39.4664
78,793.4,0.000106333333333,171.666666667,39.1682
79,800.2,0.000106333333333,172.333333333,39.8332
80,746.55,0.000108,171.333333333,41.5852
81,768.7,0.000108666666667,172.0,42.0332
82,773.3,0.000108666666667,172.333333333,41.9578
83,757.45,0.000104333333333,172.333333333,42.0444
84,679.4,0.000108666666667,171.333333333,46.0977
85,696.3,0.000111666666667,172.333333333,44.9296
86,704.55,0.000110333333333,171.0,44.7292
87,712,0.000106666666667,172.666666667,44.1517
88,695.05,0.000112,172.0,45.7512
89,690.7,0.000110333333333,173.0,45.8112
90,721.45,0.000109333333333,173.666666667,43.296
91,736.9,0.000106,173.666666667,43.3098
92,713.15,0.000111333333333,173.666666667,46.1959
93,649.25,0.000108666666667,172.666666667,49.1185
94,670.8,0.000111333333333,174.666666667,49.3025
95,753.6,0.000107,176.0,43.3784
96,653.85,0.000107333333333,176.333333333,49.1799
97,685.1,0.000109,175.666666667,48.8645
98,689.9,0.00011,176.0,48.5689
99,645.65,0.000109666666667,176.0,49.0794
100,641.7,0.000114333333333,172.0,52.4096
101,673.2,0.000105666666667,176.666666667,48.4488
102,642.85,0.000107,176.333333333,49.2332
103,659.95,0.000107333333333,177.0,48.2703
104,661,0.000105333333333,177.0,48.4583
105,651.05,0.000106666666667,177.0,49.9075
106,639.45,0.000110333333333,176.666666667,50.5995
107,689.9,0.000110333333333,177.666666667,48.2296
108,652.9,0.000107333333333,177.0,49.3987
109,637.3,0.000107666666667,177.0,50.025
110,679.85,0.000111333333333,174.666666667,49.0762
111,657.9,0.000109333333333,179.0,50.9011
112,610.4,0.000106333333333,178.333333333,53.5847
