nthreads,energy,time,power,speedup
1,17463.7,0.9395988,119.35,1
2,17463.7,0.511277,121.5,1
3,17463.7,0.35746445,124.5,1
4,7386.55,0.35363215,124.0,2.5045
5,7210.55,0.20647905,130.35,2.5693
6,7329.35,0.19328375,129.45,2.54048
7,7266.05,0.1893013,130.0,2.55501
8,4108.75,0.1860162,129.8,4.65385
9,4156.05,0.13086615,137.05,4.65384
10,4163.65,0.130232,135.65,4.65279
11,4065.55,0.1287864,136.85,4.77823
12,2915.4,0.1277258,137.35,6.88735
13,2966.95,0.0991391,143.7,6.77909
14,2975.7,0.10145045,142.2,6.79071
15,2951.45,0.0986798,142.15,6.81278
16,2333.75,0.10323055,143.0,9.08367
17,2293.45,0.0827965,148.8,9.0359
18,2217.05,0.082307,148.4,9.55611
19,2315.5,0.0828858,149.6,9.03461
20,2017.45,0.0822521,150.25,10.7568
21,1991.35,0.0710583,154.6,11.1428
22,2070.8,0.06959365,154.65,10.6216
23,1981.5,0.07156225,155.05,10.7986
24,1631.45,0.06886835,155.65,13.6698
25,1680,0.0623179,162.15,13.2541
26,1653.5,0.0610649,162.6,13.6781
27,1730.15,0.06297545,161.35,13.0389
28,1600.2,0.06183165,162.4,15.0266
29,1686.9,0.05744,166.6,14.2514
30,1623.7,0.05813315,167.05,14.7459
31,1644.95,0.05805965,166.4,14.3907
32,1459.6,0.05477615,168.05,16.8752
33,1456.05,0.05231825,171.65,17.1105
34,1425.25,0.0526081,171.15,17.6829
35,1501.25,0.0524937,172.1,16.7056
36,1098.25,0.0516297,172.45,23.4707
37,1142.9,0.0502337,175.95,22.8022
38,1094.8,0.04914475,176.7,23.4601
39,1140.85,0.0497387,176.25,22.8577
40,1044.35,0.04954315,176.6,25.7924
41,1053.7,0.04629985,181.55,25.6565
42,1052.05,0.0452014,182.4,25.4364
43,1014,0.0452513,182.35,26.7999
44,980.6,0.04329735,183.4,28.6302
45,941.95,0.0429932,186.05,28.8909
46,964.8,0.0432636,186.05,29.332
47,961.05,0.04387815,185.9,28.4136
48,949,0.04055865,187.95,29.9085
49,948.75,0.04377945,189.15,29.9119
50,964.15,0.0436397,190.05,29.965
51,940.35,0.0438212,189.6,30.2528
52,899.65,0.0409248,191.7,32.7865
53,881.15,0.04143495,194.15,32.744
54,903.45,0.0423246,194.0,32.1072
55,917.35,0.04189685,194.0,32.7649
56,845.35,0.0382199,197.0,35.031
57,845.8,0.05035975,190.9,34.9198
58,901.95,0.05083715,189.8,33.8181
59,887.95,0.0510261,190.05,34.735
60,876.15,0.03709675,198.6,35.1143
61,852.45,0.0507375,191.35,35.0223
62,868.5,0.050556,191.25,34.9669
63,846.75,0.05200535,189.95,34.8837
64,944.95,0.03723515,193.15,31.5137
65,952.45,0.04476665,187.95,31.5012
66,958.5,0.04431225,190.4,31.5159
67,933.95,0.04408955,190.45,31.5062
68,814.7,0.0311651,203.4,37.5245
69,831.8,0.0413193,191.15,37.1003
70,790.95,0.04139655,192.6,38.3543
71,771.95,0.04085445,191.65,39.1935
72,778.35,0.0303075,204.85,38.713
73,778.45,0.03985205,192.8,38.771
74,839.15,0.0406216,194.1,37.6311
75,800.8,0.03980175,193.3,38.9124
76,747.65,0.03051535,206.65,40.9182
77,806,0.0377804,195.6,39.4664
78,793.4,0.0379909,196.9,39.1682
79,800.2,0.03723885,196.3,39.8332
80,746.55,0.02937675,207.55,41.5852
81,768.7,0.03727345,196.9,42.0332
82,773.3,0.03745565,196.2,41.9578
83,757.45,0.0368638,196.35,42.0444
84,679.4,0.02828255,210.45,46.0977
85,696.3,0.0355065,198.05,44.9296
86,704.55,0.03503055,199.85,44.7292
87,712,0.034777,197.45,44.1517
88,695.05,0.02712585,212.55,45.7512
89,690.7,0.035069,198.7,45.8112
90,721.45,0.03415295,200.9,43.296
91,736.9,0.03681165,196.9,43.3098
92,713.15,0.02845785,204.9,46.1959
93,649.25,0.03293675,198.55,49.1185
94,670.8,0.03283805,202.3,49.3025
95,753.6,0.03424425,197.4,43.3784
96,653.85,0.0270531,212.4,49.1799
97,685.1,0.0328305,201.95,48.8645
98,689.9,0.0336356,200.4,48.5689
99,645.65,0.0321494,201.85,49.0794
100,641.7,0.02762875,212.8,52.4096
101,673.2,0.0350951,201.25,48.4488
102,642.85,0.0345085,201.2,49.2332
103,659.95,0.0335517,202.4,48.2703
104,661,0.03046855,210.05,48.4583
105,651.05,0.0306371,206.65,49.9075
106,639.45,0.03130075,205.65,50.5995
107,689.9,0.03216995,202.95,48.2296
108,652.9,0.0269945,215.65,49.3987
109,637.3,0.0307795,206.6,50.025
110,679.85,0.03093675,206.15,49.0762
111,657.9,0.03119705,206.6,50.9011
112,610.4,0.0268836,216.95,53.5847
