nthreads,energy,time,power,speedup
1,20558.4,0.5696694,123.133333333,1
2,20558.4,0.292969866667,122.4,1
3,20558.4,0.204504533333,127.666666667,1
4,6426.35,0.163510466667,126.533333333,3.40296
5,6272.1,0.1358332,129.733333333,3.52723
6,4380.45,0.1111104,131.466666667,5.13183
7,4520.3,0.101285066667,134.066666667,4.99204
8,3474.25,0.0859672,136.866666667,6.72257
9,3547.85,0.0861037333333,137.8,6.514
10,2945.8,0.0747960666667,139.4,8.09512
11,2929.1,0.072268,139.333333333,8.06896
12,2544.5,0.0636374666667,142.066666667,9.31927
13,2714.1,0.0630773333333,141.866666667,8.7514
14,2571.9,0.0584927333333,143.8,9.43821
15,2340.65,0.0558236666667,145.666666667,10.5291
16,2040.05,0.0515206666667,147.8,11.9885
17,1996,0.0527715333333,147.866666667,12.2177
18,2038.8,0.0502004,149.2,12.7395
19,1929.25,0.049787,149.8,13.1251
20,1808.6,0.0451043333333,152.733333333,14.0116
21,1830.55,0.0457276,152.866666667,13.9886
22,1881.15,0.0419202666667,156.2,14.2083
23,1720.5,0.0429632666667,155.8,14.7681
24,1607.45,0.0386574666667,158.666666667,16.38
25,1613.55,0.0392002666667,157.733333333,16.0799
26,1635.05,0.0388365333333,160.2,16.481
27,1593.55,0.0393447333333,160.466666667,17.1954
28,1560.35,0.0359832,163.733333333,18.5481
29,1550.25,0.0362667333333,163.2,18.161
30,1515.85,0.034502,165.8,18.6605
31,1504.8,0.0353261333333,165.2,19.0481
32,1418.85,0.0349060666667,167.266666667,20.3498
33,1470.6,0.0344718666667,167.733333333,19.8643
34,1368.55,0.0335106666667,169.466666667,21.4082
35,1433.85,0.0348973333333,168.8,21.1697
36,1369.2,0.032689,172.0,21.824
37,1374.95,0.0332148666667,171.733333333,22.3061
38,1334.2,0.0320108666667,174.133333333,23.4477
39,1333.3,0.0331145333333,173.133333333,23.3356
40,1304.3,0.032015,176.6,24.2268
41,1278.9,0.0322138,176.266666667,24.1618
42,1320.7,0.0306946,179.733333333,24.2157
43,1331.1,0.0317511333333,178.466666667,23.9669
44,1325.85,0.0279243333333,184.866666667,24.7625
45,1310.65,0.0279979333333,185.4,25.0393
46,1242.6,0.0281335333333,186.8,25.7789
47,1236.6,0.0295830666667,185.0,26.7794
48,1278.45,0.0300782,186.8,26.2338
49,1260.3,0.0300534666667,187.133333333,26.8389
50,1206.35,0.0277494666667,190.733333333,27.5929
51,1229.85,0.0281682,190.066666667,27.3812
52,1282.35,0.0270022,194.666666667,27.0535
53,1220.1,0.0273525333333,194.533333333,27.5083
54,1204.75,0.0308544,191.0,28.1048
55,1222.45,0.03095,191.133333333,28.0043
56,1250.15,0.0289374666667,195.533333333,28.3284
57,1224.4,0.0291647333333,195.266666667,28.1115
58,1238.75,0.0280012666667,196.733333333,28.8359
59,1202.95,0.0289716,196.066666667,29.1304
60,1182.5,0.0297216,196.266666667,29.0796
61,1232.25,0.03028,196.0,28.7043
62,1072.85,0.0290965333333,198.733333333,32.4082
63,1087.6,0.0306335333333,197.133333333,32.1175
64,1058.55,0.0293836666667,197.666666667,32.9798
65,1088.2,0.0294986666667,197.466666667,32.7483
66,1108.05,0.0268648,201.8,32.3489
67,1085.3,0.0276870666667,200.533333333,32.3303
68,1103.75,0.0270160666667,200.8,32.5149
69,1134.6,0.0271983333333,200.8,31.6924
70,1137.05,0.0283714666667,198.4,31.7007
71,1069.4,0.0294428666667,197.533333333,32.533
72,1060.6,0.0291271333333,198.4,33.2738
73,1103.9,0.0301292666667,197.333333333,32.086
74,1086.35,0.0292798666667,200.266666667,33.0924
75,1055.95,0.0294848666667,200.0,33.1097
76,1072.6,0.0265314666667,203.933333333,33.0774
77,1104.4,0.027734,202.466666667,32.1326
78,1124.1,0.0264317333333,204.333333333,32.1474
79,1132.8,0.0272682,203.466666667,31.9238
80,1090.4,0.0288032666667,200.866666667,32.0849
81,1098.35,0.0298854666667,199.266666667,32.2144
82,1108.6,0.0293004666667,201.0,32.4047
83,1084.65,0.0303709333333,199.266666667,32.2441
84,1257.1,0.0285671333333,202.666666667,28.8936
85,1294.55,0.0294716,200.733333333,28.1447
86,1146.2,0.0300664666667,200.866666667,31.1743
87,1203.25,0.0309059333333,199.733333333,30.6346
88,1257.8,0.0294433333333,202.066666667,29.136
89,1267.8,0.0292435333333,202.6,28.666
90,1252.6,0.0288896666667,202.533333333,28.7572
91,1281.1,0.0290726666667,202.6,28.9696
92,1202.8,0.0278167333333,204.333333333,30.9122
93,1187.95,0.0288496,203.066666667,31.0509
94,1182,0.0300916,203.133333333,31.5999
95,1196.85,0.0303058,202.533333333,31.4158
96,1166.75,0.0473345333333,170.333333333,31.4278
97,1084.3,0.0480842,165.0,33.7311
98,1059.85,0.0525620666667,161.533333333,34.2367
99,1127.2,0.051116,162.266666667,32.8893
100,1097.9,0.0475220666667,163.666666667,33.3061
101,1123.1,0.0485061333333,163.2,32.8429
102,1110.85,0.0455453333333,165.333333333,33.891
103,1076.45,0.0477970666667,163.866666667,33.5814
104,1086.2,0.0481492666667,164.266666667,34.2189
105,1166.95,0.0499094666667,162.533333333,32.2047
106,1038.45,0.0514432666667,163.133333333,35.6838
107,1045.15,0.0545063333333,162.066666667,34.8487
108,1069.5,0.0479369333333,163.533333333,34.0652
109,1086.9,0.0502424666667,163.2,34.8968
110,1041.05,0.0455063333333,165.133333333,34.8903
111,1084.5,0.0464508,165.0,35.0084
112,1012.9,0.0454604666667,166.266666667,37.5032
