nthreads,energy,time,power,speedup
1,0.0047168,4.4e-05,107.2,1.0
2,0.0048735,4.5e-05,108.3,45.4842592593
3,0.0050713,4.7e-05,107.9,43.5487588652
4,0.0048105,4.5e-05,106.9,45.4842592593
5,0.0057399,5.3e-05,108.3,38.6187106918
6,0.00473,4.4e-05,107.5,46.5179924242
7,0.0052368,4.8e-05,109.1,42.6414930556
8,0.0051371,4.7e-05,109.3,43.5487588652
9,0.0050002,4.6e-05,108.7,44.4954710145
10,0.005127272723,4.7e-05,109.090909,43.5487588652
11,0.0052224,4.8e-05,108.8,42.6414930556
12,0.0048915,4.5e-05,108.7,45.4842592593
13,0.0048915,4.5e-05,108.7,45.4842592593
14,0.0051371,4.7e-05,109.3,43.5487588652
15,0.0050995,4.7e-05,108.5,43.5487588652
16,0.0050232,4.6e-05,109.2,44.4954710145
17,0.0051371,4.7e-05,109.3,43.5487588652
18,0.0052416,4.8e-05,109.2,42.6414930556
19,0.004818,4.4e-05,109.5,46.5179924242
20,0.0052032,4.8e-05,108.4,42.6414930556
21,0.00488863638,4.5e-05,108.636364,45.4842592593
22,0.0052704,4.8e-05,109.8,42.6414930556
23,0.0053606,4.9e-05,109.4,41.7712585034
24,0.0052123,4.7e-05,110.9,43.5487588652
25,0.0052656,4.8e-05,109.7,42.6414930556
26,0.0051606,4.7e-05,109.8,43.5487588652
27,0.0052848,4.8e-05,110.1,42.6414930556
28,0.0050554,4.6e-05,109.9,44.4954710145
29,0.004914,4.5e-05,109.2,45.4842592593
30,0.0053184,4.8e-05,110.8,42.6414930556
31,0.005064181814,4.6e-05,110.090909,44.4954710145
32,0.005393454528,4.8e-05,112.363636,42.6414930556
33,0.0061936,5.6e-05,110.6,36.5498511905
34,0.0053328,4.8e-05,111.1,42.6414930556
35,0.0058038,5.1e-05,113.8,40.1331699346
36,0.0059332,5.2e-05,114.1,39.3613782051
37,0.0064752,5.7e-05,113.6,35.908625731
38,0.0055056,4.8e-05,114.7,42.6414930556
39,0.0057673,4.9e-05,117.7,41.7712585034
40,0.0052605,4.5e-05,116.9,45.4842592593
41,0.005405,4.7e-05,115.0,43.5487588652
42,0.0055742,4.7e-05,118.6,43.5487588652
43,0.005481909108,4.7e-05,116.636364,43.5487588652
44,0.0056592,4.8e-05,117.9,42.6414930556
45,0.005584454554,4.7e-05,118.818182,43.5487588652
46,0.0056928,4.8e-05,118.6,42.6414930556
47,0.0055883,4.7e-05,118.9,43.5487588652
48,0.005192,4.4e-05,118.0,46.5179924242
49,0.0054418,4.6e-05,118.3,44.4954710145
50,0.0055062,4.6e-05,119.7,44.4954710145
51,0.005627181831,4.7e-05,119.727273,43.5487588652
52,0.00648,5.4e-05,120.0,37.9035493827
53,0.0057408,4.8e-05,119.6,42.6414930556
54,0.0058898,4.9e-05,120.2,41.7712585034
55,0.0053372,4.4e-05,121.3,46.5179924242
56,0.0052624,4.4e-05,119.6,46.5179924242
57,0.005324,4.4e-05,121.0,46.5179924242
58,0.005391,4.5e-05,119.8,45.4842592593
59,0.006624999975,5.5e-05,120.454545,37.2143939394
60,0.0055292,4.6e-05,120.2,44.4954710145
61,0.0056635,4.7e-05,120.5,43.5487588652
62,0.0054315,4.5e-05,120.7,45.4842592593
63,0.005463,4.5e-05,121.4,45.4842592593
64,0.0057408,4.8e-05,119.6,42.6414930556
65,0.0053416,4.4e-05,121.4,46.5179924242
66,0.0053504,4.4e-05,121.6,46.5179924242
67,0.0053108,4.4e-05,120.7,46.5179924242
68,0.0053328,4.4e-05,121.2,46.5179924242
69,0.00573818184,4.8e-05,119.545455,42.6414930556
70,0.0059045,4.9e-05,120.5,41.7712585034
71,0.005364,4.5e-05,119.2,45.4842592593
72,0.0056635,4.7e-05,120.5,43.5487588652
73,0.0055108,4.6e-05,119.8,44.4954710145
74,0.0053685,4.5e-05,119.3,45.4842592593
75,0.0056832,4.8e-05,118.4,42.6414930556
76,0.0054878,4.6e-05,119.3,44.4954710145
77,0.0053775,4.5e-05,119.5,45.4842592593
78,0.005236,4.4e-05,119.0,46.5179924242
79,0.0054,4.5e-05,120.0,45.4842592593
80,0.005469818186,4.6e-05,118.909091,44.4954710145
81,0.0055977,4.7e-05,119.1,43.5487588652
82,0.005712,4.8e-05,119.0,42.6414930556
83,0.005503272744,4.6e-05,119.636364,44.4954710145
84,0.005247999988,4.4e-05,119.272727,46.5179924242
85,0.006931,5.8e-05,119.5,35.2895114943
86,0.005707636368,4.8e-05,118.909091,42.6414930556
87,0.005871090918,4.9e-05,119.818182,41.7712585034
88,0.0062452,5.2e-05,120.1,39.3613782051
89,0.0056784,4.8e-05,118.3,42.6414930556
90,0.0054786,4.6e-05,119.1,44.4954710145
91,0.0052316,4.4e-05,118.9,46.5179924242
92,0.0056588,4.7e-05,120.4,43.5487588652
93,0.0055648,4.7e-05,118.4,43.5487588652
94,0.0055292,4.6e-05,120.2,44.4954710145
95,0.0053775,4.5e-05,119.5,45.4842592593
96,0.0055977,4.7e-05,119.1,43.5487588652
97,0.0053415,4.5e-05,118.7,45.4842592593
98,0.0052492,4.4e-05,119.3,46.5179924242
99,0.0057312,4.8e-05,119.4,42.6414930556
100,0.005566,4.6e-05,121.0,44.4954710145
101,0.0057456,4.8e-05,119.7,42.6414930556
102,0.0055883,4.7e-05,118.9,43.5487588652
103,0.005355,4.5e-05,119.0,45.4842592593
104,0.005258,4.4e-05,119.5,46.5179924242
105,0.0057456,4.8e-05,119.7,42.6414930556
106,0.0054,4.5e-05,120.0,45.4842592593
107,0.005764363632,4.8e-05,120.090909,42.6414930556
108,0.00648,5.4e-05,120.0,37.9035493827
109,0.0057504,4.8e-05,119.8,42.6414930556
110,0.0052756,4.4e-05,119.9,46.5179924242
111,0.0058261,4.9e-05,118.9,41.7712585034
112,0.0057312,4.8e-05,119.4,42.6414930556
