nthreads,energy,time,power,speedup
1,0.005096,4.9e-05,104.0,1.0
2,0.0051401,4.9e-05,104.9,46.3452380952
3,0.005185090918,4.9e-05,105.818182,46.3452380952
4,0.005243,4.9e-05,107.0,46.3452380952
5,0.005216272705,4.9e-05,106.454545,46.3452380952
6,0.0052822,4.9e-05,107.8,46.3452380952
7,0.005455,5e-05,109.1,45.4183333333
8,0.005777,5.3e-05,109.0,42.8474842767
9,0.0054145,4.9e-05,110.5,46.3452380952
10,0.0058035,5.3e-05,109.5,42.8474842767
11,0.0058989,5.3e-05,111.3,42.8474842767
12,0.0058188,5.2e-05,111.9,43.671474359
13,0.005725909077,5.1e-05,112.272727,44.5277777778
14,0.0058883,5.3e-05,111.1,42.8474842767
15,0.0054929,4.9e-05,112.1,46.3452380952
16,0.0056203,4.9e-05,114.7,46.3452380952
17,0.00571,5e-05,114.2,45.4183333333
18,0.005725,5e-05,114.5,45.4183333333
19,0.006093454536,5.2e-05,117.181818,43.671474359
20,0.0059748,5.2e-05,114.9,43.671474359
21,0.0061533,5.3e-05,116.1,42.8474842767
22,0.0061412,5.2e-05,118.1,43.671474359
23,0.0056352,4.8e-05,117.4,47.3107638889
24,0.0056448,4.8e-05,117.6,47.3107638889
25,0.005885,5e-05,117.7,45.4183333333
26,0.0058163,4.9e-05,118.7,46.3452380952
27,0.0059388,4.9e-05,121.2,46.3452380952
28,0.00616,5e-05,123.2,45.4183333333
29,0.0075516,6.2e-05,121.8,36.627688172
30,0.0062067,5.1e-05,121.7,44.5277777778
31,0.0061299,4.9e-05,125.1,46.3452380952
32,0.006426,5.1e-05,126.0,44.5277777778
33,0.0062034,4.9e-05,126.6,46.3452380952
34,0.006583636359,5.1e-05,129.090909,44.5277777778
35,0.0068472,5.4e-05,126.8,42.0540123457
36,0.00676,5.2e-05,130.0,43.671474359
37,0.0066924,5.2e-05,128.7,43.671474359
38,0.0068744,5.2e-05,132.2,43.671474359
39,0.008016,6e-05,133.6,37.8486111111
40,0.0066045,5.1e-05,129.5,44.5277777778
41,0.00667,5e-05,133.4,45.4183333333
42,0.0070096,5.2e-05,134.8,43.671474359
43,0.0067524,5.1e-05,132.4,44.5277777778
44,0.0068697,5.1e-05,134.7,44.5277777778
45,0.007376636354,5.3e-05,139.181818,42.8474842767
46,0.007155,5.3e-05,135.0,42.8474842767
47,0.0070278,5.1e-05,137.8,44.5277777778
48,0.007084363641,5.1e-05,138.909091,44.5277777778
49,0.0081656,5.9e-05,138.4,38.4901129944
50,0.007214181795,5.1e-05,141.454545,44.5277777778
51,0.0071451,5.1e-05,140.1,44.5277777778
52,0.0077274,5.4e-05,143.1,42.0540123457
53,0.0068448,4.8e-05,142.6,47.3107638889
54,0.00741,5.2e-05,142.5,43.671474359
55,0.0071442,4.9e-05,145.8,46.3452380952
56,0.0072956,5.2e-05,140.3,43.671474359
57,0.010262727305,7.1e-05,144.545455,31.984741784
58,0.00714,5.1e-05,140.0,44.5277777778
59,0.007506,5.4e-05,139.0,42.0540123457
60,0.01141090912,8e-05,142.636364,28.3864583333
61,0.009460454575,6.5e-05,145.545455,34.9371794872
62,0.008043636384,5.6e-05,143.636364,40.5520833333
63,0.0073164,5.2e-05,140.7,43.671474359
64,0.0077645,5.3e-05,146.5,42.8474842767
65,0.008064,5.6e-05,144.0,40.5520833333
66,0.008125090904,5.6e-05,145.090909,40.5520833333
67,0.00814545452,5.6e-05,145.454545,40.5520833333
68,0.0085904,5.9e-05,145.6,38.4901129944
69,0.008469181845,5.9e-05,143.545455,38.4901129944
70,0.0083172,5.8e-05,143.4,39.1537356322
71,0.008367272738,5.9e-05,141.818182,38.4901129944
72,0.0073458,5.3e-05,138.6,42.8474842767
73,0.0078925,5.5e-05,143.5,41.2893939394
74,0.007876,5.5e-05,143.2,41.2893939394
75,0.0081235,5.5e-05,147.7,41.2893939394
76,0.007656090885,5.3e-05,144.454545,42.8474842767
77,0.009135,6.3e-05,145.0,36.0462962963
78,0.008379,5.7e-05,147.0,39.8406432749
79,0.007896,5.6e-05,141.0,40.5520833333
80,0.008018181808,5.6e-05,143.181818,40.5520833333
81,0.007834909086,5.4e-05,145.090909,42.0540123457
82,0.007583818177,5.3e-05,143.090909,42.8474842767
83,0.007665727292,5.3e-05,144.636364,42.8474842767
84,0.0086986,6.1e-05,142.6,37.2281420765
85,0.008186181808,5.6e-05,146.181818,40.5520833333
86,0.009367272704,6.4e-05,146.363636,35.4830729167
87,0.00880909092,6e-05,146.818182,37.8486111111
88,0.008802,6e-05,146.7,37.8486111111
89,0.0071349,5.1e-05,139.9,44.5277777778
90,0.0075048,5.3e-05,141.6,42.8474842767
91,0.00876,6e-05,146.0,37.8486111111
92,0.007832,5.5e-05,142.4,41.2893939394
93,0.008332363626,5.7e-05,146.181818,39.8406432749
94,0.00810499998,5.5e-05,147.363636,41.2893939394
95,0.0083619,5.7e-05,146.7,39.8406432749
96,0.0079808,5.8e-05,137.6,39.1537356322
97,0.0073695,5.1e-05,144.5,44.5277777778
98,0.007934999985,5.5e-05,144.272727,41.2893939394
99,0.0078705,5.3e-05,148.5,42.8474842767
100,0.007834909086,5.4e-05,145.090909,42.0540123457
101,0.00885,6e-05,147.5,37.8486111111
102,0.007820181828,5.4e-05,144.818182,42.0540123457
103,0.0078138,5.4e-05,144.7,42.0540123457
104,0.008662272738,5.9e-05,146.818182,38.4901129944
105,0.007717090914,5.4e-05,142.909091,42.0540123457
106,0.0086376,6.1e-05,141.6,37.2281420765
107,0.008800636347,6.1e-05,144.272727,37.2281420765
108,0.00735563634,5.2e-05,141.454545,43.671474359
109,0.0079464,5.6e-05,141.9,40.5520833333
110,0.007769999985,5.5e-05,141.272727,41.2893939394
111,0.007726909086,5.4e-05,143.090909,42.0540123457
112,0.0076944,5.6e-05,137.4,40.5520833333
