nthreads,energy,time,power,speedup
1,0.0051058,4.9e-05,104.2,1.0
2,0.0053601,5.1e-05,105.1,44.5277777778
3,0.00538,5e-05,107.6,45.4183333333
4,0.005365,5e-05,107.3,45.4183333333
5,0.0057028,5.3e-05,107.6,42.8474842767
6,0.005475545436,5.1e-05,107.363636,44.5277777778
7,0.0057148,5.2e-05,109.9,43.671474359
8,0.006114181808,5.6e-05,109.181818,40.5520833333
9,0.005455,5e-05,109.1,45.4183333333
10,0.006558,6e-05,109.3,37.8486111111
11,0.0058565,5.3e-05,110.5,42.8474842767
12,0.005772,5.2e-05,111.0,43.671474359
13,0.0056355,5.1e-05,110.5,44.5277777778
14,0.0060367,5.3e-05,113.9,42.8474842767
15,0.0058604,5.2e-05,112.7,43.671474359
16,0.00567,5e-05,113.4,45.4183333333
17,0.005916,5.1e-05,116.0,44.5277777778
18,0.0060966,5.4e-05,112.9,42.0540123457
19,0.005805,5e-05,116.1,45.4183333333
20,0.005846454564,5.1e-05,114.636364,44.5277777778
21,0.006224727258,5.4e-05,115.272727,42.0540123457
22,0.0062192,5.2e-05,119.6,43.671474359
23,0.0059619,5.1e-05,116.9,44.5277777778
24,0.00593,5e-05,118.6,45.4183333333
25,0.006166363641,5.1e-05,120.909091,44.5277777778
26,0.006549999995,5.5e-05,119.090909,41.2893939394
27,0.006258909072,5.2e-05,120.363636,43.671474359
28,0.0064314,5.4e-05,119.1,42.0540123457
29,0.0061984,5.2e-05,119.2,43.671474359
30,0.0076818,6.2e-05,123.9,36.627688172
31,0.006305,5e-05,126.1,45.4183333333
32,0.0067787,5.3e-05,127.9,42.8474842767
33,0.0063138,5.1e-05,123.8,44.5277777778
34,0.0065,5e-05,130.0,45.4183333333
35,0.0065773,5.3e-05,124.1,42.8474842767
36,0.006526,5.2e-05,125.5,43.671474359
37,0.0067893,5.3e-05,128.1,42.8474842767
38,0.0067392,5.2e-05,129.6,43.671474359
39,0.006708,5.2e-05,129.0,43.671474359
40,0.006734,5.2e-05,129.5,43.671474359
41,0.0068526,5.4e-05,126.9,42.0540123457
42,0.006435,5e-05,128.7,45.4183333333
43,0.0070304,5.2e-05,135.2,43.671474359
44,0.0070686,5.1e-05,138.6,44.5277777778
45,0.007280272708,5.3e-05,137.363636,42.8474842767
46,0.0072846,5.4e-05,134.9,42.0540123457
47,0.006705,5e-05,134.1,45.4183333333
48,0.00786545452,5.6e-05,140.454545,40.5520833333
49,0.009408,7e-05,134.4,32.4416666667
50,0.0073332,5.4e-05,135.8,42.0540123457
51,0.006824727282,5.1e-05,133.818182,44.5277777778
52,0.0071,5e-05,142.0,45.4183333333
53,0.00685,5e-05,137.0,45.4183333333
54,0.0073134,5.1e-05,143.4,44.5277777778
55,0.0076055,5.3e-05,143.5,42.8474842767
56,0.0087291,6.1e-05,143.1,37.2281420765
57,0.0078822,5.8e-05,135.9,39.1537356322
58,0.007068272708,5.3e-05,133.363636,42.8474842767
59,0.007687272712,5.6e-05,137.272727,40.5520833333
60,0.0077616,5.6e-05,138.6,40.5520833333
61,0.0077546,5.8e-05,133.7,39.1537356322
62,0.007580363616,5.6e-05,135.363636,40.5520833333
63,0.007682181808,5.6e-05,137.181818,40.5520833333
64,0.00836181816,6e-05,139.363636,37.8486111111
65,0.00741500001,5.5e-05,134.818182,41.2893939394
66,0.0076496,5.6e-05,136.6,40.5520833333
67,0.008140363616,5.6e-05,145.363636,40.5520833333
68,0.008021454561,5.7e-05,140.727273,39.8406432749
69,0.0078261,5.7e-05,137.3,39.8406432749
70,0.0080712,5.9e-05,136.8,38.4901129944
71,0.00775345452,5.6e-05,138.454545,40.5520833333
72,0.00780945452,5.6e-05,139.454545,40.5520833333
73,0.007594363656,5.4e-05,140.636364,42.0540123457
74,0.0082536,5.7e-05,144.8,39.8406432749
75,0.007860818187,5.7e-05,137.909091,39.8406432749
76,0.008501363631,5.9e-05,144.090909,38.4901129944
77,0.0078016,5.3e-05,147.2,42.8474842767
78,0.0102666,7.1e-05,144.6,31.984741784
79,0.008336181834,5.8e-05,143.727273,39.1537356322
80,0.007879999985,5.5e-05,143.272727,41.2893939394
81,0.0085376,5.8e-05,147.2,39.1537356322
82,0.008322,5.7e-05,146.0,39.8406432749
83,0.007912636374,5.7e-05,138.818182,39.8406432749
84,0.008510909074,6.2e-05,137.272727,36.627688172
85,0.007328454531,5.3e-05,138.272727,42.8474842767
86,0.007261,5.3e-05,137.0,42.8474842767
87,0.008560363631,5.9e-05,145.090909,38.4901129944
88,0.00751500002,5.5e-05,136.636364,41.2893939394
89,0.0073034,5.3e-05,137.8,42.8474842767
90,0.0076552,5.6e-05,136.7,40.5520833333
91,0.0077691,5.7e-05,136.3,39.8406432749
92,0.0082766,5.8e-05,142.7,39.1537356322
93,0.008272909112,5.8e-05,142.636364,39.1537356322
94,0.008867181796,6.1e-05,145.363636,37.2281420765
95,0.0076395,5.5e-05,138.9,41.2893939394
96,0.008283454556,5.8e-05,142.818182,39.1537356322
97,0.007849636344,5.4e-05,145.363636,42.0540123457
98,0.0076626,5.4e-05,141.9,42.0540123457
99,0.0086428,6.2e-05,139.4,36.627688172
100,0.0081951,5.9e-05,138.9,38.4901129944
101,0.008337545439,5.7e-05,146.272727,39.8406432749
102,0.007660909115,5.3e-05,144.545455,42.8474842767
103,0.0093568,6.4e-05,146.2,35.4830729167
104,0.0080976,5.6e-05,144.6,40.5520833333
105,0.007997,5.5e-05,145.4,41.2893939394
106,0.0081032,5.6e-05,144.7,40.5520833333
107,0.007879181845,5.9e-05,133.545455,38.4901129944
108,0.007182,5.4e-05,133.0,42.0540123457
109,0.007502,5.5e-05,136.4,41.2893939394
110,0.00797763639,5.8e-05,137.545455,39.1537356322
111,0.0076842,5.4e-05,142.3,42.0540123457
112,0.008211727262,5.9e-05,139.181818,38.4901129944
