nthreads,energy,time,power,speedup
1,0.0,0.0,102.8,1
2,0.0,0.0,102.4,1
3,0.0,0.0,103.6,1
4,0.0,0.0,103.9,1
5,0.0,0.0,104.2,1
6,0.0,0.0,103.3,1
7,0.0,0.0,104.0,1
8,0.0,0.0,104.2,1
9,0.0,0.0,104.6,1
10,0.0,0.0,104.5,1
11,0.0,0.0,105.1,1
12,0.0,0.0,103.4,1
13,0.0,0.0,104.8,1
14,0.0,0.0,103.8,1
15,0.0,0.0,104.4,1
16,0.0,0.0,105.2,1
17,0.0,0.0,105.1,1
18,0.0,0.0,104.4,1
19,0.0,0.0,104.8,1
20,0.0,0.0,104.4,1
21,0.0,0.0,104.3,1
22,0.0,0.0,104.8,1
23,0.0,0.0,104.3,1
24,0.0,0.0,104.4,1
25,0.0,0.0,104.4,1
26,0.0,0.0,104.9,1
27,0.0,0.0,104.3,1
28,0.0,0.0,103.2,1
29,0.0,0.0,104.1,1
30,0.0,0.0,103.4,1
31,0.0,0.0,103.8,1
32,0.0,0.0,102.1,1
33,0.0,0.0,101.6,1
34,0.0,0.0,102.9,1
35,0.0,0.0,103.4,1
36,0.0,0.0,102.9,1
37,0.0,0.0,102.6,1
38,0.0,0.0,102.8,1
39,0.0,0.0,102.7,1
40,0.0,0.0,102.9,1
41,0.0,0.0,102.2,1
42,0.0,0.0,103.4,1
43,0.0,0.0,103.6,1
44,0.0,0.0,102.4,1
45,0.0,0.0,101.4,1
46,0.0,0.0,103.0,1
47,0.0,0.0,102.6,1
48,0.0,0.0,103.5,1
49,0.0,0.0,103.2,1
50,0.0,0.0,102.6,1
51,0.0,0.0,102.2,1
52,0.0,0.0,103.3,1
53,0.0,0.0,100.9,1
54,0.0,0.0,101.2,1
55,0.0,0.0,103.7,1
56,0.0,0.0,103.4,1
57,0.0,0.0,102.8,1
58,0.0,0.0,103.0,1
59,0.0,0.0,103.1,1
60,0.0,0.0,103.2,1
61,0.0,0.0,103.2,1
62,0.0,0.0,103.7,1
63,0.0,0.0,102.8,1
64,0.0,0.0,102.9,1
65,0.0,0.0,103.2,1
66,0.0,0.0,102.8,1
67,0.0,0.0,103.3,1
68,0.0,0.0,103.4,1
69,0.0,0.0,101.8,1
70,0.0,0.0,102.1,1
71,0.0,0.0,103.7,1
72,0.0,0.0,102.1,1
73,0.0,0.0,101.6,1
74,0.0,0.0,101.8,1
75,0.0,0.0,103.0,1
76,0.0,0.0,102.1,1
77,0.0,0.0,102.6,1
78,0.0,0.0,102.0,1
79,0.0,0.0,103.0,1
80,0.0,0.0,102.8,1
81,0.0,0.0,102.3,1
82,0.0,0.0,101.1,1
83,0.0,0.0,101.9,1
84,0.0,0.0,102.0,1
85,0.0,0.0,100.6,1
86,0.0,0.0,102.6,1
87,0.0,0.0,102.5,1
88,0.0,0.0,102.4,1
89,0.0,0.0,101.5,1
90,0.0,0.0,102.1,1
91,0.0,0.0,102.3,1
92,0.0,0.0,103.1,1
93,0.0,0.0,101.5,1
94,0.0,0.0,102.7,1
95,0.0,0.0,102.0,1
96,0.0,0.0,102.7,1
97,0.0,0.0,101.3,1
98,0.0,0.0,101.5,1
99,0.0,0.0,102.0,1
100,0.0,0.0,101.7,1
101,0.0,0.0,101.1,1
102,0.0,0.0,102.8,1
103,0.0,0.0,101.8,1
104,0.0,0.0,102.3,1
105,0.0,0.0,112.0,1
106,0.0,0.0,111.5,1
107,0.0,0.0,111.8,1
108,0.0,0.0,109.8,1
109,0.0,0.0,111.0,1
110,0.0,0.0,111.3,1
111,0.0,0.0,112.0,1
112,0.0,0.0,111.4,1
