power,speedup,nthreads
105.428,1.0,1
107.213,1.99492,2
108.449,2.90499,3
109.248,3.68279,4
110.147,4.79348,5
111.176,5.97381,6
111.944,6.96209,7
112.399,7.95396,8
113.023,8.95516,9
113.928,9.93322,10
115.151,10.5418,11
115.928,11.4091,12
116.56,12.5202,13
116.906,13.3071,14
117.845,14.5913,15
119.165,15.4676,16
119.868,16.5846,17
120.711,17.7883,18
121.653,17.944,20
121.915,18.744,19
123.214,19.7834,21
123.619,19.9056,22
124.901,23.7231,24
125.385,23.8928,25
126.139,24.5861,26
127.077,28.5829,29
128.955,30.5714,31
129.684,31.3853,32
130.578,32.4075,33
130.96,32.8946,35
131.342,33.1782,34
131.685,35.3294,36
132.636,36.2966,37
133.814,37.9599,40
133.957,38.3088,39
135.799,40.4009,41
136.365,41.1292,43
137.628,42.6446,44
139.386,44.6718,46
139.633,45.6104,49
140.021,48.9321,50
141.1,122.306,201
