power,speedup,nthreads
95.8032,1.0,1
97.4293,2.0013,2
99.1353,3.0196,3
100.004,4.0146,4
100.488,4.95167,5
100.979,5.91541,6
101.715,7.0035,7
102.079,8.0108,8
102.489,8.99394,9
102.885,9.82293,10
103.373,10.8481,11
104.093,11.4602,12
104.735,11.7802,13
105.468,14.0463,14
105.713,15.0097,15
106.215,16.0139,16
106.983,16.6826,17
107.85,17.2919,18
108.433,18.8231,19
108.857,19.8231,20
109.161,20.8691,21
109.727,21.2265,22
110.534,22.9741,23
111.137,23.3555,24
111.505,24.9343,25
112.082,26.0133,26
113.2,26.7528,28
114.272,28.9546,29
114.281,30.042,30
114.415,30.0458,31
115.332,30.8248,32
115.54,32.9113,33
116.797,33.5612,35
117.381,34.4187,36
117.633,35.2775,37
118.381,37.691,38
118.549,37.8772,39
119.11,38.9148,40
120.219,39.5267,41
120.921,41.0928,43
121.456,42.6871,44
121.839,119.638,200
133.507,120.438,225
135.073,125.727,201
151.811,128.622,200
