nthreads,energy,time,power,speedup
1,25114.3,254.354,98.7376,1
2,12720.9,126.901,100.243,2.00435
3,8757.2,87.0044,100.652,2.92346
4,6545.5,64.4057,101.629,3.94925
5,5358.3,52.395,102.267,4.85455
6,4394.85,42.853,102.556,5.9355
7,3761.3,36.3851,103.375,6.99061
8,3388.4,32.3848,104.629,7.85412
9,3038.4,28.9859,104.823,8.77509
10,2671.9,25.2999,105.609,10.0536
11,2433.25,22.9874,105.851,11.0649
12,2292.5,21.3488,107.383,11.9142
13,2099.25,19.4493,107.934,13.0778
14,1978.65,18.2479,108.432,13.9388
15,1845.15,16.8858,109.272,15.0632
16,1735.8,15.8344,109.622,16.0634
17,1656.8,15.0993,109.727,16.8454
18,1579,14.2777,110.592,17.8148
19,1506.7,13.5481,111.211,18.7741
20,1417.9,12.6879,111.752,20.047
21,1356.7,12.0935,112.184,21.0323
22,1303.75,11.5509,112.87,22.0203
23,1259.55,11.0402,114.088,23.0389
24,1246.6,10.8976,114.392,23.3404
25,1171.9,10.1823,115.092,24.98
26,1165.35,10.0793,115.618,25.2353
27,1098,9.43534,116.371,26.9576
28,1064.2,9.10477,116.884,27.9363
29,1032.3,8.79197,117.414,28.9303
30,996.65,8.4348,118.159,30.1553
31,990.75,8.38104,118.213,30.3487
32,965.15,8.13631,118.623,31.2616
33,924.6,7.74444,119.389,32.8434
34,915.85,7.64414,119.811,33.2744
35,906.75,7.49665,120.954,33.929
36,866.05,7.13242,121.424,35.6617
37,867.75,7.13801,121.567,35.6337
38,826.55,6.74208,122.596,37.7263
39,827.45,6.75047,122.577,37.6795
40,807.6,6.5394,123.498,38.8956
41,798.2,6.44448,123.858,39.4685
42,780.3,6.28725,124.108,40.4555
43,758.5,6.10998,124.141,41.6293
44,745.35,5.94753,125.321,42.7663
45,725.65,5.73928,126.436,44.3181
46,715.75,5.65784,126.506,44.956
47,707.95,5.54047,127.778,45.9084
48,694.9,5.46334,127.193,46.5565
49,686.55,5.41174,126.863,47.0004
50,655.4,5.1282,127.803,49.5991
51,648.05,5.0316,128.796,50.5513
52,657.3,5.09573,128.99,49.9151
53,647.5,4.99331,129.674,50.939
54,633.2,4.84077,130.806,52.5441
55,616.95,4.69048,131.532,54.2277
56,612.8,4.63462,132.222,54.8813
57,617.35,4.70655,131.168,54.0426
58,609.05,4.63146,131.503,54.9188
59,585.25,4.4517,131.467,57.1364
60,573.65,4.34189,132.12,58.5814
61,565.7,4.28496,132.02,59.3597
62,570.8,4.32921,131.849,58.753
63,557.95,4.23842,131.641,60.0115
64,549.4,4.19008,131.119,60.7039
65,547.1,4.15362,131.716,61.2367
66,531.5,4.06055,130.894,62.6403
67,512.65,3.8984,131.503,65.2457
68,513.3,3.88499,132.124,65.471
69,508.65,3.8331,132.699,66.3573
70,514.75,3.8936,132.204,65.3262
71,490,3.69393,132.65,68.8573
72,488.3,3.70603,131.758,68.6325
73,493.5,3.74283,131.852,67.9577
74,487.4,3.69369,131.955,68.8618
75,475.2,3.5825,132.645,70.999
76,463.25,3.50291,132.247,72.6122
77,464.05,3.48168,133.283,73.055
78,475,3.57964,132.695,71.0557
79,450.75,3.39843,132.635,74.8446
80,443.4,3.34552,132.535,76.0282
81,449.85,3.38861,132.754,75.0615
82,438.15,3.28116,133.535,77.5195
83,430.45,3.24446,132.672,78.3964
84,429.55,3.23323,132.855,78.6687
85,422.05,3.19319,132.172,79.6551
86,416.6,3.13316,132.965,81.1813
87,427.8,3.23451,132.261,78.6376
88,410.55,3.10647,132.16,81.8788
89,411,3.08955,133.029,82.3272
90,396.65,2.99783,132.312,84.846
91,399.6,2.97539,134.302,85.4859
92,396.15,2.99821,132.129,84.8353
93,389.25,2.96121,131.45,85.8953
94,385.15,2.90182,132.727,87.6533
95,384.6,2.88886,133.132,88.0465
96,387.7,2.92635,132.486,86.9185
97,375.75,2.83329,132.62,89.7734
98,370.75,2.85805,129.721,88.9956
99,358.65,2.73071,131.339,93.1457
100,356.75,2.72833,130.758,93.227
101,362.95,2.78158,130.483,91.4423
102,364.4,2.7749,131.32,91.6624
103,367.45,2.77928,132.211,91.5179
104,367.8,2.78112,132.249,91.4574
