nthreads,energy,time
228,230.3,1.65752
1,54938.8,572.528
228,711.15,5.657
2,28319.8,289.25
228,308.35,2.57048
228,294.4,2.40692
1,26514.3,276.758
2,13473.4,138.289
3,9086.15,91.654
4,6894.05,68.9378
5,5616.45,55.8918
6,4724.4,46.7859
7,4019.5,39.5171
8,3526.65,34.5481
9,3153.75,30.7716
10,2898.75,28.1747
11,2637.25,25.512
12,2513.8,24.1495
13,2460.6,23.4935
14,2078.05,19.7032
15,1949.2,18.4386
16,1835.65,17.2824
17,1774.8,16.5896
18,1726.15,16.0051
19,1594.3,14.7031
20,1519.8,13.9614
21,1447.65,13.2616
22,1430.65,13.0383
23,1331.55,12.0465
24,1316.95,11.8498
25,1237.65,11.0995
26,1192.45,10.6391
27,1201.25,10.6891
28,1171.05,10.345
29,1092.25,9.55833
30,1052.8,9.21236
31,1053.9,9.2112
32,1035.5,8.97843
33,971.6,8.4092
34,980.15,8.46654
35,963.15,8.24636
36,943.85,8.04092
37,922.85,7.84516
38,869.25,7.34282
39,866.2,7.30671
40,847.1,7.11189
41,841.75,7.0018
42,849.6,7.02348
43,814.4,6.73495
44,787.45,6.48341
45,790.4,6.49221
46,771.3,6.29179
47,740.1,6.00483
48,739.75,5.99684
49,723,5.85655
50,693.3,5.60851
51,687.1,5.49628
52,679.75,5.40073
53,682,5.41124
54,665.2,5.25041
55,660.3,5.21534
56,647.4,5.09748
57,642.2,5.02849
58,637.25,4.99305
59,620.3,4.86916
60,613.9,4.77888
61,606.15,4.75643
62,593.85,4.64461
63,592,4.66813
64,574.75,4.51904
65,586.7,4.57468
66,563.45,4.38277
67,568.05,4.43959
68,561.35,4.38348
69,534.4,4.19594
70,540.55,4.18673
71,532.3,4.19326
72,528.3,4.15086
73,511.4,4.00416
74,510.9,4.01811
75,504.65,3.96252
76,516.95,4.04179
77,485.8,3.81036
78,479.8,3.77043
79,485.55,3.80498
80,473.55,3.6994
81,473.5,3.70047
82,479,3.75144
83,462.15,3.5821
84,458.9,3.60796
85,445.8,3.50124
86,455.65,3.5652
87,442.4,3.44777
88,447.35,3.48961
89,472.95,3.70588
90,423.3,3.31175
91,441.85,3.42707
92,424.5,3.29063
93,417.4,3.2547
94,410.75,3.19116
95,412.55,3.26389
96,397.15,3.10917
97,420.55,3.29791
98,423.55,3.35844
99,420.45,3.3366
100,406.45,3.2591
101,376.3,2.99577
102,379.65,2.99619
103,376.6,2.95123
104,377.45,2.95918
105,378.3,2.94569
106,381.8,2.99255
107,373.5,2.9107
108,372.6,2.89692
109,382.8,2.99702
110,375.05,2.95124
111,365,2.84839
112,375.85,2.95327
113,363.05,2.84387
114,364.7,2.88875
115,371.75,2.89021
116,374.45,2.94996
117,367.95,2.83775
118,366.3,2.90329
119,373.55,2.88042
120,369.2,2.8359
121,369.95,2.83797
122,363.8,2.88445
123,372.8,2.88221
124,374.75,2.88289
125,371.95,2.8871
126,369.65,2.84037
127,364.05,2.88876
128,369.05,2.84057
129,366.9,2.83835
130,379.25,2.9318
131,372.8,2.88377
132,374,2.88306
133,373.4,2.88256
134,373.95,2.88437
135,374.2,2.88367
136,362.5,2.83496
137,373.8,2.93206
138,374.25,2.88632
139,369.95,2.89519
140,367.8,2.83302
141,362.25,2.83246
142,374.6,2.93498
143,364.85,2.86476
144,358.65,2.78569
145,357.8,2.84614
146,366.25,2.82609
147,377.45,2.93657
148,346.95,2.74461
149,354.5,2.82169
150,361.8,2.8357
151,331.45,2.67247
152,335.3,2.64554
153,356.25,2.7712
154,347.5,2.72175
155,339.6,2.72161
156,332.6,2.66337
157,331.55,2.62066
158,327.9,2.62029
159,342.4,2.71492
160,331.55,2.61844
161,335.85,2.62997
162,332.4,2.62199
163,322.75,2.53879
164,323.45,2.53929
165,331.45,2.57943
166,321.55,2.56598
167,313.3,2.49754
168,317.4,2.51412
169,344.45,2.68412
170,344.1,2.67345
171,328.05,2.6113
172,319.5,2.49627
173,331.75,2.58528
174,331.6,2.58731
175,322.55,2.56601
176,316.05,2.48887
177,325.65,2.54092
178,347.7,2.7643
179,353,2.78432
180,333,2.61198
181,339.55,2.70804
182,337.9,2.69677
183,320.75,2.56117
184,326.3,2.57611
185,324.65,2.53579
186,312.25,2.46063
187,322.9,2.56139
188,312.75,2.441
189,318.65,2.48776
190,315.15,2.49981
191,318.3,2.49647
192,311.6,2.46733
193,316.95,2.51181
194,314.05,2.50386
195,305.55,2.46706
196,309.75,2.46548
197,304.65,2.43297
198,300,2.41493
199,294.1,2.41222
200,281.85,2.3133
201,282.45,2.31571
202,294.2,2.34123
203,293.4,2.3561
204,301.1,2.45956
205,303.5,2.39982
206,304.95,2.45065
207,308.95,2.44311
208,309.85,2.43674
209,297.8,2.36368
210,303,2.37313
211,304.3,2.45632
212,297.75,2.33933
213,296.65,2.36224
214,294.55,2.35531
215,304.75,2.43958
216,301.15,2.39507
217,293.15,2.36335
218,297.15,2.32878
219,290.15,2.31622
220,292.3,2.34027
221,294.7,2.34693
222,298.2,2.39681
223,298.35,2.3385
224,296.25,2.36304
225,294.65,2.33815
226,295.3,2.41034
