SAS,PAS
22.9728812712,21.9433907241
27.3940788772,26.1169642321
32.5044216939,31.0890624167
36.8903029636,35.2393228542
40.6361110417,40.7375849796
46.2028985435,44.7629339375
49.2866070714,48.6906462245
55.7945035745,53.6088888444
57.7199755294,55.8796875
59.5363739189,60.5592479512
63.8857143429,65.9343992093
69.7822649744,69.5953828649
71.6162036667,71.2846845946
75.7278186176,76.7093748889
78.7245097647,80.2866421471
80.7627524848,79.681994
84.8123656129,87.4147522162
92.7769530625,92.1657827879
94.4328571143,93.7608631071
96.7570706364,99.2273809143
105.621846784,107.604924212
109.146691206,108.160294088
113.219270875,107.934677452
110.128205038,115.212380943
110.680028724,116.837369781
116.090277733,117.450868042
119.301934429,123.424873727
121.212212655,125.358333308
126.54375,129.871666633
126.846408069,125.842788423
133.888244036,130.920982179
130.118672778,141.376190464
135.019940429,132.437037
138.905246889,141.20077163
140.722265562,135.041815357
135.711111074,143.268103448
138.466071429,148.241935452
134.933333259,140.843005964
140.134338966,150.714338206
137.091388833,139.66733332
145.889192688,140.872222222
147.61577375,146.539305533
141.863580259,142.791369
142.088194375,146.578365385
147.636396971,148.855028724
148.620694467,149.815656576
151.586848969,159.209946226
142.30349996,145.309876556
136.275925963,139.84999992
148.150862103,144.893619781
146.174839731,136.950154333
156.8123611,137.2270833
150.49739575,149.753869071
151.293154714,144.491015594
142.868154821,142.957040207
150.573924677,142.891975333
135.017391261,139.921
146.420032,140.66733332
145.567361133,151.475000032
151.80551071,149.222499967
155.320972167,143.199305567
