limit,time,average_power,max_power,estimated_max_power
30,4.047534,115.712500,135.000000,29.766667
35,3.840936,122.092105,142.000000,34.904167
40,3.333435,123.363636,142.000000,39.970833
45,2.815392,124.821429,152.000000,44.908333
50,2.673740,124.792453,153.000000,49.933333
55,2.363223,126.872340,148.000000,54.983333
60,1.866235,128.243243,148.000000,59.958333
65,1.864424,129.702703,148.000000,64.916667
70,1.986474,133.589744,150.000000,69.958333
75,1.870288,135.270270,151.000000,74.787500
80,1.895560,127.378378,143.000000,79.912500
85,1.775585,131.200000,150.000000,84.758333
90,1.964328,136.974359,155.000000,89.850000
95,1.213839,142.625000,158.000000,94.975000
100,1.317818,139.153846,151.000000,99.912500
105,1.291946,142.560000,158.000000,105.000000
110,1.316762,144.346154,162.000000,109.654167
115,1.378165,146.259259,157.000000,114.870833
120,1.470581,142.275862,158.000000,119.975000
125,1.414832,142.857143,158.000000,124.850000
130,1.347048,143.923077,166.000000,129.912500
135,1.372827,143.592593,157.000000,134.975000
140,1.121133,143.500000,158.000000,139.737500
145,1.467753,145.655172,167.000000,144.845833
150,1.448248,142.928571,158.000000,149.912500
155,1.491430,144.034483,166.000000,154.933333
160,1.514683,145.000000,162.000000,159.991667
165,1.467141,146.827586,169.000000,164.975000
170,1.393569,146.037037,162.000000,169.783333
175,1.437313,145.928571,163.000000,174.850000
180,1.493539,140.413793,157.000000,179.725000
185,1.398984,146.259259,163.000000,184.850000
190,1.471094,144.586207,158.000000,189.975000
195,1.430717,145.464286,167.000000,194.829167
200,1.564048,146.645161,161.000000,199.783333
205,1.440826,144.250000,162.000000,204.833333
210,1.114686,145.727273,162.000000,209.766667
215,1.414694,146.071429,162.000000,214.837500
220,1.416508,140.428571,156.000000,219.895833
225,1.414640,147.035714,163.000000,224.391667
230,1.438250,144.571429,167.000000,229.891667
235,1.445667,144.928571,165.000000,233.266667
240,1.414376,147.642857,165.000000,239.704167
245,1.389774,146.370370,171.000000,241.954167
250,1.391536,146.814815,170.000000,236.016667
255,1.391409,146.666667,164.000000,236.016667
260,1.466647,140.344828,162.000000,249.075000
265,1.439411,142.285714,163.000000,238.266667
270,1.415269,143.178571,157.000000,238.391667
275,1.065005,144.904762,169.000000,238.391667
280,1.438244,145.714286,163.000000,238.266667
285,1.414122,143.964286,157.000000,222.833333
290,1.399689,145.407407,167.000000,236.016667
295,1.391518,146.074074,161.000000,226.525000
300,1.439815,145.928571,163.000000,238.391667
305,1.383503,146.629630,164.000000,236.016667
310,1.414548,145.857143,161.000000,238.266667
315,1.464010,140.551724,157.000000,239.266667
320,1.393049,146.481481,165.000000,238.391667
325,1.436397,146.214286,169.000000,238.329167
330,1.449549,145.214286,165.000000,236.016667
