limit,time,average_power,max_power,estimated_max_power
30,40.267820,110.151553,155.000000,29.966667
35,29.924061,109.081940,151.000000,34.966667
40,28.718343,111.395470,151.000000,39.900000
45,22.249419,112.193694,151.000000,44.933333
50,20.686583,113.682809,151.000000,49.816667
55,20.783125,112.812048,152.000000,54.950000
60,16.948659,114.446746,151.000000,59.900000
65,15.640815,116.612179,152.000000,64.933333
70,15.384695,116.403909,151.000000,70.000000
75,13.668054,115.479853,152.000000,74.950000
80,12.338042,119.382114,152.000000,79.983333
85,11.828224,119.851695,154.000000,84.933333
90,11.274823,119.875556,153.000000,89.900000
95,11.429516,121.754386,152.000000,94.900000
100,10.066175,122.134328,153.000000,99.883333
105,10.486514,121.488038,152.000000,104.766667
110,9.699424,124.300518,153.000000,109.950000
115,9.938459,124.712121,155.000000,114.766667
120,9.142908,122.532967,154.000000,120.000000
125,9.335871,124.870968,157.000000,125.000000
130,8.496838,126.627219,157.000000,129.933333
135,7.733166,128.168831,160.000000,134.966667
140,8.232399,127.865854,162.000000,139.933333
145,6.982514,130.266187,158.000000,144.750000
150,7.466132,131.026846,163.000000,149.950000
155,8.078831,129.726708,161.000000,154.966667
160,6.817063,133.198529,168.000000,159.750000
165,8.516310,129.394118,165.000000,164.183333
170,6.393999,134.566929,161.000000,169.983333
175,7.026581,134.957143,169.000000,174.883333
180,6.546759,137.069231,166.000000,179.783333
185,6.816968,136.992647,165.000000,184.500000
190,6.817710,136.441176,164.000000,189.816667
195,5.891521,139.777778,158.000000,194.750000
200,6.180401,139.772358,171.000000,199.883333
205,6.016497,139.508333,166.000000,204.916667
210,5.628954,142.473214,165.000000,209.900000
215,7.666420,134.986928,167.000000,214.950000
220,6.278910,139.440000,166.000000,219.250000
225,3.514437,173.471429,206.000000,224.750000
230,3.264298,172.523077,203.000000,229.866667
235,3.185964,176.015873,207.000000,234.983333
240,2.866686,180.140351,210.000000,239.633333
245,4.233008,164.416667,205.000000,244.400000
250,3.739187,169.945946,200.000000,249.100000
255,3.437286,171.647059,197.000000,254.416667
260,3.131951,177.032258,209.000000,259.800000
265,3.113774,176.177419,209.000000,264.733333
270,2.913467,183.931034,214.000000,267.150000
275,3.382203,177.537313,199.000000,274.716667
280,6.499915,147.705426,176.000000,279.833333
285,5.931630,142.550847,167.000000,282.900000
290,6.029467,142.408333,171.000000,289.833333
295,5.333226,145.764151,163.000000,293.183333
300,3.064840,181.180328,204.000000,298.000000
305,5.884315,142.008547,171.000000,303.583333
310,5.177373,145.941748,171.000000,306.933333
315,5.135573,145.509804,173.000000,313.800000
320,6.078016,142.512397,171.000000,319.033333
325,4.829754,147.854167,173.000000,317.666667
330,5.516082,142.281818,165.000000,319.033333
