limit,time,average_power,max_power,estimated_max_power
30,33.423199,121.332335,134.000000,29.145455
35,33.481411,121.373692,134.000000,34.800000
40,24.372821,122.353183,136.000000,39.357576
45,22.477204,123.579065,141.000000,44.933333
50,22.581182,123.631929,145.000000,49.812121
55,17.022122,124.641176,146.000000,54.666667
60,17.117474,125.046784,146.000000,59.724242
65,16.484655,125.741641,145.000000,64.948485
70,14.064881,128.163701,162.000000,69.869697
75,14.386614,128.247387,162.000000,74.172727
80,11.373268,129.193833,145.000000,79.496970
85,11.393117,128.828194,148.000000,84.960606
90,10.826626,131.254630,153.000000,89.800000
95,10.021601,132.730000,169.000000,94.572727
100,9.495013,131.301587,157.000000,99.875758
105,9.943682,129.828283,160.000000,104.945455
110,8.944976,136.674157,175.000000,109.939394
115,8.715382,135.402299,176.000000,114.981818
120,8.267423,135.200000,160.000000,119.869697
125,7.690205,141.104575,170.000000,124.984848
130,7.442072,140.047297,169.000000,129.872727
135,7.032487,139.950000,164.000000,134.848485
140,6.793527,139.614815,172.000000,139.984848
145,6.914246,140.275362,169.000000,144.645455
150,6.887193,145.518248,177.000000,149.860606
155,6.637639,144.969697,172.000000,154.860606
160,6.464315,147.286822,179.000000,159.927273
165,6.040539,151.950000,181.000000,164.978788
170,6.835734,148.294118,181.000000,169.993939
175,6.163984,152.235772,187.000000,174.642424
180,5.315169,155.283019,181.000000,179.827273
185,5.848470,154.112069,190.000000,184.975758
190,5.866167,151.367521,183.000000,189.839394
195,5.745850,151.754386,184.000000,194.869697
200,5.968195,152.067227,185.000000,199.984848
205,6.084368,151.776860,185.000000,204.860606
210,5.099097,154.227723,192.000000,209.878788
215,6.198395,151.081301,190.000000,214.800000
220,4.975207,157.959596,196.000000,219.975758
225,5.296591,156.657143,194.000000,224.696970
230,5.094220,160.831683,191.000000,229.866667
235,5.214276,160.153846,190.000000,234.966667
240,5.799263,159.356522,200.000000,239.945455
245,5.514958,159.309091,191.000000,244.578788
250,5.071888,164.564356,200.000000,249.872727
255,5.015395,165.380000,201.000000,254.869697
260,4.642708,166.673913,194.000000,259.954545
265,5.445800,157.611111,189.000000,264.415152
270,4.664874,165.645161,199.000000,269.854545
275,4.864439,164.453608,189.000000,275.000000
280,4.696248,165.010753,197.000000,279.884848
285,5.088764,168.178218,198.000000,284.900000
290,5.263625,163.485714,200.000000,289.918182
295,4.818920,166.302083,189.000000,294.536364
300,4.791194,166.000000,204.000000,299.845455
305,4.614733,165.771739,207.000000,304.978788
310,4.445027,169.886364,207.000000,309.327273
315,4.881183,165.546392,196.000000,314.669697
320,4.671147,169.311828,212.000000,319.236364
325,4.648968,166.239130,208.000000,324.418182
330,4.394467,170.620690,195.000000,329.924242
