power,time
109.393,161.621
110.992,82.7477
112.408,53.6293
113.25,39.9439
115.007,32.6902
115.899,27.7423
116.857,23.6776
118.225,20.1358
118.812,18.5002
119.586,16.3293
120.572,14.8861
121.986,13.9008
122.748,12.3949
123.729,11.621
124.982,10.8372
125.769,10.1929
126.224,9.82537
126.451,9.24268
127.111,8.75572
129.089,8.08514
130.614,7.71776
130.628,7.04326
131.053,6.82473
132.275,6.48496
133.155,6.24573
133.994,6.13496
134.96,5.91914
135.157,5.58756
136.155,5.47244
136.353,5.25255
137.373,5.0898
138.041,4.95179
139.422,4.7844
140.702,4.67691
140.884,4.53599
141.131,4.42744
141.405,4.357
142.855,4.14546
143.045,4.00469
145.082,3.94674
145.706,3.94252
146.705,3.84343
147.437,3.67683
147.629,1.35373
151.792,1.28004
