nthreads,energy,time,power,speedup
1,21997.8,196.741,111.811,1
2,21997.8,196.741,111.811,1
3,21997.8,196.741,111.811,1
4,6742.25,55.9859,120.428,3.51412
5,5597.65,45.2407,123.73,4.34876
6,4927.5,39.2642,125.496,5.0107
7,4365.1,34.5457,126.357,5.69509
8,3997.1,31.5597,126.652,6.23393
9,3795.55,29.4364,128.941,6.6836
10,3560.8,27.4525,129.708,7.1666
11,3424.15,26.1559,130.913,7.52186
12,3179.3,24.1329,131.741,8.1524
13,3135.9,23.478,133.568,8.3798
14,3129.2,23.2761,134.438,8.45249
15,3014.15,21.9893,137.073,8.94712
16,2993.15,21.6004,138.569,9.10821
17,2926.2,21.9037,133.594,8.98209
18,2793.05,20.0887,139.036,9.79362
19,2625.25,19.3057,135.983,10.1908
20,2635.7,19.1853,137.381,10.2548
21,2524.35,18.3901,137.267,10.6982
22,2570.15,18.052,142.375,10.8986
23,2526.3,17.1427,147.369,11.4767
24,2451.95,16.8532,145.489,11.6738
25,2390.35,16.1097,148.38,12.2126
26,2258.8,14.6768,153.903,13.4049
27,2042.5,13.2665,153.959,14.8299
28,1904.8,12.7067,149.905,15.4832
29,1840.9,12.0021,153.381,16.3922
30,1602.3,10.5817,151.422,18.5926
31,1570.4,10.4817,149.823,18.77
32,1456,9.40083,154.88,20.928
33,1302.25,8.55376,152.243,23.0005
34,1423.75,9.30413,153.023,21.1456
35,1325.9,8.50817,155.838,23.1238
36,1178.1,7.61775,154.652,25.8267
37,1215.5,7.78978,156.038,25.2563
38,1128.45,7.14438,157.949,27.5379
39,1072.9,6.8099,157.55,28.8904
40,978.85,6.1451,159.29,32.0159
41,1039.5,6.60448,157.393,29.789
42,1138.55,7.166,158.882,27.4548
43,1132.7,7.09165,159.723,27.7426
44,1031.1,6.43073,160.339,30.5939
45,944.35,5.84546,161.553,33.6571
46,1024.95,6.34483,161.541,31.0081
47,1001.2,6.10597,163.971,32.2211
48,866.05,5.24592,165.09,37.5036
49,1054.45,6.38455,165.157,30.8152
50,888.3,5.29204,167.856,37.1768
51,990.75,5.88638,168.312,33.4231
52,987.55,5.87677,168.043,33.4777
53,857.6,5.11562,167.643,38.4589
54,921.9,5.49353,167.816,35.8132
55,903,5.25069,171.977,37.4696
56,863.2,5.04551,171.083,38.9933
57,878,5.0384,174.262,39.0483
58,1531,9.0398,169.362,21.7639
59,1680.1,9.85252,170.525,19.9686
60,1597.35,9.42788,169.428,20.868
61,1457.75,8.56444,170.21,22.9718
62,1492.7,8.72723,171.039,22.5433
63,1486.65,8.65227,171.822,22.7387
64,1553.65,8.94965,173.599,21.9831
65,1528.5,8.68398,176.014,22.6556
66,1513.85,8.60699,175.886,22.8583
67,1398,7.99662,174.824,24.603
68,1464.05,8.40432,174.202,23.4095
69,1541.7,8.69114,177.388,22.637
70,1231.85,7.0382,175.023,27.9533
71,1306.6,7.43754,175.676,26.4524
72,1254.35,7.13564,175.787,27.5716
73,1311.05,7.42485,176.576,26.4976
74,1341.9,7.59588,176.662,25.901
75,1251,6.94493,180.131,28.3287
76,1227.45,6.84575,179.301,28.7391
77,1143.45,6.4624,176.939,30.444
78,1045.35,5.85907,178.416,33.5789
79,1225.95,6.74157,181.849,29.1833
80,1165.95,6.48703,179.736,30.3284
81,1243.5,6.9331,179.357,28.3771
82,1079.4,5.96056,181.09,33.0071
83,1080,5.94763,181.585,33.0789
84,1086.1,5.96214,182.166,32.9984
85,1136.55,6.21635,182.832,31.649
86,1046.45,5.77962,181.059,34.0405
87,1034.6,5.75925,179.641,34.1609
88,998.7,5.5378,180.342,35.5269
89,995.7,5.38639,184.855,36.5256
90,998.65,5.49259,181.818,35.8193
