nthreads,energy,time,power,speedup
1,1191.5,11.0969,115.8151515,1
2,1191.5,11.0969,117.469696833,1
3,1191.5,11.0969,117.001262667,1
4,854.35,7.54795,116.130303,1.47019
5,854.4,7.40983,116.898484833,1.49759
6,831.35,7.15891,115.983333333,1.55008
7,834.3,7.07915,118.3045455,1.56755
8,668.95,5.68762,118.366666667,1.95106
9,632.65,5.34605,117.6954545,2.07572
10,656.95,5.52799,120.239394,2.0074
11,672.25,5.63224,118.9560605,1.97025
12,590.55,4.92988,118.009090833,2.25095
13,621.1,5.15262,121.35,2.15364
14,631.4,5.25996,121.068181833,2.10969
15,609.95,4.99247,122.236363667,2.22273
16,600.1,4.96046,121.063636333,2.23707
17,568.75,4.60984,120.5439395,2.40722
18,634,5.13484,121.366666667,2.1611
19,566.75,4.53554,121.548484833,2.44665
20,546.15,4.41355,122.996969667,2.51428
21,580.7,4.63715,123.4151515,2.39304
22,565.6,4.51451,123.766666667,2.45805
23,540.1,4.26569,120.1545455,2.60143
24,583.35,4.46351,124.2257575,2.48614
25,565.1,4.34068,123.016666667,2.55649
26,611.1,4.65965,123.959090833,2.38149
27,606.95,4.44119,123.966666667,2.49863
28,607.8,4.40991,122.753030167,2.51636
29,605.4,4.37762,122.086363667,2.53492
30,637.9,4.63227,125.913636333,2.39556
31,627.15,4.51608,125.583333333,2.4572
32,590.55,4.26549,124.8560605,2.60155
33,610.1,4.36911,123.190909167,2.53985
34,582.35,4.10749,124.7060605,2.70163
35,612.1,4.28335,124.856060667,2.59071
36,652.35,4.53418,125.968181833,2.44739
37,625.65,4.33508,125.8954545,2.55979
38,637.75,4.40626,126.340909167,2.51844
39,601.8,4.0853,126.45,2.7163
40,639.8,4.33407,127.521212167,2.56039
41,592.7,4.00926,126.010606,2.76782
42,632.55,4.24628,129.040909167,2.61332
43,660.9,4.37951,127.996969667,2.53382
44,657.65,4.32694,127.499999833,2.56461
45,663.05,4.35595,127.712121333,2.54753
46,615.9,4.01133,125.7833335,2.76639
47,697,4.47946,127.919697,2.47729
48,670.8,4.31331,128.778787833,2.57271
49,666.9,4.23093,129.324242333,2.6228
50,670.45,4.26717,130.098485,2.60053
51,669,4.19707,127.101515167,2.64396
52,710.55,4.46492,128.221212167,2.48535
53,654.65,4.06252,129.396969667,2.73153
54,703.9,4.33207,130.939394,2.56157
55,714.9,4.37948,131.7757575,2.53384
56,671,4.10996,132.140909,2.7
57,662.1,4.01063,131.372727333,2.76687
58,736.6,4.42861,130.883333333,2.50573
59,715.75,4.34829,132.486363667,2.55201
60,691.7,4.18336,131.042424167,2.65263
61,678.35,4.08679,132.336363667,2.71531
62,717.45,4.33212,131.048484833,2.56154
63,728.45,4.39095,133.8757575,2.52722
64,734.8,4.43065,131.889393833,2.50458
65,752.1,4.55138,131.812121333,2.43814
66,753.05,4.53275,131.7242425,2.44816
67,747.95,4.49221,132.8651515,2.47025
68,805.4,4.8297,131.9,2.29764
69,722.8,4.32888,134.156060667,2.56346
70,766.3,4.57413,134.292424333,2.42601
71,742,4.46047,133.019697,2.48783
72,700.5,4.18678,133.116666667,2.65046
73,742.35,4.45758,134.5848485,2.48944
74,791.85,4.73581,134.75,2.34319
75,689.85,4.16346,134.168181833,2.66531
76,745.8,4.45459,135.625757667,2.49112
77,736.85,4.38021,134.843939333,2.53342
78,762.25,4.54501,135.966666667,2.44156
79,755.15,4.51279,134.9651515,2.45899
80,754.1,4.51042,135.853030333,2.46028
81,772.9,4.58472,134.298484833,2.42041
82,757.75,4.49004,136.9,2.47145
83,724.5,4.28915,137.438888667,2.5872
84,760.2,4.48417,137.2454545,2.47468
85,813.6,4.79647,136.112121167,2.31356
86,761.35,4.5123,138.2560605,2.45926
87,703.5,4.1633,137.2439395,2.66541
88,736.15,4.33578,137.236363667,2.55938
89,773.15,4.53381,136.227272667,2.44759
90,749.45,4.40405,137.727272667,2.5197
91,782.7,4.5926,137.559091,2.41626
92,717.2,4.21014,139.1651515,2.63576
93,723.85,4.24508,139.086363667,2.61406
94,718.25,4.20987,139.4257575,2.63592
95,727.7,4.25713,140.128787833,2.60666
96,768.9,4.47283,138.366666667,2.48096
97,710.35,4.15896,140.363636333,2.66819
98,776.5,4.53389,138.678787833,2.44755
99,738.95,4.30573,141.5060605,2.57724
100,776.45,4.50587,140.348484833,2.46277
101,764.55,4.45246,139.648484833,2.49231
102,788.8,4.58521,140.683333333,2.42015
103,756.15,4.40197,140.242424167,2.52089
104,780.75,4.53945,140.462121167,2.44455
105,722.45,4.20314,139.906060667,2.64015
106,731.45,4.261,143.3939395,2.60429
107,760.4,4.38257,143.325757667,2.53205
108,747.3,4.30894,141.848484667,2.57532
109,770.85,4.45483,141.987878833,2.49098
110,737.65,4.23979,143.201515167,2.61732
111,772.25,4.45854,144.7863635,2.48891
112,728.95,4.1981,143.828787833,2.64331
113,790.4,4.53046,143.8045455,2.4494
114,731.25,4.20245,144.0454545,2.64058
115,759.7,4.3447,146.2848485,2.55412
116,773.6,4.42549,146.139394,2.5075
117,772.6,4.44529,145.966666667,2.49633
118,766.05,4.39657,146.890909167,2.52399
119,819.2,4.67846,147.006060667,2.37191
120,793.95,4.53973,146.412121167,2.4444
121,772.45,4.40099,147.501515,2.52146
122,768.9,4.41404,147.5439395,2.514
123,752.3,4.28105,147.451515167,2.5921
124,785.95,4.50119,147.706060667,2.46533
125,840.95,4.79447,147.962121167,2.31452
126,755.05,4.30952,148.533333333,2.57497
127,765.3,4.33591,148.295454667,2.5593
128,871.85,5.01656,148.662121333,2.21205
129,835.45,4.78654,148.218181667,2.31836
130,881.65,5.04588,148.942424167,2.1992
131,835.95,4.80695,149.264646333,2.30851
132,829.95,4.76218,148.472727333,2.33021
133,876.35,4.99521,150.637703833,2.22151
134,909.4,5.20037,150.0651515,2.13387
135,886.95,5.05051,150.866666667,2.19718
136,862.8,4.8926,151.1,2.2681
137,895.8,5.09741,150.4757575,2.17697
138,845.3,4.80803,151.475757667,2.30799
139,872.95,4.92352,152.095454667,2.25385
140,856.55,4.85174,152.879254,2.2872
141,865,4.904,153.262121167,2.26283
142,856.95,4.83446,152.993939333,2.29538
143,865.35,4.89747,153.419697,2.26584
144,865.65,4.89438,154.1257575,2.26727
145,848.15,4.80907,153.458333333,2.30749
146,900.95,5.10032,153.968181833,2.17573
147,850.45,4.78105,154.445202,2.32102
148,879.2,4.91913,154.474242333,2.25587
149,914.35,5.13182,153.931818167,2.16237
150,837.45,4.69955,154.486363667,2.36127
151,881.5,4.95904,155.975222667,2.23771
152,899.7,5.04774,155.630303,2.19839
153,846.5,4.75507,156.4742425,2.3337
154,903.75,5.04352,157.3661615,2.20023
155,856.7,4.77969,158.061868833,2.32168
156,905.65,5.04593,157.506060667,2.19918
157,906.5,5.04052,157.285281333,2.20154
158,872.4,4.83951,158.984848333,2.29298
159,845.65,4.6942,158.7045455,2.36396
160,831.2,4.6292,156.9060605,2.39715
161,803,4.50473,155.625757667,2.46339
162,823.8,4.60862,157.5954545,2.40786
163,822.35,4.58093,157.272727167,2.42241
164,898.1,4.99425,158.256060667,2.22194
165,862.7,4.78008,158.940676167,2.32149
166,890.65,4.93666,159.122222167,2.24786
167,860.7,4.78552,159.331818167,2.31885
168,818.2,4.54054,159.269697,2.44396
169,897.35,4.99549,159.430303167,2.22138
170,900.05,4.98536,161.127363167,2.2259
171,881.3,4.8853,159.4757575,2.27149
172,836.4,4.65195,160.028787833,2.38543
173,897.7,4.99086,160.987878667,2.22344
174,847.1,4.69215,161.968181833,2.36499
175,909.85,5.04852,162.227272667,2.19805
176,892.85,4.94121,161.718181833,2.24579
