nthreads,energy,time,power,speedup
1,8426.3,76.0479,117.347676733,1
2,8426.3,76.0479,116.8,1
3,8426.3,76.0479,116.161212067,1
4,2817.2,24.3297,117.270909067,3.12572
5,2735.2,23.6518,117.1139394,3.21531
6,2797.55,24.0408,117.120606067,3.16328
7,2814.25,24.2623,118.2248484,3.13441
8,1541.95,12.9424,119.1927272,5.87587
9,1501.85,12.5446,119.661212133,6.0622
10,1587.15,13.3084,120.884848467,5.71428
11,1531.5,12.7397,120.6242424,5.96936
12,1241.8,9.99484,121.8163636,7.60872
13,1235.85,10.0406,122.807878867,7.57404
14,1268.45,10.183,123.147878733,7.46812
15,1224,9.70855,122.291515067,7.83309
16,883.1,6.89797,124.088484867,11.0247
17,874.05,6.89739,124.0478788,11.0256
18,989.55,7.35269,124.859393933,10.3429
19,882.05,7.00635,124.810303067,10.8541
20,892.7,6.80851,125.0436364,11.1695
21,880.95,6.69163,125.6024242,11.3646
22,930.5,6.75224,125.9115152,11.2626
23,899.6,6.95637,118.3383994,10.9321
24,847.1,6.28089,126.887272733,12.1078
25,826.05,6.23944,126.921212133,12.1883
26,846.55,6.28214,126.593333333,12.1054
27,846.4,6.14941,127.825454533,12.3667
28,867.2,6.08822,127.532727267,12.491
29,846.2,5.99641,125.5369696,12.6822
30,844.9,5.99514,129.101212067,12.6849
31,842.35,5.99192,128.479393933,12.6917
32,730.35,5.00311,130.047272733,15.2001
33,736.65,5.04507,129.259394,15.0737
34,715.8,4.95923,128.446666667,15.3346
35,751.75,5.13829,129.327272733,14.8002
36,743.3,5.03219,129.841818133,15.1123
37,751.75,5.05769,129.2224242,15.0361
38,754.25,5.0301,128.984848467,15.1186
39,753.5,5.05204,129.7878788,15.0529
40,744,4.93498,131.436969733,15.41
41,733.55,4.86365,130.665454467,15.636
42,759.6,5.0034,130.300606067,15.1992
43,750.45,4.87951,132.939393933,15.5852
44,769.9,4.95696,132.073333267,15.3416
45,783.95,4.97661,132.690909067,15.2811
46,788.5,5.02776,132.581212133,15.1256
47,779.25,4.95071,133.044848467,15.361
48,754.05,4.76337,133.666666733,15.9651
49,790.15,4.88802,134.420606067,15.558
50,750.8,4.70779,133.102424267,16.1536
51,750.65,4.69591,133.5484848,16.1945
52,814.1,4.94979,134.293333333,15.3639
53,828.75,5.09734,135.576363667,14.9191
54,800.6,4.88453,135.552727267,15.5691
55,804.6,4.89966,136.1739394,15.5211
56,783.25,4.69801,136.776969733,16.1873
57,804.8,4.79951,135.834545467,15.8449
58,817.3,4.85219,135.856969667,15.6729
59,808.35,4.83562,136.783636333,15.7266
60,799.65,4.7912,134.7715152,15.8724
61,817.4,4.84048,137.535757667,15.7108
62,809.7,4.8391,135.7533334,15.7153
63,797.05,4.76178,137.724848467,15.9705
64,769.7,4.58028,138.244848467,16.6033
65,762.2,4.55634,138.055757533,16.6906
66,773.2,4.59557,137.971515133,16.5481
67,799.35,4.6809,138.694545533,16.2464
68,811.05,4.78353,138.387272733,15.8979
69,786.6,4.70644,139.519999933,16.1583
70,798.9,4.6945,139.7781818,16.1994
71,786.3,4.65966,140.329696933,16.3205
72,777.2,4.55998,138.261212133,16.6772
73,766.6,4.55997,140.3563636,16.6773
74,773.4,4.54242,139.806666667,16.7417
75,784.75,4.64012,139.579393867,16.3892
76,787.5,4.60714,142.220000067,16.5065
77,766.3,4.54347,140.944848533,16.7378
78,769.25,4.54719,141.093333267,16.7242
79,800.7,4.69335,141.2236364,16.2033
80,756.55,4.45961,142.195151467,17.0526
81,770.15,4.49499,140.803636333,16.9184
82,797.5,4.66051,142.367272733,16.3175
83,785.95,4.57857,142.783030333,16.6095
84,774.8,4.52795,142.502424267,16.7952
85,777.4,4.49105,143.534545467,16.9332
86,755.25,4.46238,144.187272667,17.042
87,784.6,4.55642,143.369697067,16.6903
88,756.9,4.40968,144.2945454,17.2457
89,775.55,4.50127,144.498787867,16.8948
90,792.9,4.59252,144.586666667,16.5591
91,767.1,4.452,144.5260606,17.0817
92,770.6,4.42892,145.460606,17.1708
93,758.5,4.43426,145.007878733,17.1501
94,780.9,4.49266,145.356363667,16.9271
95,778.6,4.50099,145.180605933,16.8958
96,772.65,4.49999,144.755151533,16.8996
97,775.4,4.4946,145.980606,16.9198
98,754.25,4.39972,145.485454533,17.2847
99,773.8,4.44883,148.064848467,17.0939
100,746.05,4.34323,147.279393867,17.5095
101,770.3,4.42967,147.295757533,17.1678
102,782.3,4.53386,148.215151533,16.7733
103,759.65,4.39981,148.939393867,17.2844
104,811.15,4.63884,148.621818133,16.3937
105,816.85,4.70512,148.773333333,16.1628
106,827,4.7852,149.822424267,15.8923
107,781.9,4.55766,149.335151533,16.6857
108,791.5,4.54892,148.7084848,16.7178
109,773.05,4.48465,150.006060533,16.9574
110,770.4,4.44201,150.3642424,17.1202
111,767.4,4.43032,150.841212133,17.1653
112,773.65,4.47348,151.070303,16.9997
113,791.95,4.60598,151.167272667,16.5107
114,765.6,4.43259,151.4757576,17.1565
115,792.65,4.54137,151.511515133,16.7456
116,771.2,4.42968,152.703030333,17.1678
117,778.45,4.47817,152.018181867,16.9819
118,791.6,4.58547,152.778787867,16.5845
119,762.35,4.4276,153.373333333,17.1759
120,750.4,4.32305,153.0460606,17.5913
121,782.85,4.47689,153.329697,16.9868
122,746.15,4.33453,153.652727267,17.5447
123,775.05,4.46156,153.223030267,17.0451
124,813.85,4.64466,155.0218182,16.3732
125,796.4,4.5923,155.086666733,16.5599
126,810.6,4.67768,155.4121212,16.2576
127,799.55,4.584,155.450303067,16.5899
128,763.15,4.39812,154.381414133,17.291
