nthreads,energy,time,power,speedup
1,20558.4,186.501,117.6084848,1
2,20558.4,186.501,118.784848467,1
3,20558.4,186.501,118.915757533,1
4,6426.35,54.8055,118.0618182,3.40296
5,6272.1,52.8747,119.426060667,3.52723
6,4380.45,36.342,118.659394,5.13183
7,4520.3,37.3597,118.788484867,4.99204
8,3474.25,27.7425,120.207272733,6.72257
9,3547.85,28.6308,119.183030267,6.514
10,2945.8,23.0387,121.870303133,8.09512
11,2929.1,23.1134,122.699394,8.06896
12,2544.5,20.0124,122.415151467,9.31927
13,2714.1,21.311,121.9818182,8.7514
14,2571.9,19.7602,123.746060533,9.43821
15,2340.65,17.7129,123.490303,10.5291
16,2040.05,15.5567,123.351515133,11.9885
17,1996,15.2648,123.9424242,12.2177
18,2038.8,14.6396,124.440606067,12.7395
19,1929.25,14.2095,124.929090867,13.1251
20,1808.6,13.3105,125.1836364,14.0116
21,1830.55,13.3324,124.829697,13.9886
22,1881.15,13.1262,126.970303,14.2083
23,1720.5,12.6286,121.908181867,14.7681
24,1607.45,11.3859,126.450303,16.38
25,1613.55,11.5984,125.823636333,16.0799
26,1635.05,11.3161,127.6545456,16.481
27,1593.55,10.846,127.601818133,17.1954
28,1560.35,10.055,125.5539394,18.5481
29,1550.25,10.2693,124.640606067,18.161
30,1515.85,9.99441,128.290303067,18.6605
31,1504.8,9.79105,128.208484933,19.0481
32,1418.85,9.16476,128.7818182,20.3498
33,1470.6,9.38875,129.049697,19.8643
34,1368.55,8.71166,128.950909067,21.4082
35,1433.85,8.80982,128.0163636,21.1697
36,1369.2,8.54568,130.030302933,21.824
37,1374.95,8.36097,129.912727267,22.3061
38,1334.2,7.95391,130.038181867,23.4477
39,1333.3,7.99214,128.674545533,23.3356
40,1304.3,7.69813,131.9757576,24.2268
41,1278.9,7.71885,129.803030333,24.1618
42,1320.7,7.70165,132.0278788,24.2157
43,1331.1,7.78161,131.718787867,23.9669
44,1325.85,7.5316,131.244242467,24.7625
45,1310.65,7.44833,132.247272667,25.0393
46,1242.6,7.23465,132.730303067,25.7789
47,1236.6,6.96434,132.9842424,26.7794
48,1278.45,7.1092,133.494545467,26.2338
49,1260.3,6.9489,133.069090933,26.8389
50,1206.35,6.75902,133.0527272,27.5929
51,1229.85,6.81129,132.998181867,27.3812
52,1282.35,6.89378,133.658181867,27.0535
53,1220.1,6.7798,134.742424267,27.5083
54,1204.75,6.63592,135.008484867,28.1048
55,1222.45,6.65973,135.029090933,28.0043
56,1250.15,6.58353,134.401212133,28.3284
57,1224.4,6.63432,134.5121212,28.1115
58,1238.75,6.46767,134.881212067,28.8359
59,1202.95,6.40229,134.092121267,29.1304
60,1182.5,6.41347,133.743030333,29.0796
61,1232.25,6.49733,135.6175758,28.7043
62,1072.85,5.75475,134.362424267,32.4082
63,1087.6,5.80683,137.495757533,32.1175
64,1058.55,5.65501,137.165454533,32.9798
65,1088.2,5.69499,138.475151467,32.7483
66,1108.05,5.7653,139.087272733,32.3489
67,1085.3,5.76861,138.809697,32.3303
68,1103.75,5.73586,140.102424267,32.5149
69,1134.6,5.88473,140.206666667,31.6924
70,1137.05,5.88319,140.849697,31.7007
71,1069.4,5.73267,138.276969733,32.533
72,1060.6,5.60504,138.909697,33.2738
73,1103.9,5.81254,139.733333333,32.086
74,1086.35,5.63577,140.362424267,33.0924
75,1055.95,5.63282,140.123030333,33.1097
76,1072.6,5.63832,140.581212133,33.0774
77,1104.4,5.80411,140.904848467,32.1326
78,1124.1,5.80143,137.897777733,32.1474
79,1132.8,5.84207,140.739393933,31.9238
80,1090.4,5.81273,141.1266666,32.0849
81,1098.35,5.78937,139.884242467,32.2144
82,1108.6,5.75537,141.716363667,32.4047
83,1084.65,5.78403,142.3878788,32.2441
84,1257.1,6.45476,142.784848467,28.8936
85,1294.55,6.62651,142.0133334,28.1447
86,1146.2,5.98253,143.913333333,31.1743
87,1203.25,6.08792,142.944242333,30.6346
88,1257.8,6.40106,142.362424267,29.136
89,1267.8,6.50599,141.995151533,28.666
90,1252.6,6.48536,143.7030304,28.7572
91,1281.1,6.43781,143.244242467,28.9696
92,1202.8,6.03324,143.459393933,30.9122
93,1187.95,6.0063,144.049697,31.0509
94,1182,5.90195,144.6012122,31.5999
95,1196.85,5.93654,146.016363667,31.4158
96,1166.75,5.93427,143.527878867,31.4278
97,1084.3,5.52905,145.198787867,33.7311
98,1059.85,5.4474,144.1284848,34.2367
99,1127.2,5.67057,146.189090867,32.8893
100,1097.9,5.59961,146.762424267,33.3061
101,1123.1,5.67858,146.545454533,32.8429
102,1110.85,5.50297,146.0618182,33.891
103,1076.45,5.5537,145.738787933,33.5814
104,1086.2,5.45024,147.96,34.2189
105,1166.95,5.79112,147.8515152,32.2047
106,1038.45,5.22649,148.113333267,35.6838
107,1045.15,5.35173,147.669090867,34.8487
108,1069.5,5.47482,147.255151533,34.0652
109,1086.9,5.34436,147.1515152,34.8968
110,1041.05,5.34535,144.8618182,34.8903
111,1084.5,5.32732,147.579394,35.0084
112,1012.9,4.97293,149.333333333,37.5032
