power,speedup
109.913,1.0
111.956,2.0769
112.938,3.10819
114.021,3.98479
115.965,5.16251
116.7,5.95436
117.236,7.03282
118.353,8.16011
119.701,9.17026
120.829,10.2232
122.035,11.1992
122.542,11.8366
123.818,13.183
124.847,14.3537
125.903,15.1348
126.625,16.2078
127.321,17.7474
127.637,19.3835
129.089,20.3892
129.989,21.1924
130.573,22.1479
131.391,23.2315
131.589,24.6981
133.034,25.5053
134.546,26.77
135.381,30.4374
137.831,31.9162
138.622,33.266
140.411,34.6473
141.836,35.1911
142.372,38.0533
143.54,39.0589
143.843,39.0691
146.679,39.8885
147.52,45.6592
149.038,46.8882
150.902,48.161
152.38,52.9478
152.796,101.781
154.73,126.885
154.882,128.12
154.977,128.359
157.758,128.467
158.129,128.769
159.335,128.985
161.612,129.067
162.249,129.915
