power,time
110.078,298.03
112.281,145.636
112.947,100.152
114.494,74.0762
116.049,58.8072
116.864,49.4018
118.11,43.3091
119.521,37.396
120.036,33.6412
120.395,29.7264
122.273,26.7876
123.066,23.2002
125.089,21.3492
125.272,21.3032
126.579,18.7266
127.036,17.575
127.312,16.8107
127.787,15.0047
129.235,14.5413
130.323,13.6545
130.813,13.4967
132.525,12.5282
132.626,12.3829
134.622,11.6066
134.787,11.3268
135.011,10.9521
135.624,10.6073
136.457,9.75622
138.661,9.59895
140.096,9.10092
140.612,8.58108
141.085,8.47784
142.898,8.27546
144.177,7.823
145.517,7.59634
146.798,7.05119
148.007,6.99157
149.421,6.85448
151.633,6.24633
155.832,6.04239
157.414,5.60434
157.688,5.4998
158.274,4.88932
158.455,4.84585
158.601,4.49649
158.832,4.1078
158.919,3.3108
159.572,2.35004
160.521,2.2835
161.345,2.22628
162.612,2.20064
164.134,2.15617
164.282,2.10126
164.912,2.09991
167.043,2.07522
167.241,2.04256
