power,speedup,nthreads
110.04,1.0,1
112.189,1.9433,2
112.996,2.95143,3
114.257,3.9787,4
115.98,4.79534,5
117.155,5.96113,6
118.176,6.74791,7
119.311,7.83548,8
120.32,8.90458,9
121.042,10.5475,11
122.598,11.7191,12
124.511,12.6342,13
124.771,14.658,15
126.183,15.7623,16
126.362,16.3852,17
127.687,17.7749,18
127.797,18.3497,19
129.321,19.2103,20
130.32,21.4779,22
131.194,24.1736,25
133.166,25.9228,27
136.409,26.8999,28
137.127,29.2738,31
139.243,30.8279,32
139.28,32.2923,34
140.224,32.7932,35
141.983,34.9114,36
142.695,34.9455,37
144.122,36.3356,38
144.617,37.3347,39
146.348,38.2354,40
146.703,41.2288,43
149.77,43.5033,45
152.217,44.2082,46
153.115,46.1409,50
153.881,46.7648,49
155.036,47.7362,51
155.889,49.0589,52
157.968,49.4937,53
158.41,52.5894,55
158.464,80.4313,93
160.379,142.102,200
167.096,142.258,226
167.283,142.584,224
