power,speedup
109.28,1.0
109.913,1.0
110.002,1.0
110.04,1.0
110.046,1.0
110.078,1.0
111.516,1.93126
111.956,2.0769
112.631,2.97853
112.836,3.11067
113.699,4.00307
113.915,4.08312
114.658,4.831
115.444,5.11671
115.965,5.16251
116.009,5.81565
116.7,5.95436
116.864,6.03278
116.878,6.95806
117.236,7.03282
118.097,7.69495
118.353,8.16011
119.074,8.86317
119.701,9.17026
120.263,9.6717
120.395,10.0258
120.829,10.2232
121.042,10.5475
121.088,10.7461
122.035,11.1992
122.429,11.9459
123.066,12.846
123.277,12.9143
123.818,13.183
124.771,14.658
125.677,15.1356
125.941,15.3789
126.183,15.7623
126.318,15.9173
126.362,16.3852
127.007,16.8277
127.036,16.9576
127.111,17.306
127.312,17.7286
127.321,17.7474
127.502,18.1749
127.637,19.3835
127.787,19.8624
129.089,20.3892
129.235,20.4954
129.583,20.8235
129.848,20.9637
129.94,21.9047
130.573,22.1479
130.913,24.0944
131.194,24.1736
131.589,24.6981
133.034,25.5053
133.166,25.9228
133.334,26.0503
134.061,26.2393
134.546,26.77
135.011,27.2121
135.357,28.1715
135.381,30.4374
136.457,30.5477
137.419,31.4293
137.788,32.2349
138.622,33.266
139.49,34.3464
139.587,34.3799
140.381,34.4158
140.411,34.6473
140.612,34.7311
140.647,35.13
140.998,35.5012
141.829,36.9765
142.372,38.0533
143.024,38.1145
143.31,39.4408
144.615,40.1111
145.724,40.4877
146.703,41.2288
146.798,42.2666
147.136,43.7904
147.309,45.7009
147.889,46.2306
148.773,123.532
154.73,126.885
154.882,128.12
154.977,128.359
157.758,128.467
158.129,128.769
158.965,134.425
160.379,142.102
167.043,143.614
167.241,145.91
