nthreads,energy,time
1,17471.8,159.881
2,9231.95,82.7857
3,6045.8,53.6779
4,4541.1,39.9396
5,3794.6,33.0948
6,3189.25,27.4915
7,2685.6,22.9778
8,2453.75,20.7774
9,2147.95,18.0388
10,1988.05,16.5308
11,1801.55,14.878
12,1638.55,13.3837
13,1526.2,12.3802
14,1551.15,12.5519
15,1355.25,10.7785
16,1309.3,10.3961
17,1206.7,9.50105
18,1192.8,9.3417
19,1094.05,8.49333
20,1073.8,8.34634
21,1000.95,7.70964
22,971.9,7.4089
23,931,7.07411
24,884.95,6.75014
25,854.4,6.47756
26,859.2,6.45127
27,822.05,6.03045
28,793.85,5.77692
29,772.65,5.64421
30,757.8,5.5341
31,731.7,5.37917
32,699.05,5.087
33,711.15,5.15262
34,669.05,4.79268
35,652.15,4.64557
36,657.25,4.68422
37,640.1,4.55112
38,613.25,4.32386
39,599.95,4.19475
40,598.35,4.13591
41,598.15,4.10671
42,591.95,4.03417
43,573.35,3.83403
44,553.45,3.74098
45,557.05,3.78252
46,537.2,3.65105
47,515.35,3.49842
48,511.45,3.45834
49,503.1,3.35525
50,524.7,3.42853
51,492.65,3.21004
52,500.8,3.18065
53,490,3.15056
54,478.7,3.09735
55,466.05,3.03045
56,466.4,3.02473
57,460.95,2.99117
58,448.9,2.89357
59,451.5,2.87551
60,452.6,2.88259
61,434.15,2.74696
62,432.6,2.72566
63,425,2.69359
64,408.35,2.59543
65,403.2,2.58193
66,405.75,2.6414
67,394.7,2.58094
68,395.5,2.56774
69,402.3,2.57282
70,407.35,2.57016
71,399.2,2.56627
72,411.05,2.56882
73,407.9,2.57744
74,410.95,2.57543
75,405.9,2.57788
76,364.1,2.36113
77,362.85,2.33457
78,382.55,2.49976
79,353.7,2.26893
80,348.05,2.23967
81,347.5,2.24973
82,348.1,2.23111
83,346.05,2.16953
84,341.95,2.2102
85,334.3,2.14456
86,334.65,2.1397
87,325,2.09133
88,317,2.05436
89,331.6,2.1323
90,310.1,2.00905
91,315.3,2.03732
92,317.1,2.04177
93,317.6,2.01902
94,310.15,2.00429
95,309.25,2.00605
96,304.55,1.96198
97,302.85,1.94325
98,292.75,1.87508
99,282.95,1.82352
100,280.35,1.82583
101,273.05,1.81081
102,282.6,1.84813
103,283.1,1.84627
104,292.3,1.87396
105,289.05,1.82562
106,286.45,1.84528
107,285.2,1.84823
108,286.95,1.82654
109,281.25,1.80995
110,286.25,1.83167
111,284.4,1.83333
112,286.4,1.83091
113,290.55,1.82351
114,281.8,1.77558
115,289.1,1.83387
116,272.8,1.75863
117,272.4,1.74932
118,273,1.75801
119,273,1.7311
120,285.35,1.83615
121,266.8,1.70238
122,267.9,1.68197
123,275.9,1.72637
124,279.3,1.7814
125,263.5,1.68612
126,275,1.74074
127,265.15,1.68406
128,265.25,1.68542
129,259.2,1.69752
130,257.8,1.65263
131,261.8,1.70176
132,264.05,1.67828
133,264.35,1.67794
134,258.45,1.6489
135,264.55,1.68803
136,249.85,1.601
137,251.65,1.59736
138,250.65,1.59753
139,255,1.63136
140,244.65,1.55912
141,252.05,1.58835
142,245.7,1.61029
143,241.05,1.55067
144,249.75,1.58056
145,249.9,1.57778
146,247.95,1.59441
147,246,1.5788
148,244.05,1.58216
149,233.6,1.48067
150,234.05,1.52107
151,232.75,1.47803
152,232.95,1.48806
153,239.15,1.53019
154,240.1,1.52671
155,234.6,1.51241
156,245.8,1.58088
157,227.3,1.45805
158,242.3,1.52597
159,239.15,1.53641
160,233.65,1.48243
161,234.75,1.47528
162,228.3,1.44994
163,236.8,1.47995
164,233.7,1.49881
165,232.95,1.4894
166,230.2,1.49141
167,225.75,1.49586
168,232.65,1.47318
169,232.55,1.49087
170,238.35,1.53259
171,231.25,1.49305
172,225.5,1.46473
173,235.1,1.49126
174,230.05,1.49051
175,239.4,1.52871
176,230.1,1.49056
177,231.7,1.49558
178,234.65,1.49588
179,230.85,1.48931
180,230.95,1.49145
181,235.4,1.50594
182,231.2,1.5032
183,234.95,1.4871
184,229.65,1.49215
185,234.7,1.48559
186,230.8,1.49364
187,231.3,1.49509
188,231.65,1.48659
189,243.2,1.5287
190,235.75,1.46786
191,227.35,1.43479
192,243.9,1.52333
193,239.4,1.5193
194,224.9,1.419
195,216.7,1.38958
196,208.75,1.36599
197,214.9,1.38332
198,205.8,1.34875
199,203,1.33375
200,192.55,1.29425
201,202.3,1.34171
202,209.65,1.39018
203,211.9,1.37929
204,216.35,1.39139
205,213,1.38093
206,216.7,1.38909
207,210.6,1.35118
208,208.9,1.34912
209,217.25,1.37861
210,213.45,1.36845
211,214.4,1.40398
212,214.25,1.39688
213,212.3,1.37931
214,209.6,1.3533
215,213.35,1.37834
216,209.75,1.34091
217,215.1,1.37772
218,209.5,1.32855
219,209.6,1.33654
220,201.05,1.30182
221,214.75,1.39872
222,209.45,1.34471
223,209.1,1.35197
224,209.05,1.33825
225,210.45,1.32154
226,200.75,1.30608
227,212,1.37765
228,216,1.39357
