nthreads,energy,time,power,speedup
1,25166.7,228.784,110.002,1
2,12578.7,112.078,112.232,2.04129
3,8760.8,77.5945,112.905,2.94846
4,6437.4,56.3,114.341,4.06366
5,5313.2,45.9258,115.691,4.9816
6,4551.6,38.9809,116.765,5.86913
7,3931.35,33.3368,117.928,6.86281
8,3514.5,29.5294,119.017,7.74767
9,3084.1,25.6981,120.013,8.90276
10,2765.5,22.9057,120.734,9.98808
11,2534.6,20.7266,122.287,11.0382
12,2407,19.5233,123.289,11.7185
13,2199.65,17.7287,124.073,12.9047
14,2096,16.757,125.082,13.653
15,1933.5,15.3531,125.935,14.9015
16,1815.6,14.3733,126.318,15.9173
17,1709.2,13.4446,127.129,17.0168
18,1682.7,13.1889,127.585,17.3467
19,1589.85,12.3516,128.716,18.5226
20,1485.1,11.4414,129.801,19.9962
21,1423.7,10.9868,129.583,20.8235
22,1412.2,10.7826,130.97,21.2179
23,1330.25,10.0804,131.964,22.6959
24,1303.3,9.89221,131.75,23.1277
25,1259.2,9.53926,132.002,23.9834
26,1189.6,8.87283,134.072,25.7848
27,1185.7,8.7427,135.622,26.1686
28,1131.8,8.29528,136.439,27.58
29,1099.25,8.12112,135.357,28.1715
30,1059.7,7.77828,136.238,29.4132
31,1050.75,7.64101,137.515,29.9416
32,1001.5,7.23886,138.351,31.605
33,1004.15,7.18487,139.759,31.8425
34,959.95,6.84644,140.212,33.4165
35,929.15,6.66107,139.49,34.3464
36,908.65,6.4444,140.998,35.5012
37,924,6.48407,142.503,35.284
38,897,6.17633,145.232,37.0421
39,891.5,6.13454,145.325,37.2944
40,831.3,5.8007,143.31,39.4408
41,824.85,5.70376,144.615,40.1111
42,827.75,5.63727,146.835,40.5842
43,839.05,5.62696,149.112,40.6585
44,796.65,5.2869,150.684,43.2738
45,784.75,5.18266,151.418,44.1441
46,762.1,5.08484,149.877,44.9934
47,742.6,4.99299,148.729,45.821
48,746.4,4.95133,150.747,46.2066
49,722.45,4.74816,152.154,48.1837
50,740.45,4.85236,152.596,47.149
51,729.3,4.69749,155.253,48.7035
52,726.7,4.58653,158.442,49.8817
53,718.75,4.59777,156.326,49.7598
54,673,4.32044,155.771,52.9539
55,674.6,4.38101,153.983,52.2217
56,668.1,4.29578,155.525,53.2578
57,653.4,4.08658,159.889,55.9842
58,638.25,4.00296,159.445,57.1537
59,652.25,4.075,160.061,56.1433
60,645.15,4.09867,157.405,55.8191
61,621.25,3.95588,157.045,57.8339
62,635,4.02914,157.602,56.7823
63,603.5,3.83645,157.307,59.6343
64,610.7,3.87584,157.566,59.0282
65,593.05,3.72765,159.095,61.3749
66,599.75,3.75101,159.89,60.9926
67,597.3,3.73282,160.013,61.2899
68,587.3,3.66944,160.052,62.3485
69,565.25,3.60226,156.915,63.5112
70,543.4,3.50689,154.952,65.2384
71,529.65,3.37899,156.748,67.7078
72,531.9,3.39493,156.675,67.3899
73,528.55,3.33566,158.454,68.5873
74,529.2,3.32878,158.977,68.7291
75,524.8,3.28783,159.619,69.5851
76,529,3.3225,159.217,68.859
77,506.3,3.19241,158.595,71.665
78,505.15,3.19658,158.028,71.5715
79,495.1,3.16048,156.653,72.389
80,493.4,3.07612,160.397,74.3742
81,476.8,3.00683,158.572,76.0881
82,484.65,3.02199,160.374,75.7064
83,477.15,2.97907,160.167,76.7971
84,468.6,2.94751,158.982,77.6194
85,466.2,2.95125,157.967,77.5211
86,465.2,2.93642,158.424,77.9126
87,457.35,2.89751,157.842,78.9588
88,448.5,2.79252,160.608,81.9274
89,438.6,2.75194,159.378,83.1355
90,428.6,2.70038,158.718,84.7229
91,438.6,2.75358,159.284,83.086
92,432.1,2.70254,159.887,84.6552
93,430.8,2.69911,159.608,84.7628
94,428.2,2.63372,162.584,86.8672
95,429,2.64426,162.238,86.521
96,432.9,2.68304,161.347,85.2704
97,422.45,2.63125,160.551,86.9488
98,418.75,2.62645,159.436,87.1077
99,420,2.62617,159.929,87.117
100,420.9,2.62468,160.362,87.1664
101,414.25,2.6275,157.659,87.0729
102,411.45,2.61457,157.368,87.5035
103,422.4,2.62111,161.153,87.2852
104,424,2.6266,161.425,87.1027
105,419.7,2.6204,160.166,87.3088
106,420.35,2.62449,160.164,87.1727
107,426.4,2.62015,162.739,87.3171
108,427.35,2.62444,162.835,87.1744
109,415.3,2.57619,161.207,88.8071
110,424.2,2.62662,161.5,87.1021
111,412.25,2.56969,160.428,89.0318
112,425.25,2.66899,159.33,85.7193
113,428.6,2.6758,160.176,85.5012
114,431.25,2.67097,161.458,85.6558
115,431.4,2.62047,164.627,87.3065
116,424.65,2.62584,161.72,87.1279
117,436.25,2.67133,163.308,85.6442
118,387.05,2.45812,157.458,93.0728
119,399.6,2.47944,161.165,92.2724
120,383.9,2.39413,160.351,95.5604
121,373.3,2.35719,158.367,97.0579
122,408.85,2.55882,159.781,89.41
123,418.4,2.66039,157.27,85.9964
124,420.8,2.60883,161.298,87.696
125,429.05,2.62324,163.557,87.2143
126,364.85,2.2552,161.782,101.447
127,370,2.28363,162.023,100.184
128,365.05,2.30869,158.12,99.0969
129,385.5,2.38675,161.517,95.8559
130,363.35,2.25409,161.196,101.497
131,358.7,2.25276,159.227,101.557
132,356.2,2.24974,158.329,101.694
133,348.5,2.18186,159.726,104.857
134,345.35,2.12663,162.393,107.581
135,338.25,2.07474,163.032,110.271
136,341.05,2.13639,159.638,107.089
137,335.85,2.07539,161.825,110.237
138,331.3,2.0785,159.394,110.072
139,328.55,2.07725,158.166,110.138
140,326.3,2.077,157.102,110.151
141,330.55,2.10249,157.218,108.816
142,333.35,2.07116,160.948,110.462
143,332.35,2.07427,160.225,110.296
144,332.8,2.09064,159.186,109.433
145,337.95,2.07608,162.783,110.2
146,328.7,2.04015,161.116,112.141
147,336.7,2.10197,160.183,108.843
148,338.9,2.0853,162.519,109.713
149,333.9,2.10226,158.829,108.828
150,339.5,2.08739,162.643,109.603
151,339,2.08682,162.448,109.633
152,338.6,2.09424,161.682,109.244
153,339.45,2.08937,162.465,109.499
