threads,time,average_power,max_power
1,37.628294,120.706117,187.000000
2,20.914569,124.234450,186.000000
3,14.333565,128.622378,189.000000
4,10.825269,131.625000,187.000000
5,9.241089,133.673913,180.000000
6,8.332064,136.680723,185.000000
7,7.881829,137.458599,188.000000
8,6.280843,140.288000,188.000000
9,6.423452,141.648438,188.000000
10,6.219615,141.362903,188.000000
11,6.090773,142.884298,189.000000
12,5.474421,143.623853,189.000000
13,5.723313,142.850877,190.000000
14,5.571527,145.045045,186.000000
15,4.797935,146.663158,190.000000
16,4.765098,148.400000,188.000000
17,4.764334,147.168421,190.000000
18,4.694096,148.634409,189.000000
19,3.946920,153.153846,190.000000
20,4.530068,149.788889,191.000000
21,4.449379,151.670455,189.000000
22,4.130910,153.524390,191.000000
23,4.513716,150.388889,185.000000
24,4.181687,153.481928,191.000000
25,4.030952,152.412500,190.000000
26,4.667904,150.806452,190.000000
27,4.182792,152.879518,190.000000
28,3.829875,156.434211,191.000000
29,4.380667,152.816092,193.000000
30,4.082393,154.839506,190.000000
31,4.131460,155.304878,192.000000
32,3.864314,155.675325,192.000000
33,4.164499,155.819277,194.000000
34,4.322074,154.313953,200.000000
35,4.294687,155.964706,200.000000
36,4.187104,155.192771,198.000000
37,4.745358,153.191489,196.000000
38,3.864931,156.948052,194.000000
39,4.014611,156.150000,201.000000
40,4.187350,157.253012,201.000000
41,4.064476,156.000000,194.000000
42,4.179663,155.409639,190.000000
43,4.436272,156.488636,202.000000
44,3.399632,165.537313,206.000000
45,3.825808,160.407895,194.000000
46,3.938351,161.551282,215.000000
47,3.264525,164.615385,204.000000
48,3.478470,164.782609,210.000000
49,4.427464,156.534091,210.000000
50,3.584769,162.309859,206.000000
51,4.129145,159.097561,213.000000
52,3.733870,163.391892,208.000000
53,3.913715,162.230769,194.000000
54,3.879911,162.376623,194.000000
55,4.015179,161.037500,212.000000
56,3.963789,161.037975,209.000000
57,4.079036,160.172840,209.000000
58,3.264390,170.215385,210.000000
59,3.995375,162.025316,209.000000
60,3.825474,164.710526,210.000000
61,3.877494,164.740260,209.000000
62,3.178935,168.253968,218.000000
63,3.514056,166.142857,209.000000
64,3.967792,165.303797,222.000000
65,3.313657,167.030303,208.000000
66,3.690934,167.684932,216.000000
67,3.987176,162.379747,210.000000
68,3.183900,174.603175,204.000000
69,3.626982,169.319444,217.000000
70,4.615101,158.836957,195.000000
71,3.263866,172.107692,203.000000
72,3.463579,167.666667,217.000000
73,2.964742,176.661017,205.000000
74,3.378993,166.865672,211.000000
75,3.414678,170.044118,198.000000
76,3.864213,168.194805,218.000000
77,3.214192,174.406250,209.000000
78,3.263745,173.430769,208.000000
79,3.013692,176.500000,216.000000
80,3.266577,172.338462,216.000000
81,3.316758,170.045455,212.000000
82,4.788917,161.410526,198.000000
83,3.088490,174.754098,211.000000
84,3.564475,167.661972,205.000000
85,4.664924,161.086022,209.000000
86,3.980969,165.886076,215.000000
87,3.129034,175.338710,204.000000
88,3.198857,173.158730,216.000000
89,3.063651,176.639344,221.000000
90,2.841630,180.125000,206.000000
91,3.420394,169.073529,206.000000
92,2.969491,180.983051,220.000000
93,3.787609,169.773333,210.000000
94,2.725626,180.277778,223.000000
95,2.964746,179.372881,218.000000
96,2.636625,182.865385,217.000000
97,3.237499,178.296875,224.000000
98,2.964152,180.661017,206.000000
99,2.741226,183.777778,218.000000
100,3.264326,176.461538,204.000000
101,2.828067,181.142857,218.000000
102,2.949783,179.862069,222.000000
103,3.465439,172.826087,215.000000
104,3.264033,178.276923,208.000000
105,2.965965,179.254237,209.000000
106,2.986150,181.288136,207.000000
107,3.128363,179.258065,214.000000
108,3.392150,175.000000,220.000000
109,3.115074,177.258065,216.000000
110,2.938604,175.431034,204.000000
111,3.337113,169.090909,223.000000
112,3.636721,159.791667,197.000000
