limit,time,average_power,max_power
30,18.165152,122.289256,176.000000
35,16.315023,124.273006,180.000000
40,12.483384,127.642570,183.000000
45,11.965566,129.108787,186.000000
50,9.813991,132.387755,185.000000
55,8.429070,136.547619,187.000000
60,7.784612,139.012903,188.000000
65,7.044405,139.914286,187.000000
70,6.665310,141.812030,185.000000
75,6.180523,143.536585,187.000000
80,5.715119,144.877193,189.000000
85,5.045234,149.100000,187.000000
90,5.377584,149.308411,189.000000
95,4.864893,151.505155,189.000000
100,4.580688,154.186813,189.000000
105,5.126573,151.549020,191.000000
110,4.592343,155.637363,190.000000
115,4.364291,157.781609,196.000000
120,4.730164,156.234043,204.000000
125,4.014374,161.287500,204.000000
130,3.478648,165.086957,212.000000
135,4.063734,161.814815,200.000000
140,4.214500,160.178571,203.000000
145,3.915037,161.961538,199.000000
150,3.327149,168.924242,202.000000
155,3.835943,166.421053,213.000000
160,3.736585,165.662162,202.000000
165,3.626803,167.152778,214.000000
170,3.864970,166.168831,197.000000
175,3.028439,172.800000,198.000000
180,3.076676,173.967213,213.000000
185,3.540030,169.142857,214.000000
190,3.297858,170.538462,213.000000
195,3.549330,171.757143,216.000000
200,3.413667,172.632353,205.000000
205,3.983822,164.367089,205.000000
210,3.764806,166.480000,201.000000
215,3.864341,165.298701,207.000000
220,3.613709,168.152778,203.000000
225,3.513900,168.714286,213.000000
230,3.663725,167.986301,213.000000
235,3.237366,172.562500,207.000000
240,3.863821,166.298701,219.000000
245,3.275835,172.230769,215.000000
250,3.788571,164.840000,218.000000
255,3.415179,172.970588,206.000000
260,3.486633,171.550725,205.000000
265,3.463781,170.608696,213.000000
270,3.282983,177.000000,216.000000
275,3.114093,178.693548,207.000000
280,3.136141,178.225806,221.000000
285,5.034828,153.440000,181.000000
290,5.080314,147.118812,176.000000
295,6.134609,142.122951,171.000000
300,5.116827,145.215686,172.000000
