nthreads,energy,time,power
1,17680.2,161.621,109.393
2,9184.3,82.7477,110.992
3,6028.35,53.6293,112.408
4,4523.65,39.9439,113.25
5,3759.6,32.6902,115.007
6,3215.3,27.7423,115.899
7,2766.9,23.6776,116.857
8,2380.55,20.1358,118.225
9,2198.05,18.5002,118.812
10,1952.75,16.3293,119.586
11,1794.85,14.8861,120.572
12,1695.7,13.9008,121.986
13,1521.45,12.3949,122.748
14,1437.85,11.621,123.729
15,1354.45,10.8372,124.982
16,1281.95,10.1929,125.769
17,1240.2,9.82537,126.224
18,1168.75,9.24268,126.451
19,1112.95,8.75572,127.111
20,1043.7,8.08514,129.089
21,1008.05,7.71776,130.614
22,962,7.32715,131.293
23,920.05,7.04326,130.628
24,894.4,6.82473,131.053
25,857.8,6.48496,132.275
26,831.65,6.24573,133.155
27,822.05,6.13496,133.994
28,798.85,5.91914,134.96
29,755.2,5.58756,135.157
30,745.1,5.47244,136.155
31,716.2,5.25255,136.353
32,699.2,5.0898,137.373
33,683.55,4.95179,138.041
34,667.05,4.7844,139.422
35,658.05,4.67691,140.702
36,639.05,4.53599,140.884
37,624.85,4.42744,141.131
38,616.1,4.357,141.405
39,592.2,4.14546,142.855
40,572.85,4.00469,143.045
41,591.6,4.08718,144.745
42,572.6,3.94674,145.082
43,574.45,3.94252,145.706
44,563.85,3.84343,146.705
45,542.1,3.67683,147.437
46,545.25,3.68627,147.914
47,535.55,3.57869,149.65
48,520.55,3.46961,150.031
49,508.65,3.38845,150.113
50,494.2,3.28354,150.508
51,496.15,3.2678,151.83
52,513.45,3.3886,151.523
53,479.55,3.13383,153.024
54,488.85,3.17471,153.983
55,474.9,3.07875,154.251
56,470.75,3.05563,154.06
57,462.3,2.99102,154.563
58,448.85,2.90642,154.434
59,442.35,2.85161,155.123
60,433.1,2.8042,154.447
61,426.2,2.75297,154.815
62,429.35,2.77353,154.803
63,415.05,2.67356,155.242
64,404.65,2.59465,155.956
65,399.1,2.59184,153.983
66,401.3,2.60481,154.061
67,401.3,2.57379,155.918
68,392,2.56426,152.871
69,412.85,2.62382,157.347
70,394.15,2.56067,153.925
71,409.65,2.61606,156.59
72,411.6,2.62086,157.048
73,402.1,2.57027,156.443
74,396.8,2.55717,155.172
75,412.35,2.61573,157.642
76,391.65,2.55785,153.117
77,409.5,2.61923,156.344
78,372.85,2.40058,155.317
79,356.45,2.29952,155.011
80,364,2.3371,155.749
81,350.1,2.23898,156.366
82,349.35,2.25144,155.167
83,345.7,2.25591,153.242
84,335,2.13858,156.646
85,349.2,2.23707,156.097
86,354.95,2.27073,156.315
87,331.7,2.13917,155.06
88,334.25,2.14011,156.184
89,332.3,2.15433,154.247
90,324.4,2.09931,154.527
91,318.5,2.0173,157.884
92,316.4,2.04696,154.571
93,316.35,2.04248,154.885
94,312.75,1.99264,156.953
95,304.65,1.95319,155.976
96,299.2,1.94983,153.449
97,307.6,1.98613,154.874
98,292.1,1.87413,155.859
99,282.7,1.82302,155.072
100,269.5,1.80738,149.111
101,280.25,1.82911,153.217
102,280.05,1.83559,152.567
103,290,1.87545,154.63
104,280.05,1.80959,154.759
105,295,1.869,157.838
106,286.05,1.85609,154.114
107,286.3,1.82735,156.675
108,284.85,1.82466,156.111
109,288.55,1.82959,157.713
110,280.8,1.79427,156.498
111,288.7,1.84558,156.428
112,281.8,1.77596,158.675
113,286.9,1.82713,157.022
114,285.15,1.83539,155.362
115,286.15,1.8479,154.851
116,274.7,1.75244,156.753
117,276.9,1.7789,155.658
118,274.4,1.7506,156.746
119,268.3,1.74494,153.759
120,288.85,1.84476,156.579
121,268.65,1.73512,154.831
122,265.35,1.69075,156.942
123,272.65,1.75186,155.635
124,265.25,1.67913,157.969
125,264.55,1.68949,156.586
126,264.5,1.69923,155.659
127,265.25,1.68814,157.126
128,270.55,1.73239,156.172
129,256.55,1.63683,156.736
130,263.3,1.68257,156.487
131,256.65,1.63132,157.327
132,256.95,1.64123,156.559
133,256.35,1.61544,158.687
134,261.65,1.69883,154.018
135,255.85,1.6326,156.713
136,253.4,1.6269,155.756
137,255.3,1.62957,156.667
138,249.65,1.58139,157.867
139,257.75,1.64162,157.01
140,253.95,1.62727,156.059
141,250.65,1.57015,159.634
142,250,1.58426,157.802
143,248.3,1.59619,155.558
144,245.6,1.58615,154.84
145,240.7,1.54951,155.339
146,248.55,1.58878,156.441
147,247.8,1.5871,156.134
148,241.35,1.52196,158.578
149,238.5,1.52873,156.012
150,229.55,1.47683,155.434
151,229.65,1.48134,155.029
152,230.75,1.50149,153.681
153,239.85,1.51622,158.189
154,247.6,1.57464,157.242
155,234.25,1.48208,158.055
156,231.4,1.49521,154.761
157,234.95,1.47077,159.746
158,234.15,1.49242,156.893
159,230.05,1.50741,152.613
160,229.25,1.49857,152.979
161,229.2,1.50512,152.28
162,231.95,1.48568,156.124
163,234.1,1.47254,158.977
164,227.65,1.50087,151.679
165,227.1,1.49087,152.327
166,229.9,1.48932,154.366
167,232.45,1.48886,156.126
168,233.5,1.49337,156.358
169,232.3,1.49178,155.72
170,233.8,1.48821,157.101
171,231.9,1.48868,155.776
172,229.5,1.4887,154.161
173,232.65,1.49249,155.88
174,233.65,1.48744,157.082
175,233.9,1.48833,157.156
176,233.8,1.49345,156.55
177,230.7,1.48564,155.287
178,231.7,1.4908,155.42
179,242.1,1.51694,159.598
180,234.55,1.49043,157.371
181,234.45,1.48662,157.707
182,242.45,1.51555,159.975
183,235.95,1.48906,158.456
184,233.45,1.49268,156.397
185,237.15,1.51527,156.507
186,230.35,1.49271,154.317
187,228.6,1.50462,151.932
188,229.1,1.50047,152.685
189,224.15,1.43474,156.23
190,226.15,1.45227,155.722
191,237.8,1.52404,156.033
192,224.45,1.44081,155.78
193,238.9,1.51573,157.614
194,229.6,1.48486,154.627
195,220.8,1.46044,151.187
196,225.8,1.4227,158.712
197,220.55,1.42615,154.647
198,209.35,1.38553,151.097
199,203.5,1.33273,152.694
200,194.3,1.28004,151.792
201,199.85,1.35373,147.629
202,204.2,1.34122,152.249
203,214.85,1.36997,156.828
204,218.45,1.37928,158.38
205,210.3,1.35855,154.797
206,216.35,1.38084,156.68
207,217.45,1.37494,158.152
208,215.05,1.4033,153.246
209,213.55,1.36975,155.904
210,215.7,1.3723,157.181
211,213.35,1.3793,154.68
212,213.2,1.37864,154.645
213,214.85,1.38628,154.983
214,208.2,1.35431,153.731
215,208.4,1.33363,156.265
216,209.7,1.35403,154.871
217,210,1.35962,154.455
218,217.6,1.37418,158.349
219,217.55,1.37211,158.551
220,207.1,1.33606,155.008
221,215.9,1.38601,155.771
222,215.25,1.3818,155.775
223,211.7,1.37207,154.292
224,214.75,1.39013,154.482
225,208.9,1.33342,156.665
226,216.7,1.38351,156.631
227,210.6,1.32297,159.187
228,208.9,1.35764,153.87
