nthreads,energy,time
1,17680.2,161.621
2,9184.3,82.7477
3,6028.35,53.6293
4,4523.65,39.9439
5,3759.6,32.6902
6,3215.3,27.7423
7,2766.9,23.6776
8,2380.55,20.1358
9,2198.05,18.5002
10,1952.75,16.3293
11,1794.85,14.8861
12,1695.7,13.9008
13,1521.45,12.3949
14,1437.85,11.621
15,1354.45,10.8372
16,1281.95,10.1929
17,1240.2,9.82537
18,1168.75,9.24268
19,1112.95,8.75572
20,1043.7,8.08514
21,1008.05,7.71776
22,962,7.32715
23,920.05,7.04326
24,894.4,6.82473
25,857.8,6.48496
26,831.65,6.24573
27,822.05,6.13496
28,798.85,5.91914
29,755.2,5.58756
30,745.1,5.47244
31,716.2,5.25255
32,699.2,5.0898
33,683.55,4.95179
34,667.05,4.7844
35,658.05,4.67691
36,639.05,4.53599
37,624.85,4.42744
38,616.1,4.357
39,592.2,4.14546
40,572.85,4.00469
41,591.6,4.08718
42,572.6,3.94674
43,574.45,3.94252
44,563.85,3.84343
45,542.1,3.67683
46,545.25,3.68627
47,535.55,3.57869
48,520.55,3.46961
49,508.65,3.38845
50,494.2,3.28354
51,496.15,3.2678
52,513.45,3.3886
53,479.55,3.13383
54,488.85,3.17471
55,474.9,3.07875
56,470.75,3.05563
57,462.3,2.99102
58,448.85,2.90642
59,442.35,2.85161
60,433.1,2.8042
61,426.2,2.75297
62,429.35,2.77353
63,415.05,2.67356
64,404.65,2.59465
65,399.1,2.59184
66,401.3,2.60481
67,401.3,2.57379
68,392,2.56426
69,412.85,2.62382
70,394.15,2.56067
71,409.65,2.61606
72,411.6,2.62086
73,402.1,2.57027
74,396.8,2.55717
75,412.35,2.61573
76,391.65,2.55785
77,409.5,2.61923
78,372.85,2.40058
79,356.45,2.29952
80,364,2.3371
81,350.1,2.23898
82,349.35,2.25144
83,345.7,2.25591
84,335,2.13858
85,349.2,2.23707
86,354.95,2.27073
87,331.7,2.13917
88,334.25,2.14011
89,332.3,2.15433
90,324.4,2.09931
91,318.5,2.0173
92,316.4,2.04696
93,316.35,2.04248
94,312.75,1.99264
95,304.65,1.95319
96,299.2,1.94983
97,307.6,1.98613
98,292.1,1.87413
99,282.7,1.82302
100,269.5,1.80738
101,280.25,1.82911
102,280.05,1.83559
103,290,1.87545
104,280.05,1.80959
105,295,1.869
106,286.05,1.85609
107,286.3,1.82735
108,284.85,1.82466
109,288.55,1.82959
110,280.8,1.79427
111,288.7,1.84558
112,281.8,1.77596
113,286.9,1.82713
114,285.15,1.83539
115,286.15,1.8479
116,274.7,1.75244
117,276.9,1.7789
118,274.4,1.7506
119,268.3,1.74494
120,288.85,1.84476
121,268.65,1.73512
122,265.35,1.69075
123,272.65,1.75186
124,265.25,1.67913
125,264.55,1.68949
126,264.5,1.69923
127,265.25,1.68814
128,270.55,1.73239
129,256.55,1.63683
130,263.3,1.68257
131,256.65,1.63132
132,256.95,1.64123
133,256.35,1.61544
134,261.65,1.69883
135,255.85,1.6326
136,253.4,1.6269
137,255.3,1.62957
138,249.65,1.58139
139,257.75,1.64162
140,253.95,1.62727
141,250.65,1.57015
142,250,1.58426
143,248.3,1.59619
144,245.6,1.58615
145,240.7,1.54951
146,248.55,1.58878
147,247.8,1.5871
148,241.35,1.52196
149,238.5,1.52873
150,229.55,1.47683
151,229.65,1.48134
152,230.75,1.50149
153,239.85,1.51622
154,247.6,1.57464
155,234.25,1.48208
156,231.4,1.49521
157,234.95,1.47077
158,234.15,1.49242
159,230.05,1.50741
160,229.25,1.49857
161,229.2,1.50512
162,231.95,1.48568
163,234.1,1.47254
164,227.65,1.50087
165,227.1,1.49087
166,229.9,1.48932
167,232.45,1.48886
168,233.5,1.49337
169,232.3,1.49178
170,233.8,1.48821
171,231.9,1.48868
172,229.5,1.4887
173,232.65,1.49249
174,233.65,1.48744
175,233.9,1.48833
176,233.8,1.49345
177,230.7,1.48564
178,231.7,1.4908
179,242.1,1.51694
180,234.55,1.49043
181,234.45,1.48662
182,242.45,1.51555
183,235.95,1.48906
184,233.45,1.49268
185,237.15,1.51527
186,230.35,1.49271
187,228.6,1.50462
188,229.1,1.50047
189,224.15,1.43474
190,226.15,1.45227
191,237.8,1.52404
192,224.45,1.44081
193,238.9,1.51573
194,229.6,1.48486
195,220.8,1.46044
196,225.8,1.4227
197,220.55,1.42615
198,209.35,1.38553
199,203.5,1.33273
200,194.3,1.28004
201,199.85,1.35373
202,204.2,1.34122
203,214.85,1.36997
204,218.45,1.37928
205,210.3,1.35855
206,216.35,1.38084
207,217.45,1.37494
208,215.05,1.4033
209,213.55,1.36975
210,215.7,1.3723
211,213.35,1.3793
212,213.2,1.37864
213,214.85,1.38628
214,208.2,1.35431
215,208.4,1.33363
216,209.7,1.35403
217,210,1.35962
218,217.6,1.37418
219,217.55,1.37211
220,207.1,1.33606
221,215.9,1.38601
222,215.25,1.3818
223,211.7,1.37207
224,214.75,1.39013
225,208.9,1.33342
226,216.7,1.38351
227,210.6,1.32297
228,208.9,1.35764
