nthreads,energy,time,power,speedup
1,1191.5,0.362798666667,127.833333333,1
2,1191.5,0.317161333333,127.166666667,1
3,1191.5,0.299986166667,130.333333333,1
4,854.35,0.180444833333,131.666666667,1.47019
5,854.4,0.181583833333,131.5,1.49759
6,831.35,0.171162666667,132.5,1.55008
7,834.3,0.169539666667,134.666666667,1.56755
8,668.95,0.105037833333,136.833333333,1.95106
9,632.65,0.10575,138.166666667,2.07572
10,656.95,0.106866833333,137.0,2.0074
11,672.25,0.105958,139.833333333,1.97025
12,590.55,0.0828916666667,138.0,2.25095
13,621.1,0.0840495,143.0,2.15364
14,631.4,0.0842495,142.5,2.10969
15,609.95,0.0849423333333,144.0,2.22273
16,600.1,0.0744438333333,143.666666667,2.23707
17,568.75,0.0740543333333,146.166666667,2.40722
18,634,0.0767343333333,145.333333333,2.1611
19,566.75,0.0746028333333,144.5,2.44665
20,546.15,0.0611575,146.333333333,2.51428
21,580.7,0.0620981666667,148.166666667,2.39304
22,565.6,0.0639423333333,148.833333333,2.45805
23,540.1,0.0639023333333,147.5,2.60143
24,583.35,0.0592386666667,150.333333333,2.48614
25,565.1,0.0599185,150.166666667,2.55649
26,611.1,0.0610988333333,151.5,2.38149
27,606.95,0.0600071666667,151.833333333,2.49863
28,607.8,0.0565146666667,153.666666667,2.51636
29,605.4,0.0604515,155.166666667,2.53492
30,637.9,0.0589686666667,156.166666667,2.39556
31,627.15,0.0616998333333,156.166666667,2.4572
32,590.55,0.0571036666667,158.0,2.60155
33,610.1,0.0616236666667,160.666666667,2.53985
34,582.35,0.0600065,159.0,2.70163
35,612.1,0.0580985,160.333333333,2.59071
36,652.35,0.0585805,160.833333333,2.44739
37,625.65,0.0602261666667,161.166666667,2.55979
38,637.75,0.0610443333333,161.5,2.51844
39,601.8,0.05995,161.0,2.7163
40,639.8,0.0588051666667,163.166666667,2.56039
41,592.7,0.0599321666667,164.833333333,2.76782
42,632.55,0.0588153333333,166.833333333,2.61332
43,660.9,0.0603593333333,167.666666667,2.53382
44,657.65,0.0480065,166.0,2.56461
45,663.05,0.048435,168.0,2.54753
46,615.9,0.0475145,168.833333333,2.76639
47,697,0.048469,169.333333333,2.47729
48,670.8,0.045268,171.333333333,2.57271
49,666.9,0.0467218333333,173.0,2.6228
50,670.45,0.0513921666667,171.333333333,2.60053
51,669,0.0494171666667,173.0,2.64396
52,710.55,0.0452038333333,174.833333333,2.48535
53,654.65,0.0477238333333,174.833333333,2.73153
54,703.9,0.0467318333333,176.166666667,2.56157
55,714.9,0.0455438333333,173.666666667,2.53384
56,671,0.044536,176.166666667,2.7
57,662.1,0.04871,177.666666667,2.76687
58,736.6,0.0465041666667,177.0,2.50573
59,715.75,0.0457508333333,176.5,2.55201
60,691.7,0.0454798333333,186.5,2.65263
61,678.35,0.0472356666667,181.833333333,2.71531
62,717.45,0.0457831666667,181.333333333,2.56154
63,728.45,0.0454785,180.5,2.52722
64,734.8,0.0452501666667,177.833333333,2.50458
65,752.1,0.0480658333333,182.0,2.43814
66,753.05,0.0499448333333,177.5,2.44816
67,747.95,0.049991,182.833333333,2.47025
68,805.4,0.0478581666667,186.0,2.29764
69,722.8,0.0487293333333,179.833333333,2.56346
70,766.3,0.048892,181.166666667,2.42601
71,742,0.0491476666667,181.0,2.48783
72,700.5,0.0502288333333,185.666666667,2.65046
73,742.35,0.0475496666667,181.5,2.48944
74,791.85,0.0510321666667,183.666666667,2.34319
75,689.85,0.0493433333333,181.0,2.66531
76,745.8,0.0496946666667,186.833333333,2.49112
77,736.85,0.050494,183.0,2.53342
78,762.25,0.0512246666667,182.5,2.44156
79,755.15,0.0540393333333,184.166666667,2.45899
80,754.1,0.051596,189.166666667,2.46028
81,772.9,0.0508076666667,184.0,2.42041
82,757.75,0.0511465,183.0,2.47145
83,724.5,0.0524773333333,186.833333333,2.5872
84,760.2,0.0516663333333,186.166666667,2.47468
85,813.6,0.051987,186.166666667,2.31356
86,761.35,0.0553658333333,185.0,2.45926
87,703.5,0.0549485,185.166666667,2.66541
88,736.15,0.0554475,185.0,2.55938
89,773.15,0.0599841666667,183.333333333,2.44759
90,749.45,0.054495,183.333333333,2.5197
91,782.7,0.0573785,184.0,2.41626
92,717.2,0.056448,179.333333333,2.63576
93,723.85,0.0565811666667,183.5,2.61406
94,718.25,0.0596973333333,184.833333333,2.63592
95,727.7,0.0596958333333,183.0,2.60666
96,768.9,0.0572546666667,185.666666667,2.48096
97,710.35,0.0555943333333,184.0,2.66819
98,776.5,0.056302,181.333333333,2.44755
99,738.95,0.0583113333333,186.333333333,2.57724
100,776.45,0.0582175,185.666666667,2.46277
101,764.55,0.0578711666667,185.0,2.49231
102,788.8,0.057127,184.5,2.42015
103,756.15,0.0547301666667,184.5,2.52089
104,780.75,0.0539711666667,187.0,2.44455
105,722.45,0.0547268333333,185.833333333,2.64015
106,731.45,0.0531458333333,186.0,2.60429
107,760.4,0.0573901666667,188.166666667,2.53205
108,747.3,0.0561051666667,186.0,2.57532
109,770.85,0.0537083333333,186.166666667,2.49098
110,737.65,0.0538766666667,185.666666667,2.61732
111,772.25,0.0570433333333,188.0,2.48891
112,728.95,0.0557266666667,190.0,2.64331
