nthreads,energy,time,power,speedup
1,8426.3,0.820948866667,119.666666667,1
2,8426.3,0.770116733333,120.333333333,1
3,8426.3,0.7502846,123.533333333,1
4,2817.2,0.2609018,123.533333333,3.12572
5,2735.2,0.269442866667,126.2,3.21531
6,2797.55,0.251119,128.533333333,3.16328
7,2814.25,0.244397866667,129.533333333,3.13441
8,1541.95,0.144259,129.733333333,5.87587
9,1501.85,0.142047066667,135.8,6.0622
10,1587.15,0.141687533333,134.866666667,5.71428
11,1531.5,0.140215866667,135.933333333,5.96936
12,1241.8,0.108455066667,136.266666667,7.60872
13,1235.85,0.106934533333,140.066666667,7.57404
14,1268.45,0.1079348,137.866666667,7.46812
15,1224,0.106507,140.4,7.83309
16,883.1,0.0803240666667,141.733333333,11.0247
17,874.05,0.0766312,144.933333333,11.0256
18,989.55,0.0768584666667,145.466666667,10.3429
19,882.05,0.0772572,144.4,10.8541
20,892.7,0.0711357333333,146.8,11.1695
21,880.95,0.0723563333333,150.133333333,11.3646
22,930.5,0.0712446,149.666666667,11.2626
23,899.6,0.071825,150.866666667,10.9321
24,847.1,0.0635830666667,152.266666667,12.1078
25,826.05,0.0654402666667,154.6,12.1883
26,846.55,0.0649383333333,155.0,12.1054
27,846.4,0.0664538,155.0,12.3667
28,867.2,0.0619189333333,156.933333333,12.491
29,846.2,0.0628698,157.666666667,12.6822
30,844.9,0.0631302666667,158.666666667,12.6849
31,842.35,0.0629106666667,160.6,12.6917
32,730.35,0.0520579333333,160.866666667,15.2001
33,736.65,0.0536396,166.4,15.0737
34,715.8,0.0536400666667,164.866666667,15.3346
35,751.75,0.0536024,164.4,14.8002
36,743.3,0.0517087333333,166.2,15.1123
37,751.75,0.0524908,169.266666667,15.0361
38,754.25,0.0521364666667,169.666666667,15.1186
39,753.5,0.0529189333333,168.533333333,15.0529
40,744,0.0497066,170.2,15.41
41,733.55,0.0520974,175.0,15.636
42,759.6,0.0519184,175.8,15.1992
43,750.45,0.0521258,172.866666667,15.5852
44,769.9,0.0484854666667,175.866666667,15.3416
45,783.95,0.0508294,178.4,15.2811
46,788.5,0.051363,178.333333333,15.1256
47,779.25,0.0516977333333,175.933333333,15.361
48,754.05,0.0470242666667,182.466666667,15.9651
49,790.15,0.0504183333333,180.466666667,15.558
50,750.8,0.0505989333333,180.8,16.1536
51,750.65,0.0506745333333,182.6,16.1945
52,814.1,0.0477947333333,185.4,15.3639
53,828.75,0.0517494666667,182.6,14.9191
54,800.6,0.0513222666667,186.4,15.5691
55,804.6,0.0515855333333,185.4,15.5211
56,783.25,0.0468954,188.066666667,16.1873
57,804.8,0.0617909333333,182.133333333,15.8449
58,817.3,0.0605046666667,181.0,15.6729
59,808.35,0.0605032666667,182.2,15.7266
60,799.65,0.0414878666667,197.666666667,15.8724
61,817.4,0.0544696666667,189.266666667,15.7108
62,809.7,0.0549624,191.133333333,15.7153
63,797.05,0.0547396666667,190.866666667,15.9705
64,769.7,0.041931,192.066666667,16.6033
65,762.2,0.0549886,189.333333333,16.6906
66,773.2,0.0543364,190.666666667,16.5481
67,799.35,0.0537315333333,189.666666667,16.2464
68,811.05,0.0352101333333,201.466666667,15.8979
69,786.6,0.0473060666667,192.066666667,16.1583
70,798.9,0.0467796,193.133333333,16.1994
71,786.3,0.0463535333333,192.333333333,16.3205
72,777.2,0.0341641333333,202.466666667,16.6772
73,766.6,0.0454382,192.6,16.6773
74,773.4,0.0454562666667,193.8,16.7417
75,784.75,0.0451574666667,192.933333333,16.3892
76,787.5,0.035541,202.2,16.5065
77,766.3,0.0421134,194.2,16.7378
78,769.25,0.042406,194.866666667,16.7242
79,800.7,0.0415519333333,195.333333333,16.2033
80,756.55,0.0335252,204.133333333,17.0526
81,770.15,0.0421606666667,195.466666667,16.9184
82,797.5,0.0432186,195.733333333,16.3175
83,785.95,0.0419900666667,195.466666667,16.6095
84,774.8,0.0322449333333,206.4,16.7952
85,777.4,0.0402554666667,196.2,16.9332
86,755.25,0.0405626,197.066666667,17.042
87,784.6,0.0389701333333,196.666666667,16.6903
88,756.9,0.0317080666667,208.133333333,17.2457
89,775.55,0.0394654666667,196.6,16.8948
90,792.9,0.0389709333333,198.8,16.5591
91,767.1,0.0399182666667,196.266666667,17.0817
92,770.6,0.0326648666667,201.466666667,17.1708
93,758.5,0.0375010666667,197.0,17.1501
94,780.9,0.0386572,197.733333333,16.9271
95,778.6,0.0388325333333,197.133333333,16.8958
96,772.65,0.0308283333333,209.866666667,16.8996
97,775.4,0.0370177333333,197.6,16.9198
98,754.25,0.0386799333333,198.0,17.2847
99,773.8,0.0363946,198.866666667,17.0939
100,746.05,0.0317265333333,209.733333333,17.5095
101,770.3,0.0375157333333,199.6,17.1678
102,782.3,0.0364151333333,200.466666667,16.7733
103,759.65,0.0359578,200.266666667,17.2844
104,811.15,0.0340596,207.733333333,16.3937
105,816.85,0.0381946666667,201.0,16.1628
106,827,0.0384968,201.733333333,15.8923
107,781.9,0.0397981333333,199.8,16.6857
108,791.5,0.0310849333333,212.333333333,16.7178
109,773.05,0.0345010666667,202.733333333,16.9574
110,770.4,0.0348042,203.666666667,17.1202
111,767.4,0.0351827333333,203.0,17.1653
112,773.65,0.030179,213.933333333,16.9997
