nthreads,energy,time,power,speedup
1,17463.7,0.003833,119.75,1
2,17463.7,0.002167625,124.25,1
3,17463.7,0.001575875,126.75,1
4,7386.55,0.001266625,127.875,2.5045
5,7210.55,0.00108925,128.875,2.5693
6,7329.35,0.00096925,129.875,2.54048
7,7266.05,0.000902875,130.875,2.55501
8,4108.75,0.000832125,133.5,4.65385
9,4156.05,0.0008035,134.125,4.65384
10,4163.65,0.00074125,134.0,4.65279
11,4065.55,0.00071975,135.5,4.77823
12,2915.4,0.000698375,135.0,6.88735
13,2966.95,0.000668625,138.625,6.77909
14,2975.7,0.000651875,137.75,6.79071
15,2951.45,0.000649,139.125,6.81278
16,2333.75,0.000635875,140.75,9.08367
17,2293.45,0.000619625,138.625,9.0359
18,2217.05,0.000600625,140.875,9.55611
19,2315.5,0.00058825,143.125,9.03461
20,2017.45,0.000577875,144.625,10.7568
21,1991.35,0.000560875,144.5,11.1428
22,2070.8,0.000529125,145.125,10.6216
23,1981.5,0.000535875,144.0,10.7986
24,1631.45,0.0005205,146.375,13.6698
25,1680,0.000494125,146.125,13.2541
26,1653.5,0.000466875,146.875,13.6781
27,1730.15,0.000437125,145.5,13.0389
28,1600.2,0.0004115,147.0,15.0266
29,1686.9,0.0004115,146.25,14.2514
30,1623.7,0.000379125,146.875,14.7459
31,1644.95,0.000361125,146.625,14.3907
32,1459.6,0.00035575,142.5,16.8752
33,1456.05,0.00034425,147.375,17.1105
34,1425.25,0.000318375,146.5,17.6829
35,1501.25,0.000309875,146.875,16.7056
36,1098.25,0.0003115,145.0,23.4707
37,1142.9,0.000271625,145.375,22.8022
38,1094.8,0.000262125,146.125,23.4601
39,1140.85,0.000275375,147.75,22.8577
40,1044.35,0.000274125,148.75,25.7924
41,1053.7,0.0002595,149.25,25.6565
42,1052.05,0.00024825,151.0,25.4364
43,1014,0.00024375,151.0,26.7999
44,980.6,0.000267625,153.0,28.6302
45,941.95,0.0002355,150.875,28.8909
46,964.8,0.0002345,153.25,29.332
47,961.05,0.0002295,155.25,28.4136
48,949,0.000222875,154.75,29.9085
49,948.75,0.000228625,156.75,29.9119
50,964.15,0.000217375,153.0,29.965
51,940.35,0.000231125,157.75,30.2528
52,899.65,0.0002135,158.75,32.7865
53,881.15,0.000216375,160.25,32.744
54,903.45,0.00020675,160.125,32.1072
55,917.35,0.00020275,161.0,32.7649
56,845.35,0.000223375,162.5,35.031
57,845.8,0.000435875,163.125,34.9198
58,901.95,0.00042125,163.25,33.8181
59,887.95,0.000428125,161.75,34.735
60,876.15,0.000401625,160.375,35.1143
61,852.45,0.00040225,163.875,35.0223
62,868.5,0.0003825,163.75,34.9669
63,846.75,0.000379625,165.125,34.8837
64,944.95,0.000378625,164.0,31.5137
65,952.45,0.000361375,165.0,31.5012
66,958.5,0.000362375,164.75,31.5159
67,933.95,0.000358375,165.25,31.5062
68,814.7,0.00033975,166.375,37.5245
69,831.8,0.000339375,165.625,37.1003
70,790.95,0.000318875,166.25,38.3543
71,771.95,0.00032125,166.0,39.1935
72,778.35,0.00030725,166.375,38.713
73,778.45,0.000305125,166.125,38.771
74,839.15,0.000299625,166.25,37.6311
75,800.8,0.000284375,166.25,38.9124
76,747.65,0.000280375,166.5,40.9182
77,806,0.000274,166.25,39.4664
78,793.4,0.000274,166.625,39.1682
79,800.2,0.000259375,166.125,39.8332
80,746.55,0.000262125,166.0,41.5852
81,768.7,0.000262625,165.875,42.0332
82,773.3,0.000259625,166.375,41.9578
83,757.45,0.000266125,166.75,42.0444
84,679.4,0.00026175,166.375,46.0977
85,696.3,0.00028475,166.5,44.9296
86,704.55,0.00027875,166.25,44.7292
87,712,0.00026775,166.75,44.1517
88,695.05,0.000291125,166.375,45.7512
89,690.7,0.000275125,166.5,45.8112
90,721.45,0.000273625,166.75,43.296
91,736.9,0.000267875,166.75,43.3098
92,713.15,0.000270625,167.0,46.1959
93,649.25,0.000271125,168.125,49.1185
94,670.8,0.000267125,166.25,49.3025
95,753.6,0.0002565,167.875,43.3784
96,653.85,0.000264375,168.125,49.1799
97,685.1,0.000277625,169.625,48.8645
98,689.9,0.000273875,168.0,48.5689
99,645.65,0.000269375,167.875,49.0794
100,641.7,0.00026125,168.0,52.4096
101,673.2,0.00026125,168.125,48.4488
102,642.85,0.0002595,168.25,49.2332
103,659.95,0.00027,168.875,48.2703
104,661,0.000254875,168.625,48.4583
105,651.05,0.000266375,169.125,49.9075
106,639.45,0.00026325,168.125,50.5995
107,689.9,0.00027025,168.5,48.2296
108,652.9,0.00027875,169.25,49.3987
109,637.3,0.000270375,168.875,50.025
110,679.85,0.000264,169.125,49.0762
111,657.9,0.000276125,169.5,50.9011
112,610.4,0.000261375,169.375,53.5847
