threads,time,average_power,max_power,estimated_max_power
1,11.224419,111.209821,122.000000,14.225000
2,5.915183,116.906780,130.000000,27.283333
3,3.976436,119.556962,132.000000,41.300000
4,3.289144,120.276923,130.000000,54.358333
5,3.181675,117.507937,127.000000,65.833333
6,2.378325,123.127660,134.000000,83.016667
7,2.175331,122.581395,134.000000,97.241667
8,2.320018,121.043478,130.000000,95.154167
9,2.167401,120.976744,130.000000,108.212500
10,2.170987,124.232558,137.000000,102.416667
11,2.164852,125.162791,135.000000,108.433333
12,2.131113,125.785714,137.000000,114.450000
13,2.218593,122.931818,133.000000,114.450000
14,2.172378,123.534884,137.000000,114.450000
15,2.417247,126.000000,138.000000,116.462500
16,2.170529,125.767442,138.000000,120.337500
17,2.169260,122.558140,131.000000,124.212500
18,1.715856,128.117647,137.000000,137.708333
19,2.178069,127.651163,139.000000,141.583333
20,1.717464,127.441176,138.000000,145.458333
21,1.715025,129.941176,143.000000,158.954167
22,1.715660,125.176471,139.000000,162.829167
23,1.770888,130.457143,138.000000,157.766667
24,1.913948,128.078947,143.000000,180.200000
25,1.679223,124.666667,134.000000,166.579167
26,1.729841,122.794118,137.000000,187.950000
27,1.678585,127.909091,140.000000,158.900000
28,1.667518,129.939394,143.000000,195.700000
29,1.699908,126.393939,141.000000,187.641667
30,1.014750,133.900000,143.000000,203.450000
31,1.734224,128.500000,142.000000,193.387500
32,1.817441,129.500000,152.000000,174.454167
33,1.724679,131.470588,148.000000,182.583333
34,1.719088,130.264706,147.000000,146.841667
35,1.815167,131.166667,148.000000,183.208333
36,1.664595,133.424242,150.000000,182.708333
37,1.717633,133.117647,151.000000,168.212500
38,0.966681,136.894737,151.000000,196.766667
39,1.615341,132.593750,153.000000,179.645833
40,0.965122,138.473684,153.000000,189.704167
41,1.866301,127.594595,149.000000,199.641667
42,1.067461,134.476190,149.000000,209.950000
43,0.964940,138.631579,155.000000,212.825000
44,0.916779,134.111111,154.000000,212.825000
45,1.829529,129.944444,149.000000,188.458333
46,1.016353,139.850000,158.000000,211.575000
47,1.019774,137.750000,155.000000,217.325000
48,0.949417,135.388889,158.000000,213.200000
49,0.948082,139.333333,158.000000,216.075000
50,1.114607,141.409091,154.000000,203.637500
51,1.765042,136.914286,160.000000,209.766667
52,0.965402,141.894737,161.000000,215.766667
53,0.915580,139.611111,159.000000,209.454167
54,1.795084,137.600000,155.000000,206.950000
55,1.799995,134.885714,153.000000,185.466667
56,1.194703,140.956522,162.000000,230.200000
57,2.068208,135.317073,157.000000,198.204167
58,1.394779,142.703704,157.000000,231.575000
59,1.226973,141.791667,157.000000,208.458333
60,2.218639,142.000000,160.000000,204.895833
61,1.314522,142.461538,161.000000,212.208333
62,2.194931,136.790698,159.000000,203.020833
63,2.313695,136.652174,163.000000,199.458333
64,1.365623,144.925926,165.000000,218.954167
65,2.344207,139.869565,155.000000,238.950000
66,1.440521,143.464286,160.000000,227.266667
67,1.545389,143.166667,163.000000,207.833333
68,1.487656,143.172414,164.000000,241.200000
69,1.392471,143.407407,171.000000,229.016667
70,1.542522,144.066667,159.000000,242.575000
71,1.343885,143.653846,165.000000,205.208333
72,1.498929,143.896552,163.000000,243.950000
73,1.595168,143.193548,165.000000,243.950000
74,2.315232,135.826087,165.000000,212.895833
75,1.416481,138.821429,154.000000,212.895833
76,1.387252,144.296296,159.000000,234.141667
77,1.363890,144.037037,167.000000,232.141667
78,1.396517,140.444444,160.000000,226.141667
79,2.394768,137.638298,159.000000,231.391667
80,1.364156,145.407407,165.000000,232.141667
81,1.397446,141.703704,156.000000,237.266667
82,1.514046,145.566667,161.000000,199.150000
83,2.263843,139.933333,157.000000,216.645833
84,1.484407,142.655172,161.000000,232.141667
85,1.343688,141.961538,160.000000,234.516667
86,1.564711,143.774194,156.000000,231.766667
87,1.564801,144.774194,158.000000,244.325000
88,1.389569,144.629630,165.000000,235.391667
89,1.466248,140.620690,155.000000,231.766667
90,1.442695,145.857143,166.000000,232.516667
91,1.613702,140.093750,154.000000,244.325000
92,1.476701,145.103448,166.000000,244.325000
93,1.443569,145.821429,167.000000,244.325000
94,1.569281,145.935484,170.000000,244.700000
95,1.440270,146.357143,169.000000,244.700000
96,1.567009,140.580645,156.000000,232.141667
97,1.468175,143.620690,164.000000,238.891667
98,1.564828,144.193548,158.000000,247.950000
99,1.572836,145.870968,168.000000,244.700000
100,1.494446,145.310345,165.000000,229.208333
101,1.441011,146.357143,166.000000,237.891667
102,1.819444,134.944444,162.000000,222.458333
103,1.072230,144.000000,162.000000,220.583333
104,1.938829,137.105263,159.000000,232.891667
105,1.370179,140.666667,160.000000,237.016667
106,1.429975,144.000000,164.000000,238.016667
107,1.547593,142.733333,161.000000,245.075000
108,1.440029,144.785714,163.000000,226.083333
109,0.969471,143.315789,166.000000,232.766667
110,1.166655,140.739130,160.000000,224.275000
111,1.563983,141.580645,158.000000,238.391667
112,1.513745,137.133333,156.000000,236.016667
