threads,time,average_power,max_power,estimated_max_power
1,10.548309,115.090476,133.000000,14.225000
2,5.715520,117.991228,131.000000,28.450000
3,4.064855,118.864198,133.000000,42.675000
4,3.267564,121.815385,131.000000,52.233333
5,3.129248,120.693548,136.000000,64.312500
6,2.627181,122.557692,139.000000,84.183333
7,2.474324,122.959184,135.000000,79.725000
8,2.217857,124.613636,136.000000,90.383333
9,2.286999,123.888889,133.000000,108.212500
10,2.322302,124.326087,136.000000,126.708333
11,1.981523,125.205128,133.000000,145.204167
12,2.121473,120.428571,133.000000,163.700000
13,1.966086,125.358974,138.000000,120.841667
14,1.981618,126.256410,140.000000,120.700000
15,1.867691,125.540541,138.000000,127.345833
16,1.867565,124.810811,134.000000,138.958333
17,1.918083,127.394737,138.000000,156.454167
18,1.946676,120.842105,130.000000,173.450000
19,1.499500,125.551724,138.000000,175.825000
20,1.880839,123.135135,136.000000,177.200000
21,1.867022,126.459459,141.000000,178.575000
22,1.665142,129.333333,141.000000,161.833333
23,1.622290,131.375000,144.000000,181.825000
24,1.467022,131.379310,142.000000,183.200000
25,1.465746,133.655172,144.000000,184.075000
26,1.277889,133.520000,143.000000,186.408333
27,1.565658,131.290323,145.000000,187.283333
28,1.586797,130.580645,143.000000,188.158333
29,1.568431,130.516129,139.000000,190.491667
30,1.516790,133.366667,147.000000,192.825000
31,1.465292,130.862069,143.000000,193.700000
32,1.215535,135.166667,147.000000,193.116667
33,1.314696,134.730769,147.000000,196.908333
34,1.316276,136.423077,147.000000,199.241667
35,1.122956,134.727273,145.000000,179.450000
36,1.416499,133.357143,145.000000,202.450000
37,1.096958,137.333333,150.000000,206.325000
38,1.165839,136.652174,151.000000,210.200000
39,1.329042,136.153846,150.000000,200.433333
40,1.364861,137.925926,156.000000,207.200000
41,1.299481,130.760000,145.000000,211.075000
42,1.216115,135.791667,152.000000,214.950000
43,1.220044,138.250000,155.000000,190.812500
44,1.317791,137.192308,152.000000,211.950000
45,1.315943,137.500000,156.000000,215.825000
46,1.114549,134.045455,150.000000,214.325000
47,1.241617,139.458333,155.000000,218.200000
48,1.314720,140.192308,157.000000,216.700000
49,1.129956,140.000000,153.000000,211.137500
50,1.213578,142.000000,161.000000,224.033333
51,1.164763,140.826087,157.000000,226.033333
52,1.263343,142.200000,159.000000,231.366667
53,1.221424,140.125000,161.000000,223.850000
54,1.125772,140.954545,158.000000,235.366667
55,1.165157,137.130435,152.000000,240.700000
56,1.614820,144.218750,157.000000,242.700000
57,1.788646,143.342857,159.000000,248.033333
58,1.592398,144.161290,166.000000,250.033333
59,1.614925,144.031250,163.000000,255.366667
60,1.391039,143.629630,165.000000,238.870833
61,1.687519,143.636364,157.000000,262.325000
62,1.497941,143.482759,162.000000,263.950000
63,1.414676,142.964286,158.000000,248.266667
64,1.575965,143.193548,162.000000,266.241667
65,1.437251,143.107143,165.000000,267.866667
66,1.447908,143.607143,166.000000,267.575000
67,1.626080,144.375000,158.000000,269.200000
68,1.690948,145.272727,157.000000,269.866667
69,1.529456,144.200000,167.000000,271.491667
70,1.424381,143.642857,161.000000,252.433333
71,1.414967,143.821429,162.000000,242.433333
72,1.591591,142.483871,161.000000,250.870833
73,1.446778,144.321429,164.000000,244.058333
74,1.596704,145.612903,162.000000,271.575000
75,1.465369,143.000000,158.000000,234.354167
76,1.623656,142.093750,159.000000,267.575000
77,1.569926,142.322581,159.000000,254.683333
78,1.414189,142.750000,160.000000,235.875000
79,1.477725,144.862069,163.000000,224.575000
80,1.515275,144.333333,161.000000,261.825000
81,1.446780,144.071429,161.000000,236.916667
82,1.416791,140.142857,155.000000,227.866667
83,1.437618,143.857143,162.000000,260.220833
84,1.528242,140.733333,157.000000,245.183333
85,1.432688,147.000000,160.000000,260.075000
86,1.548082,145.466667,157.000000,247.416667
87,1.526096,144.100000,157.000000,233.166667
88,1.589050,145.354839,160.000000,266.450000
89,1.442554,144.642857,169.000000,261.100000
90,1.625698,145.687500,162.000000,272.200000
91,1.492145,137.482759,154.000000,262.683333
92,1.477810,145.551724,162.000000,276.825000
93,1.527878,140.900000,154.000000,265.058333
94,1.489382,146.137931,166.000000,269.391667
95,1.516130,146.000000,169.000000,283.200000
96,1.535436,146.600000,167.000000,284.950000
97,1.514441,145.533333,163.000000,272.183333
98,1.491100,146.206897,167.000000,273.058333
99,1.541354,145.666667,162.000000,274.100000
100,1.493163,145.310345,164.000000,274.975000
101,1.513961,146.900000,166.000000,289.491667
102,1.465899,143.206897,167.000000,290.533333
103,1.514466,146.900000,161.000000,275.600000
104,1.679510,144.545455,160.000000,292.450000
105,1.565897,145.483871,165.000000,293.325000
106,1.444937,147.214286,165.000000,277.725000
107,1.398645,145.962963,165.000000,295.408333
108,1.395258,145.370370,163.000000,296.450000
109,1.515378,144.833333,158.000000,298.700000
110,1.535824,147.000000,166.000000,285.516667
111,1.565515,145.935484,168.000000,302.616667
112,1.527181,145.533333,161.000000,304.866667
