limit,time,average_power,max_power,estimated_max_power
30,4.279097,119.647059,131.000000,29.766667
35,4.233628,119.583333,137.000000,34.987500
40,3.116040,121.274194,139.000000,39.970833
45,2.715519,123.518519,148.000000,44.908333
50,3.214399,120.875000,145.000000,49.933333
55,2.423158,123.104167,142.000000,54.812500
60,1.774246,128.314286,150.000000,59.920833
65,1.872174,130.837838,148.000000,64.916667
70,1.949456,129.894737,149.000000,69.787500
75,2.219436,132.613636,143.000000,74.958333
80,2.268517,132.200000,148.000000,79.912500
85,2.116240,137.357143,148.000000,84.725000
90,2.147719,135.380952,151.000000,89.850000
95,2.017750,138.400000,150.000000,94.812500
100,1.164783,139.956522,152.000000,99.933333
105,2.271640,135.866667,149.000000,104.912500
110,2.021977,136.850000,158.000000,109.700000
115,1.369591,143.407407,159.000000,114.958333
120,2.065041,140.121951,157.000000,119.987500
125,1.613876,145.687500,157.000000,124.908333
130,2.238569,142.954545,157.000000,129.991667
135,1.489498,137.275862,152.000000,134.975000
140,1.540838,139.866667,158.000000,139.787500
145,1.663553,143.212121,162.000000,144.704167
150,1.521108,143.533333,158.000000,149.595833
155,1.540550,145.700000,160.000000,154.975000
160,1.394859,146.111111,166.000000,159.850000
165,2.623183,141.846154,159.000000,164.850000
170,1.734904,146.823529,161.000000,169.900000
175,2.314942,134.456522,155.000000,174.900000
180,1.439524,146.357143,161.000000,179.725000
185,1.487051,146.827586,161.000000,184.850000
190,2.316477,135.130435,154.000000,189.516667
195,1.669431,147.060606,166.000000,194.762500
200,1.484311,144.310345,157.000000,199.833333
205,1.492812,146.689655,165.000000,204.458333
210,1.532305,146.133333,163.000000,208.891667
215,1.469960,140.137931,157.000000,214.895833
220,1.563934,140.580645,157.000000,219.333333
225,2.294119,140.244444,159.000000,223.266667
230,1.433337,144.357143,157.000000,229.891667
235,1.422727,147.392857,171.000000,234.704167
240,1.463426,146.068966,168.000000,236.016667
245,2.313966,138.630435,160.000000,238.266667
250,1.441554,146.928571,169.000000,239.891667
255,1.513653,146.166667,162.000000,242.266667
260,1.513962,146.633333,158.000000,242.266667
265,1.520709,144.133333,160.000000,239.891667
270,1.499950,147.862069,163.000000,222.833333
275,1.469285,144.103448,165.000000,239.891667
280,1.464308,145.448276,166.000000,236.016667
285,1.443537,146.357143,166.000000,236.016667
290,1.464243,145.931034,171.000000,236.645833
295,2.346252,138.434783,163.000000,238.266667
300,1.474096,145.206897,160.000000,236.016667
305,1.449058,145.642857,164.000000,236.016667
310,1.364521,144.222222,161.000000,236.016667
315,1.464863,145.310345,161.000000,239.891667
320,1.467796,144.689655,159.000000,245.075000
325,1.531074,145.400000,158.000000,238.266667
330,1.499950,145.482759,168.000000,242.266667
