SAS,PAS
24.1140594065,24.1286150524
30.5738235359,30.6425546821
31.4159980023,31.5539913002
39.9668407056,39.6077498181
45.4923950453,45.5838745216
46.2297080193,45.8939714095
53.4471532379,55.1223806628
60.4093821052,60.6289044289
61.9515529355,61.8387256123
69.8779002669,70.6220179177
75.8235942787,76.112614467
76.6676885907,77.5560844745
85.58979258,86.5477971922
86.5104316591,88.541680377
92.4109355539,93.244670149
100.041757576,96.7681882398
101.692688122,101.821091677
107.263440128,104.140669365
113.304408901,113.014755144
113.795300072,115.664574041
119.178913296,117.646952186
127.392215243,123.13190255
129.267851187,123.99174921
133.652450061,134.367951768
137.310992026,134.450883769
136.657647562,139.696090395
145.164552398,145.684845783
140.601886789,146.011218776
157.70917965,141.620009251
154.971260655,153.67247875
164.752711289,158.10256536
155.668608073,161.450569532
160.153381081,160.467563529
172.198516225,168.963362134
170.014028764,156.985116285
160.498734993,163.287534156
182.426371077,145.362394936
158.263172212,144.912231078
178.37864162,165.097186024
181.659411612,182.217372283
181.43804171,183.445691897
182.780237211,190.097907017
197.337065404,180.215624636
153.542632089,193.304330874
180.680890023,192.55578081
189.332088366,192.505623815
189.879917368,196.440741938
208.544001049,196.719584212
199.318165954,172.99409618
207.167671701,201.031109984
181.766855,178.194649492
198.280186503,202.13993797
192.31187993,215.968336928
217.424336588,187.130050302
198.540235072,191.734684426
211.132556047,185.084868203
195.410758453,202.199283923
209.686009351,199.216918536
194.012796829,220.747255677
211.080743254,172.451507462
211.261459702,197.70888456
