SAS,PAS
22.4275757636,22.4275757636
29.8512579057,29.7892857679
31.96633338,32.00833338
38.9710691509,38.606289283
44.62866668,44.7270440566
46.60233334,46.4673077308
53.3020833333,54.4479166667
60.18600002,60.53300004
62.9325926444,62.9617021702
69.810606,70.3295454318
75.5670542558,75.6040740444
78.5636055306,78.4553192128
85.491269881,85.2372341064
89.0163121064,89.5581482
93.5603174762,94.3728682791
99.2606383617,98.3765152273
102.596428643,102.2968255
106.641085326,105.432916725
112.697500025,113.230952405
116.048188457,116.021481533
119.181007767,120.222727295
126.939024415,124.594573605
129.804263605,128.489922512
134.733712159,134.100406512
138.544583375,137.801250025
140.472072081,142.966666769
145.346296306,146.310810838
146.046296333,150.036937
156.22824075,149.870175474
155.56574075,159.030092611
165.404166639,163.068859632
158.137878818,166.056666657
163.534408613,163.844761914
173.140789474,172.257407472
171.154285714,166.239523886
172.438383879,179.146969667
182.902380943,173.617241379
175.7504762,169.262500063
179.180208406,177.063218379
183.686979219,187.127777788
185.080729188,186.508602129
188.347395906,191.266666636
197.604301129,188.625520844
178.367816103,190.969354871
185.9109375,189.472222167
186.291666735,189.308046069
196.693434485,196.419607882
211.220430097,196.570430065
199.43854175,176.544047714
215.080882353,200.981410231
197.541397839,179.23827163
205.419369405,208.643889
203.726960824,222.541358
219.975000059,194.189881
207.035294088,191.245061704
216.046568647,189.879166643
196.681410308,205.996153808
217.103030333,194.470115
196.213636394,221.788541688
214.873958344,195.045312531
211.6,194.600641077
