nthreads,energy,time,power,speedup
1,8426.3,76.0479,110.803,1
2,8426.3,76.0479,110.803,1
3,8426.3,76.0479,110.803,1
4,2817.2,24.3297,115.793,3.12572
5,2735.2,23.6518,115.644,3.21531
6,2797.55,24.0408,116.367,3.16328
7,2814.25,24.2623,115.993,3.13441
8,1541.95,12.9424,119.139,5.87587
9,1501.85,12.5446,119.721,6.0622
10,1587.15,13.3084,119.259,5.71428
11,1531.5,12.7397,120.215,5.96936
12,1241.8,9.99484,124.244,7.60872
13,1235.85,10.0406,123.085,7.57404
14,1268.45,10.183,124.565,7.46812
15,1224,9.70855,126.074,7.83309
16,883.1,6.89797,128.023,11.0247
17,874.05,6.89739,126.722,11.0256
18,989.55,7.35269,134.583,10.3429
19,882.05,7.00635,125.893,10.8541
20,892.7,6.80851,131.115,11.1695
21,880.95,6.69163,131.65,11.3646
22,930.5,6.75224,137.806,11.2626
23,899.6,6.95637,129.32,10.9321
24,847.1,6.28089,134.869,12.1078
25,826.05,6.23944,132.392,12.1883
26,846.55,6.28214,134.755,12.1054
27,846.4,6.14941,137.639,12.3667
28,867.2,6.08822,142.439,12.491
29,846.2,5.99641,141.118,12.6822
30,844.9,5.99514,140.931,12.6849
31,842.35,5.99192,140.581,12.6917
32,730.35,5.00311,145.979,15.2001
33,736.65,5.04507,146.014,15.0737
34,715.8,4.95923,144.337,15.3346
35,751.75,5.13829,146.304,14.8002
36,743.3,5.03219,147.709,15.1123
37,751.75,5.05769,148.635,15.0361
38,754.25,5.0301,149.947,15.1186
39,753.5,5.05204,149.148,15.0529
40,744,4.93498,150.76,15.41
41,733.55,4.86365,150.823,15.636
42,759.6,5.0034,151.817,15.1992
43,750.45,4.87951,153.796,15.5852
44,769.9,4.95696,155.317,15.3416
45,783.95,4.97661,157.527,15.2811
46,788.5,5.02776,156.829,15.1256
47,779.25,4.95071,157.402,15.361
48,754.05,4.76337,158.302,15.9651
49,790.15,4.88802,161.65,15.558
50,750.8,4.70779,159.48,16.1536
51,750.65,4.69591,159.852,16.1945
52,814.1,4.94979,164.472,15.3639
53,828.75,5.09734,162.585,14.9191
54,800.6,4.88453,163.905,15.5691
55,804.6,4.89966,164.215,15.5211
56,783.25,4.69801,166.72,16.1873
57,804.8,4.79951,167.684,15.8449
58,817.3,4.85219,168.439,15.6729
59,808.35,4.83562,167.166,15.7266
60,799.65,4.7912,166.9,15.8724
61,817.4,4.84048,168.868,15.7108
62,809.7,4.8391,167.325,15.7153
63,797.05,4.76178,167.385,15.9705
64,769.7,4.58028,168.046,16.6033
65,762.2,4.55634,167.283,16.6906
66,773.2,4.59557,168.249,16.5481
67,799.35,4.6809,170.768,16.2464
68,811.05,4.78353,169.551,15.8979
69,786.6,4.70644,167.133,16.1583
70,798.9,4.6945,170.178,16.1994
71,786.3,4.65966,168.746,16.3205
72,777.2,4.55998,170.439,16.6772
73,766.6,4.55997,168.115,16.6773
74,773.4,4.54242,170.262,16.7417
75,784.75,4.64012,169.123,16.3892
76,787.5,4.60714,170.93,16.5065
77,766.3,4.54347,168.66,16.7378
78,769.25,4.54719,169.17,16.7242
79,800.7,4.69335,170.603,16.2033
80,756.55,4.45961,169.645,17.0526
81,770.15,4.49499,171.335,16.9184
82,797.5,4.66051,171.119,16.3175
