nthreads,energy,time,power,speedup
1,17463.7,0.9573825,118.7921052,1
2,17463.7,0.5231329,119.87590905,1
3,17463.7,0.3649393,122.9228571,1
4,7386.55,0.3862064,121.2294345,2.5045
5,7210.55,0.35982205,122.54312495,2.5693
6,7329.35,0.3547036,122.4721428,2.54048
7,7266.05,0.3581847,121.7629167,2.55501
8,4108.75,0.1929986,129.60227275,4.65385
9,4156.05,0.19440235,128.12395115,4.65384
10,4163.65,0.19211285,128.6791668,4.65279
11,4065.55,0.1910287,128.76136365,4.77823
12,2915.4,0.13388365,133.75660835,6.88735
13,2966.95,0.1312721,133.301923,6.77909
14,2975.7,0.1300497,134.6474533,6.79071
15,2951.45,0.1265118,135.978205,6.81278
16,2333.75,0.1004881,141.04018055,9.08367
17,2293.45,0.09955315,140.34166665,9.0359
18,2217.05,0.0990289,141.12435895,9.55611
19,2315.5,0.09875145,140.6053029,9.03461
20,2017.45,0.0869279,144.8882575,10.7568
21,1991.35,0.08547585,145.3600758,11.1428
22,2070.8,0.0856325,145.8454545,10.6216
23,1981.5,0.0840162,146.42386365,10.7986
24,1631.45,0.06953215,150.9340908,13.6698
25,1680,0.07189865,151.11931825,13.2541
26,1653.5,0.0720064,151.0226515,13.6781
27,1730.15,0.07044905,151.65568175,13.0389
28,1600.2,0.0620705,158.02977285,15.0266
29,1686.9,0.06398505,157.45545455,14.2514
30,1623.7,0.0663009,156.63734845,14.7459
31,1644.95,0.06377995,157.6509847,14.3907
32,1459.6,0.05707345,162.41250005,16.8752
33,1456.05,0.057652,162.60303035,17.1105
34,1425.25,0.05793015,161.8575757,17.6829
35,1501.25,0.0579279,161.7600001,16.7056
36,1098.25,0.05277605,166.8867424,23.4707
37,1142.9,0.05352525,164.8261364,22.8022
38,1094.8,0.0530088,166.10151515,23.4601
39,1140.85,0.05297655,167.76265155,22.8577
40,1044.35,0.04997085,170.67530295,25.7924
41,1053.7,0.04961205,171.45053025,25.6565
42,1052.05,0.05008075,171.5636364,25.4364
43,1014,0.0491886,171.46136365,26.7999
44,980.6,0.04357835,177.7636363,28.6302
45,941.95,0.04478715,177.0763636,28.8909
46,964.8,0.04423985,178.5245454,29.332
47,961.05,0.0440926,178.3000001,28.4136
48,949,0.04234865,181.5354546,29.9085
49,948.75,0.04300315,181.79924235,29.9119
50,964.15,0.0422872,182.4128787,29.965
51,940.35,0.0426665,182.1681818,30.2528
52,899.65,0.0421309,185.1712122,32.7865
53,881.15,0.0420803,185.367803,32.744
54,903.45,0.0427453,184.9561364,32.1072
55,917.35,0.0416649,186.0867424,32.7649
56,845.35,0.04009735,190.3059091,35.031
57,845.8,0.0397673,191.81363635,34.9198
58,901.95,0.03968895,192.05674235,33.8181
59,887.95,0.0407126,190.69340905,34.735
60,876.15,0.03806065,194.5963636,35.1143
61,852.45,0.03892195,193.7636363,35.0223
62,868.5,0.0386469,194.04492425,34.9669
63,846.75,0.038909,193.67401525,34.8837
64,944.95,0.0386893,194.8137879,31.5137
65,952.45,0.03919195,193.71878785,31.5012
66,958.5,0.0390165,194.7863636,31.5159
67,933.95,0.03955225,193.74962125,31.5062
68,814.7,0.0391458,194.49181825,37.5245
69,831.8,0.039647,193.49901515,37.1003
70,790.95,0.0394634,193.91409095,38.3543
71,771.95,0.03944555,194.00909085,39.1935
72,778.35,0.03886055,195.059394,38.713
73,778.45,0.0390547,195.4429545,38.771
74,839.15,0.03876405,194.96363625,37.6311
75,800.8,0.038761,194.83545455,38.9124
76,747.65,0.03615075,199.19090915,40.9182
77,806,0.03766085,196.4299999,39.4664
78,793.4,0.0367245,197.9886364,39.1682
79,800.2,0.0369161,198.40795465,39.8332
80,746.55,0.03654505,199.17340905,41.5852
81,768.7,0.0372382,198.1068181,42.0332
82,773.3,0.0369487,198.3684849,41.9578
83,757.45,0.0369299,197.4136365,42.0444
84,679.4,0.03607455,200.51636365,46.0977
85,696.3,0.03652605,199.70727265,44.9296
86,704.55,0.0367739,198.52727275,44.7292
87,712,0.0367647,199.15500005,44.1517
88,695.05,0.03495025,202.40477265,45.7512
89,690.7,0.0351405,201.30363635,45.8112
90,721.45,0.0350531,202.1990909,43.296
91,736.9,0.03491475,201.99909095,43.3098
92,713.15,0.03507205,202.7136364,46.1959
93,649.25,0.03561195,201.7690152,49.1185
94,670.8,0.03550635,201.3109091,49.3025
95,753.6,0.035717,201.47090905,43.3784
96,653.85,0.0591188,164.26212135,49.1799
97,685.1,0.05841325,159.9587121,48.8645
98,689.9,0.0578472,159.53030295,48.5689
99,645.65,0.0590292,159.59196965,49.0794
100,641.7,0.05748525,160.21704545,52.4096
101,673.2,0.0592353,157.3420455,48.4488
102,642.85,0.0588502,159.12878785,49.2332
103,659.95,0.05786745,159.905303,48.2703
104,661,0.05886905,158.49537885,48.4583
105,651.05,0.06181145,157.0992425,49.9075
106,639.45,0.0595315,156.8938636,50.5995
107,689.9,0.06150025,156.65492415,48.2296
108,652.9,0.06180395,160.3844697,49.3987
109,637.3,0.0634455,159.72500005,50.025
110,679.85,0.06194145,160.2363637,49.0762
111,657.9,0.0627232,160.74242425,50.9011
112,610.4,0.0618513,161.2436363,53.5847
