SAS,PAS
26.2383501556,26.2259297273
26.483161125,26.4783452247
38.9806960494,38.9740783373
39.630195,39.7677653625
40.065223881,40.1319096627
52.0461721711,52.05102265
52.6581889762,52.7512042949
57.0848080533,57.3070573553
65.40929308,65.22452544
66.0642581026,65.9221691974
77.158143825,77.1399620125
77.4605675696,78.2772725789
79.3209789231,78.8229436104
89.8328432059,90.3977044091
92.9218014583,92.1897059853
100.6742945,100.065998814
104.084138125,104.147598938
105.925561952,105.758278304
113.999853419,113.282523904
116.771235415,117.460815121
120.788582214,119.924712672
128.652941103,127.183195455
129.379949383,128.552932387
136.48989893,135.97899681
139.521404476,139.632575804
141.120864393,142.061119678
149.714830212,149.864517982
150.43025421,152.775906656
154.32145452,157.320165273
160.965353517,163.344273203
166.241331361,169.832152
165.603816,172.445913667
174.393566492,170.8973554
178.66943569,173.61509098
181.702157102,180.973964082
185.364540158,183.926477885
189.042074654,195.976515231
186.600785593,195.059139774
201.104575176,193.953205077
202.7317906,201.35443725
200.139669345,199.922348482
206.841542727,216.865207648
205.8216364,208.594332222
211.690337283,212.361157
212.484729647,222.890633582
225.485722596,221.526777959
224.097250315,218.272955943
218.47133334,230.306313125
236.306911211,236.277304979
232.847202769,224.671469377
234.967352792,223.830710981
239.9390303,241.037812913
234.063111904,254.043995463
246.040939959,242.193011694
248.945656533,249.302462083
250.351928318,260.947727295
261.320023725,256.054174388
250.344972364,258.734980239
261.124758213,264.308596143
252.611750143,248.481395279
262.04830304,277.151267714
