threads,time,average_power,max_power,estimated_max_power
1,73.047183,117.341781,123.000000,13.266667
2,33.870350,119.327917,127.000000,26.312121
3,25.115007,122.033865,130.000000,39.357576
4,17.321381,123.780347,134.000000,52.403030
5,14.496710,125.242215,136.000000,65.448485
6,13.342489,123.578947,134.000000,78.493939
7,11.921324,128.521008,139.000000,91.539394
8,11.316968,128.526549,140.000000,104.584848
9,9.664420,130.580311,140.000000,117.630303
10,9.122605,131.153846,143.000000,130.675758
11,9.740822,131.530928,144.000000,143.721212
12,9.366109,131.197861,143.000000,156.766667
13,7.923404,134.601266,145.000000,169.812121
14,7.922137,133.449367,146.000000,182.857576
15,6.766291,138.348148,148.000000,195.903030
16,7.027259,133.492857,149.000000,208.948485
17,6.440349,140.093750,152.000000,221.993939
18,5.869545,141.094017,154.000000,235.039394
19,6.222371,138.919355,156.000000,248.084848
20,6.064103,141.652893,157.000000,261.130303
21,5.878190,140.820513,157.000000,274.175758
22,5.324868,143.773585,161.000000,276.612121
23,5.769775,142.408696,159.000000,289.436364
24,5.648630,144.955357,162.000000,302.703030
25,5.543627,143.463636,161.000000,304.639394
26,5.727223,143.903509,164.000000,318.184848
27,5.335843,146.500000,166.000000,318.839394
28,5.598607,147.180180,171.000000,323.057576
29,5.728393,146.649123,177.000000,323.712121
30,5.031273,151.760000,174.000000,325.890909
31,5.476880,147.220183,168.000000,336.412121
32,4.764525,150.589474,172.000000,340.593939
33,4.715681,154.797872,179.000000,341.681818
34,4.322568,155.511628,180.000000,334.636364
35,4.469547,155.404494,180.000000,336.290909
36,5.164362,154.320388,180.000000,336.690909
37,5.170276,152.252427,184.000000,339.818182
38,4.439001,152.750000,180.000000,338.257576
39,4.468651,156.404494,178.000000,343.254545
40,5.016827,153.830000,185.000000,340.345455
41,4.876623,155.979381,193.000000,343.472727
42,4.436251,158.931818,185.000000,344.115152
43,4.164813,158.698795,188.000000,343.678788
44,4.316151,160.953488,190.000000,344.533333
45,4.622283,156.793478,194.000000,350.666667
46,4.698057,159.483871,190.000000,347.909091
47,4.469570,158.865169,193.000000,344.300000
48,5.396339,155.084112,182.000000,352.763636
49,4.773060,159.936842,187.000000,352.933333
50,4.294020,163.635294,193.000000,354.878788
51,4.325250,162.825581,187.000000,365.733333
52,4.370492,162.724138,188.000000,367.454545
53,4.368822,161.356322,199.000000,352.239394
54,4.390995,161.218391,188.000000,364.078788
55,4.448536,164.159091,192.000000,362.387879
56,5.215291,160.019231,190.000000,370.872727
57,4.684414,162.946237,188.000000,373.648485
58,4.718169,162.255319,190.000000,371.454545
59,5.174783,163.058252,188.000000,373.236364
60,5.242750,162.298077,190.000000,372.957576
61,4.714428,165.138298,199.000000,390.239394
62,4.615331,167.293478,194.000000,362.445455
63,4.729938,164.361702,196.000000,372.318182
64,4.592835,163.923077,199.000000,382.703030
65,5.042342,165.160000,197.000000,388.060606
66,4.763810,167.684211,198.000000,391.957576
67,4.513946,166.011111,205.000000,381.215152
68,4.271202,166.376471,207.000000,388.290909
69,4.536605,168.788889,204.000000,385.927273
70,4.547083,168.377778,203.000000,391.939394
71,4.183012,169.096386,200.000000,396.866667
72,4.530077,167.722222,210.000000,390.148485
73,4.194437,164.927711,202.000000,406.957576
74,5.163340,164.077670,199.000000,394.854545
75,4.221124,168.511905,211.000000,392.300000
76,4.487282,166.056180,199.000000,377.775758
77,4.376081,165.597701,204.000000,369.336364
78,4.888173,165.216495,203.000000,393.718182
79,3.964266,169.329114,212.000000,373.627273
80,4.265005,168.964706,212.000000,406.969697
81,4.179667,168.012048,212.000000,401.366667
82,4.988735,165.090909,206.000000,391.827273
83,4.972329,167.424242,209.000000,386.587879
84,4.231458,168.773810,207.000000,393.087879
85,4.119783,170.719512,211.000000,382.575758
86,4.365841,166.643678,202.000000,410.872727
87,4.229123,168.250000,217.000000,382.069697
88,4.464209,167.393258,198.000000,409.624242
89,4.396399,168.965517,208.000000,402.072727
90,4.367396,169.908046,207.000000,394.321212
91,4.192515,169.228916,197.000000,412.515152
92,4.064468,167.407407,194.000000,415.009091
93,4.137782,170.573171,204.000000,420.703030
94,4.288030,171.364706,202.000000,398.081818
95,4.391409,170.919540,205.000000,411.236364
96,4.515063,169.122222,201.000000,431.618182
97,4.367088,171.919540,208.000000,437.800000
98,4.575246,169.967033,214.000000,422.766667
99,4.079248,170.962963,211.000000,426.590909
100,4.164048,170.987952,211.000000,409.057576
101,4.623043,169.913043,207.000000,445.218182
102,4.073802,169.456790,199.000000,426.287879
103,4.315218,170.918605,206.000000,450.442424
104,4.225309,171.595238,201.000000,445.909091
105,4.113750,171.853659,217.000000,451.860606
106,4.195507,170.506024,213.000000,461.836364
107,4.364386,170.321839,205.000000,455.084848
108,4.016098,171.387500,207.000000,416.833333
109,5.080885,164.841584,208.000000,455.072727
110,4.413822,170.215909,209.000000,452.245455
111,4.414013,167.420455,201.000000,441.009091
112,4.186633,165.542169,206.000000,420.984848
