threads,time,average_power,max_power,estimated_max_power
1,69.369640,116.914203,127.000000,13.266667
2,32.770616,119.636641,130.000000,26.312121
3,22.025476,121.620455,132.000000,39.357576
4,17.122491,122.871345,136.000000,52.403030
5,15.874147,124.719243,136.000000,65.448485
6,12.871892,127.540856,140.000000,78.493939
7,11.838659,127.775424,138.000000,91.539394
8,10.991204,129.858447,142.000000,104.584848
9,10.222185,130.534314,142.000000,117.630303
10,10.044026,130.400000,143.000000,130.675758
11,8.835204,133.443182,147.000000,143.721212
12,7.923610,131.620253,143.000000,156.766667
13,7.675507,134.908497,148.000000,169.812121
14,7.079692,136.617021,150.000000,182.636364
15,7.523764,136.153333,152.000000,195.681818
16,6.844091,136.750000,151.000000,208.727273
17,6.764450,138.792593,155.000000,221.772727
18,6.515390,140.315385,158.000000,234.818182
19,6.389422,140.102362,161.000000,247.863636
20,5.696570,143.168142,163.000000,260.909091
21,5.816794,144.422414,165.000000,273.954545
22,6.738702,138.917910,163.000000,276.390909
23,6.295720,142.856000,164.000000,289.436364
24,5.832262,143.620690,167.000000,279.481818
25,5.619239,145.491071,171.000000,280.136364
26,5.347831,148.122642,168.000000,284.354545
27,5.322570,148.424528,171.000000,297.400000
28,5.426013,146.703704,172.000000,296.272727
29,5.240562,149.951923,176.000000,300.490909
30,5.672278,147.831858,173.000000,306.490909
31,5.631551,146.705357,177.000000,319.536364
32,5.314223,151.009434,180.000000,325.454545
33,5.822495,149.155172,181.000000,315.500000
34,5.147965,151.941176,180.000000,320.318182
35,5.821807,149.293103,182.000000,337.072727
36,5.326846,150.471698,182.000000,325.336364
37,5.314251,150.613208,186.000000,339.327273
38,4.998288,152.171717,187.000000,336.218182
39,5.478710,149.596330,191.000000,344.621212
40,5.080426,154.267327,193.000000,357.445455
41,5.077585,153.287129,195.000000,357.754545
42,5.869436,149.982906,196.000000,349.581818
43,4.720848,157.255319,200.000000,349.200000
44,5.788378,153.504348,197.000000,347.563636
45,5.847571,151.198276,197.000000,351.272727
46,4.764220,156.778947,204.000000,364.318182
47,5.370013,153.476636,203.000000,350.254545
48,5.388490,156.607477,197.000000,356.454545
49,5.213833,158.615385,199.000000,366.590909
50,5.972234,153.605042,199.000000,374.063636
51,4.994448,158.101010,195.000000,372.318182
52,5.919308,156.186441,202.000000,374.118182
53,5.542630,156.554545,204.000000,376.063636
54,6.593093,152.503817,203.000000,383.827273
55,5.264642,156.800000,199.000000,373.481818
56,5.790594,157.208696,200.000000,385.336364
57,4.835725,160.177083,204.000000,388.754545
58,5.247477,159.115385,204.000000,380.790909
59,5.382356,159.878505,209.000000,375.363636
60,6.186909,155.878049,211.000000,392.500000
61,5.388840,159.168224,203.000000,394.936364
62,5.547848,160.345455,205.000000,401.736364
63,4.767043,163.294737,211.000000,393.936364
64,5.186989,161.009709,204.000000,390.300000
65,5.114490,161.666667,210.000000,400.336364
66,5.486017,156.963303,216.000000,400.118182
67,5.232323,162.951923,208.000000,413.245455
68,5.664789,155.769912,208.000000,396.936364
69,5.236937,160.846154,211.000000,402.300000
70,5.340325,162.462264,216.000000,413.809091
71,5.387406,163.728972,209.000000,421.772727
72,4.939067,162.285714,212.000000,418.881818
73,4.536925,164.000000,212.000000,404.009091
74,5.272866,162.228571,208.000000,418.554545
75,6.180059,158.894309,215.000000,416.209091
76,5.586917,161.441441,215.000000,416.281818
77,5.165060,163.427184,209.000000,410.609091
78,5.063839,164.306931,217.000000,415.518182
79,5.495010,162.192661,224.000000,414.900000
80,4.613872,165.076087,210.000000,412.445455
81,5.233205,164.153846,224.000000,426.372727
82,4.736080,166.031915,215.000000,420.409091
83,5.540150,161.127273,217.000000,423.663636
84,4.825975,165.104167,217.000000,431.045455
85,5.268620,164.038095,215.000000,440.063636
86,4.364669,168.816092,226.000000,445.172727
87,5.114063,164.137255,227.000000,441.881818
88,4.818060,166.510417,223.000000,440.627273
89,4.829714,165.895833,211.000000,439.336364
90,5.282755,165.323810,224.000000,444.063636
91,5.814163,162.353448,223.000000,440.390909
92,5.013689,165.470000,221.000000,443.172727
93,5.297834,167.533333,219.000000,412.172727
94,4.913839,165.530612,225.000000,430.454545
95,5.063923,166.237624,215.000000,444.572727
96,5.537828,165.318182,220.000000,441.681818
97,4.764587,164.789474,220.000000,447.527273
98,4.881932,166.494845,223.000000,458.918182
99,5.215725,166.980769,208.000000,449.627273
100,4.868301,168.927835,220.000000,445.518182
101,5.237813,164.509615,211.000000,463.500000
102,5.063611,166.475248,220.000000,457.190909
103,6.082367,161.669421,229.000000,464.318182
104,4.687485,162.806452,204.000000,480.990909
105,4.668211,169.129032,224.000000,464.954545
106,5.169987,165.281553,220.000000,425.645455
107,4.920262,164.846939,212.000000,473.590909
108,5.963978,163.453782,222.000000,461.754545
109,5.814197,160.612069,219.000000,465.645455
110,5.313632,163.273585,213.000000,462.318182
111,4.763049,169.431579,219.000000,451.709091
112,5.064222,165.970297,216.000000,474.354545
