limit,time,average_power,max_power,estimated_max_power
30,34.049111,120.257353,130.000000,29.266667
35,33.342214,120.747748,132.000000,34.800000
40,23.489338,120.667377,137.000000,39.357576
45,22.128847,123.364253,143.000000,44.933333
50,22.517195,123.166667,145.000000,49.812121
55,16.564705,125.114804,148.000000,54.990909
60,16.568169,125.114804,150.000000,59.724242
65,16.171618,124.455108,143.000000,64.948485
70,13.537764,126.985185,167.000000,69.869697
75,14.032575,127.703571,158.000000,74.578788
80,11.365544,130.581498,146.000000,79.378788
85,11.392014,129.660793,157.000000,84.936364
90,11.482539,130.978166,160.000000,89.781818
95,10.064929,132.407960,147.000000,94.730303
100,10.163950,133.241379,172.000000,99.972727
105,9.944994,131.040404,168.000000,104.803030
110,8.636391,135.703488,167.000000,109.972727
115,8.636407,135.906977,164.000000,114.996970
120,8.634674,135.401163,169.000000,119.918182
125,7.788348,137.380645,173.000000,124.533333
130,7.449082,141.445946,168.000000,129.984848
135,7.190330,139.937063,175.000000,134.981818
140,7.677810,140.614379,171.000000,139.984848
145,6.890318,144.000000,175.000000,144.466667
150,6.813820,142.477941,173.000000,149.509091
155,6.795518,145.666667,180.000000,154.860606
160,6.863938,146.759124,182.000000,159.872727
165,6.213400,149.854839,180.000000,164.948485
170,6.088238,150.165289,181.000000,169.918182
175,5.284094,152.209524,185.000000,174.990909
180,5.794893,153.156522,182.000000,179.854545
185,5.832136,148.853448,178.000000,184.624242
190,5.864572,151.760684,189.000000,189.963636
195,5.939796,148.338983,188.000000,194.821212
200,5.948914,151.500000,191.000000,199.933333
205,5.640081,154.973214,194.000000,204.639394
210,5.087977,156.445545,181.000000,209.942424
215,5.491812,157.669725,195.000000,214.812121
220,7.164110,150.363636,189.000000,219.784848
225,6.085603,156.413223,189.000000,224.890909
230,5.544578,161.918182,195.000000,229.866667
235,4.965589,161.545455,196.000000,234.918182
240,5.147414,162.754902,196.000000,239.796970
245,4.898149,163.319588,186.000000,244.972727
250,4.726413,164.468085,204.000000,249.930303
255,4.999377,161.020202,197.000000,254.745455
260,5.093787,160.712871,190.000000,259.657576
265,4.849741,166.468750,201.000000,264.766667
270,4.784647,166.705263,194.000000,269.818182
275,4.896351,166.453608,199.000000,275.000000
280,5.315597,165.349057,196.000000,279.748485
285,5.146839,163.098039,196.000000,284.936364
290,4.637096,169.239130,214.000000,289.930303
295,5.223765,163.836538,200.000000,294.642424
300,4.816489,164.520833,197.000000,299.778788
305,4.648361,167.652174,198.000000,304.909091
310,4.687230,171.440860,199.000000,309.942424
315,4.672839,172.333333,203.000000,314.296970
320,4.542243,163.100000,193.000000,319.787879
325,4.667507,168.376344,213.000000,324.966667
330,4.464238,171.224719,206.000000,329.957576
