threads,time,average_power,max_power,estimated_max_power
2,42.767997,108.133333,147.000000,30.100000
3,27.666553,110.222423,148.000000,45.150000
4,20.383808,112.213759,149.000000,59.450000
5,16.516659,113.878788,151.000000,75.250000
6,14.932515,115.083893,151.000000,90.300000
7,13.424598,115.697761,149.000000,104.600000
8,12.916688,117.170543,150.000000,119.650000
9,10.433030,118.336538,151.000000,134.700000
10,10.781796,119.088372,151.000000,149.750000
11,10.166872,119.748768,150.000000,164.050000
12,10.066471,120.492537,152.000000,178.350000
13,8.444578,121.613095,151.000000,186.316667
14,8.066990,122.447205,152.000000,200.616667
15,7.816305,123.512821,152.000000,202.450000
16,7.730009,122.727273,151.000000,194.700000
17,7.873185,123.898089,150.000000,204.633333
18,7.246026,123.826389,152.000000,216.966667
19,6.832978,126.816176,152.000000,220.033333
20,6.420587,128.859375,151.000000,219.700000
21,6.517957,126.384615,152.000000,220.300000
22,7.195473,125.699301,151.000000,236.533333
23,6.719078,126.537313,151.000000,237.466667
24,6.217318,127.887097,151.000000,237.816667
25,6.467526,128.612403,152.000000,238.216667
26,6.216974,129.217742,151.000000,240.833333
27,6.466973,130.333333,153.000000,241.983333
28,6.182830,130.487805,152.000000,240.566667
29,5.892992,131.649573,151.000000,241.716667
30,6.692722,128.466165,152.000000,241.716667
31,3.582709,154.253521,181.000000,241.716667
32,6.373671,129.874016,152.000000,245.833333
33,6.487715,130.062016,153.000000,247.633333
34,6.270124,130.968000,154.000000,244.066667
35,5.891325,132.188034,153.000000,250.316667
36,6.166409,131.300813,153.000000,249.733333
37,6.667725,131.090226,153.000000,249.633333
38,6.116237,133.155738,154.000000,252.316667
39,3.332523,158.969697,187.000000,251.733333
40,5.291953,136.733333,158.000000,251.733333
41,4.966463,138.141414,154.000000,253.983333
42,5.846708,133.336207,156.000000,253.733333
43,5.839155,132.534483,160.000000,255.816667
44,5.117224,135.872549,155.000000,255.233333
45,3.479943,163.130435,191.000000,260.250000
46,2.975417,169.966102,194.000000,259.816667
47,5.566874,137.729730,157.000000,259.733333
48,6.066707,134.157025,154.000000,262.100000
49,5.691263,136.592920,158.000000,261.916667
50,5.269752,138.800000,163.000000,262.483333
51,6.643267,132.727273,163.000000,261.400000
52,6.821386,134.264706,168.000000,263.733333
53,3.590668,164.577465,198.000000,260.650000
54,3.644468,166.513889,197.000000,266.900000
55,3.514233,166.557143,202.000000,268.583333
56,3.948368,163.679487,201.000000,271.933333
57,6.517377,135.184615,163.000000,265.166667
58,4.974687,142.363636,166.000000,267.350000
59,5.993949,138.848739,163.000000,276.483333
60,3.324726,162.848485,193.000000,280.700000
61,3.314648,172.106061,204.000000,274.566667
62,5.639661,139.973214,169.000000,270.183333
63,5.635535,139.696429,168.000000,279.133333
64,3.236625,172.781250,202.000000,273.700000
65,5.346911,142.811321,167.000000,277.450000
66,5.149762,143.039216,163.000000,268.800000
67,5.639059,140.205357,163.000000,276.766667
68,5.693231,140.477876,164.000000,287.950000
69,2.914611,178.206897,207.000000,276.316667
70,6.541642,136.030769,163.000000,277.216667
71,6.629493,136.696970,164.000000,281.433333
72,5.990481,138.226891,163.000000,281.916667
73,5.616530,140.767857,166.000000,289.850000
74,3.428815,173.529412,202.000000,282.533333
75,3.215942,175.609375,204.000000,283.833333
76,5.366625,143.196262,162.000000,286.700000
77,5.283184,142.104762,170.000000,284.533333
78,5.530024,141.118182,169.000000,284.833333
79,5.417477,141.953704,167.000000,287.850000
80,6.038761,138.825000,168.000000,276.283333
81,3.214432,175.703125,202.000000,300.416667
82,6.417711,138.218750,166.000000,302.416667
83,5.689862,140.486726,167.000000,296.266667
84,2.867250,176.964912,201.000000,300.800000
85,4.226920,167.095238,205.000000,311.066667
86,6.531598,138.738462,171.000000,312.333333
87,3.340769,173.818182,206.000000,313.616667
88,6.166939,140.780488,168.000000,315.150000
89,5.974743,138.445378,165.000000,296.566667
90,7.690336,135.241830,175.000000,316.983333
91,5.568784,143.126126,169.000000,297.950000
92,5.297197,144.542857,173.000000,293.066667
93,5.832760,141.706897,171.000000,320.266667
94,5.198282,143.669903,168.000000,304.550000
95,5.472500,142.422018,167.000000,296.550000
96,5.067369,146.178218,169.000000,304.733333
97,5.916139,141.508475,168.000000,310.900000
98,5.136325,144.254902,163.000000,303.366667
99,5.716871,146.315789,175.000000,303.050000
100,2.964482,180.118644,204.000000,305.116667
101,5.326239,144.716981,166.000000,314.416667
102,5.483611,147.073394,172.000000,309.383333
103,5.546195,143.709091,175.000000,309.366667
104,5.725043,141.184211,174.000000,314.800000
105,3.228146,177.546875,207.000000,306.650000
106,5.933031,142.296610,167.000000,310.966667
107,5.279411,146.000000,175.000000,320.783333
108,5.978854,142.302521,174.000000,325.333333
109,2.865215,179.508772,203.000000,313.933333
110,5.687947,144.053097,169.000000,324.650000
111,2.763777,180.618182,203.000000,319.883333
112,6.799471,139.288889,165.000000,325.350000
