threads,time,average_power,max_power,estimated_max_power
1,67.717066,107.006647,149.000000,24.100000
2,35.017064,109.032857,148.000000,38.400000
3,25.194647,111.566600,149.000000,54.200000
4,20.269256,113.219753,149.000000,69.250000
5,16.881695,114.626113,154.000000,83.550000
6,14.728041,116.414966,149.000000,98.600000
7,13.741012,116.667883,151.000000,114.400000
8,11.226735,119.196429,149.000000,128.700000
9,10.768360,119.562791,151.000000,139.000000
10,10.966551,118.757991,151.000000,158.800000
11,10.765976,118.572093,149.000000,173.850000
12,9.994712,120.733668,151.000000,188.150000
13,9.431375,119.840426,151.000000,202.450000
14,8.973229,121.217877,151.000000,202.800000
15,9.316369,119.784946,151.000000,202.450000
16,8.181921,124.147239,154.000000,232.400000
17,7.816748,122.044872,152.000000,232.750000
18,6.916169,126.347826,151.000000,209.350000
19,8.266478,123.333333,151.000000,211.183333
20,7.820073,123.602564,153.000000,226.816667
21,6.967309,127.187050,152.000000,234.966667
22,7.267955,127.165517,151.000000,235.566667
23,7.466981,125.429530,152.000000,216.816667
24,6.724814,128.067164,151.000000,217.416667
25,6.597373,128.251908,152.000000,241.233333
26,6.628402,128.681818,152.000000,240.566667
27,5.933060,128.152542,152.000000,243.150000
28,6.416842,129.421875,151.000000,235.466667
29,6.969195,128.057554,152.000000,243.850000
30,6.066102,130.388430,150.000000,236.166667
31,5.383788,133.841121,152.000000,243.783333
32,6.965760,127.625899,154.000000,236.450000
33,6.187978,132.162602,155.000000,235.266667
34,6.315766,131.976190,157.000000,235.200000
35,6.466668,129.891473,157.000000,235.550000
36,7.445319,128.000000,158.000000,239.733333
37,7.765830,127.096774,158.000000,250.100000
38,6.139260,132.688525,159.000000,247.733333
39,7.416654,129.256757,161.000000,244.833333
40,7.432934,128.493243,162.000000,248.183333
41,6.418037,130.398438,162.000000,244.833333
42,6.617437,131.856061,164.000000,253.133333
43,7.471493,128.637584,162.000000,248.666667
44,6.880766,131.620438,168.000000,253.266667
45,5.942024,132.694915,157.000000,256.616667
46,6.878239,130.233577,167.000000,253.550000
47,6.299195,132.520000,171.000000,248.833333
48,7.031611,130.257143,170.000000,253.550000
49,7.317352,129.534247,167.000000,258.883333
50,8.039331,128.037500,167.000000,267.950000
51,7.938485,127.303797,166.000000,266.583333
52,6.766368,131.844444,171.000000,257.283333
53,5.395498,138.280374,171.000000,266.933333
54,7.466612,131.275168,170.000000,265.216667
55,6.066422,136.553719,166.000000,270.866667
56,7.117028,131.500000,164.000000,268.600000
57,5.397624,138.411215,164.000000,270.783333
58,7.388062,130.442177,168.000000,268.166667
59,7.781909,130.638710,164.000000,276.700000
60,5.328335,140.113208,172.000000,275.883333
61,6.932283,133.166667,173.000000,275.583333
62,5.824115,135.146552,172.000000,285.283333
63,5.634282,137.660714,168.000000,284.600000
64,7.975220,130.188679,167.000000,286.550000
65,6.666950,133.962406,172.000000,283.916667
66,5.585655,140.522523,168.000000,279.133333
67,6.488555,135.364341,173.000000,289.266667
68,6.480340,134.457364,173.000000,285.250000
69,7.966484,130.528302,170.000000,287.316667
70,5.281638,140.828571,173.000000,289.050000
71,6.642157,137.204545,167.000000,294.000000
72,5.131163,144.254902,171.000000,289.116667
73,5.980898,141.302521,171.000000,288.483333
74,7.016337,133.678571,172.000000,293.050000
75,5.235284,143.884615,174.000000,300.216667
76,7.866548,132.203822,172.000000,293.883333
77,5.166607,141.844660,169.000000,291.583333
78,5.787997,142.113043,175.000000,291.666667
79,5.416662,142.212963,172.000000,304.766667
80,4.916182,143.500000,169.000000,295.050000
81,5.416356,141.851852,171.000000,289.850000
82,4.776169,146.000000,175.000000,308.883333
83,5.286293,144.257143,171.000000,300.766667
84,4.821183,146.062500,169.000000,300.416667
85,5.017623,145.930000,175.000000,287.216667
86,4.947170,145.683673,174.000000,302.483333
87,6.179988,138.146341,172.000000,294.050000
88,5.086263,144.554455,168.000000,298.483333
89,5.116847,146.921569,180.000000,302.016667
90,5.622466,139.883929,171.000000,293.516667
91,6.316650,138.658730,168.000000,304.616667
92,6.769505,137.274074,173.000000,304.466667
93,5.449814,143.861111,175.000000,311.566667
94,5.016602,146.410000,171.000000,301.616667
95,4.820380,144.739583,176.000000,308.150000
96,5.895685,141.794872,175.000000,309.316667
97,5.017025,145.190000,170.000000,308.016667
98,4.441323,147.375000,174.000000,314.266667
99,5.884511,141.581197,171.000000,307.466667
100,5.196543,146.427184,177.000000,308.833333
101,4.845901,147.687500,176.000000,309.733333
102,4.691147,146.139785,172.000000,308.150000
103,4.817747,147.166667,170.000000,318.050000
104,5.042743,145.100000,174.000000,309.666667
105,5.217831,143.384615,170.000000,311.683333
106,6.067846,141.719008,176.000000,309.683333
107,5.148319,145.882353,175.000000,310.700000
108,5.395627,144.672897,168.000000,315.766667
109,6.280907,142.016000,170.000000,314.133333
110,5.040378,147.310000,181.000000,317.016667
111,4.866435,145.268041,165.000000,318.266667
112,7.073569,135.765957,180.000000,326.083333
