limit,time,average_power,max_power,estimated_max_power
30,40.167168,109.770859,151.000000,29.966667
35,29.218391,111.270548,149.000000,34.966667
40,28.484968,110.537786,150.000000,39.900000
45,22.344553,112.221973,151.000000,44.850000
50,20.779849,112.995181,151.000000,49.816667
55,19.929187,109.881910,150.000000,54.950000
60,16.468756,115.215805,151.000000,59.900000
65,15.819377,115.806962,150.000000,64.933333
70,15.526706,113.206452,151.000000,70.000000
75,13.771020,118.109091,150.000000,74.950000
80,12.566999,119.007968,150.000000,79.916667
85,11.870876,118.755274,148.000000,84.616667
90,10.733676,118.406542,151.000000,89.900000
95,10.634041,120.797170,152.000000,94.900000
100,10.416562,120.038462,151.000000,99.816667
105,10.772221,122.874419,154.000000,105.000000
110,9.787359,123.656410,152.000000,109.950000
115,9.485081,123.195767,157.000000,114.850000
120,9.189727,124.584699,158.000000,120.000000
125,8.579203,120.900585,153.000000,124.816667
130,8.668607,125.959538,152.000000,129.933333
135,8.116586,125.759259,154.000000,134.966667
140,8.267368,125.672727,161.000000,139.950000
145,7.196604,129.398601,163.000000,144.750000
150,8.017280,126.918750,158.000000,149.950000
155,6.777076,129.244444,162.000000,154.966667
160,6.844331,130.955882,171.000000,159.716667
165,7.896325,125.987261,169.000000,164.183333
170,7.368080,132.979592,164.000000,169.433333
175,6.566530,135.778626,162.000000,174.950000
180,6.567127,135.610687,163.000000,179.966667
185,6.883214,134.985401,168.000000,184.800000
190,6.666154,135.834586,170.000000,189.950000
195,7.366150,133.993197,169.000000,194.516667
200,7.334790,132.308219,162.000000,199.966667
205,6.430691,135.437500,165.000000,204.966667
210,8.340546,131.843373,160.000000,209.366667
215,4.665356,161.161290,192.000000,214.916667
220,7.023285,134.471429,168.000000,219.033333
225,3.632077,164.486111,199.000000,224.900000
230,3.414073,170.338235,204.000000,229.600000
235,3.229024,172.281250,204.000000,234.583333
240,3.440721,173.426471,205.000000,239.766667
245,3.482410,172.376812,200.000000,244.866667
250,3.893936,168.506494,207.000000,249.133333
255,3.332362,173.409091,202.000000,254.416667
260,3.164408,178.857143,208.000000,259.750000
265,3.282472,175.738462,204.000000,263.983333
270,3.264521,174.215385,211.000000,268.433333
275,3.164608,177.873016,206.000000,274.683333
280,3.337026,177.030303,208.000000,278.233333
285,3.227367,176.765625,200.000000,284.166667
290,3.085243,177.967213,202.000000,289.500000
295,3.763547,161.906667,195.000000,290.116667
300,3.181514,176.666667,205.000000,296.866667
305,3.414191,177.029412,205.000000,304.700000
310,3.231767,177.578125,209.000000,306.966667
315,3.313976,178.772727,209.000000,313.666667
320,3.038334,181.600000,205.000000,319.216667
325,3.964171,168.835443,201.000000,324.633333
330,3.264447,177.184615,214.000000,327.683333
