threads,time,average_power,max_power
2,20.664143,124.493947,184.000000
3,14.840267,128.250000,188.000000
4,11.564575,130.852814,186.000000
5,9.714263,133.391753,184.000000
6,8.525707,134.782353,180.000000
7,8.130122,137.777778,187.000000
8,6.914347,139.760870,189.000000
9,6.270628,140.896000,189.000000
10,6.222848,142.040323,187.000000
11,6.023316,141.733333,190.000000
12,6.032055,141.891667,190.000000
13,5.765045,144.973913,189.000000
14,4.978042,145.767677,189.000000
15,5.072217,145.633663,189.000000
16,4.564703,148.692308,189.000000
17,5.044145,148.170000,189.000000
18,4.297092,149.988235,190.000000
19,4.316086,151.069767,191.000000
20,4.714373,149.723404,192.000000
21,4.064133,151.469136,190.000000
22,4.683243,149.225806,190.000000
23,4.815051,149.312500,191.000000
24,4.496715,149.741573,190.000000
25,4.432070,151.977273,190.000000
26,4.314699,152.534884,186.000000
27,4.539196,150.777778,191.000000
28,4.183619,153.650602,191.000000
29,3.693421,156.287671,191.000000
30,4.382764,151.747126,190.000000
31,3.781830,157.333333,186.000000
32,4.114288,154.609756,196.000000
33,4.169831,156.096386,195.000000
34,4.364951,154.735632,199.000000
35,3.515069,159.585714,199.000000
36,3.965231,156.506329,194.000000
37,3.734821,159.418919,200.000000
38,3.764678,159.360000,200.000000
39,4.014250,157.112500,197.000000
40,3.281614,161.461538,191.000000
41,3.680124,159.068493,199.000000
42,3.664857,158.684932,196.000000
43,3.764203,158.653333,209.000000
44,3.625520,160.375000,192.000000
45,3.165172,167.253968,190.000000
46,3.564141,162.619718,193.000000
47,3.935806,158.384615,197.000000
48,3.638159,164.222222,192.000000
49,3.927407,160.282051,204.000000
50,3.413678,165.735294,199.000000
51,3.165472,168.523810,195.000000
52,4.131403,158.231707,215.000000
53,3.471333,164.420290,217.000000
54,3.814364,163.092105,219.000000
55,3.968146,161.974684,218.000000
56,3.723015,163.162162,217.000000
57,3.334643,169.954545,215.000000
58,3.914382,164.589744,200.000000
59,3.264304,169.615385,215.000000
60,3.743895,164.635135,210.000000
61,4.040215,162.237500,210.000000
62,3.479560,168.028986,205.000000
63,3.196453,169.222222,204.000000
64,3.785958,167.226667,214.000000
65,3.290187,173.492308,219.000000
66,3.165091,173.158730,218.000000
67,2.863798,174.105263,210.000000
68,3.399306,169.343284,206.000000
69,2.830607,177.035714,216.000000
70,2.835626,176.125000,206.000000
71,2.925673,176.517241,197.000000
72,2.777532,177.036364,219.000000
73,3.180614,175.142857,209.000000
74,3.082543,173.573770,220.000000
75,2.764069,177.818182,211.000000
76,2.964861,177.355932,215.000000
77,2.715312,179.907407,208.000000
78,2.864625,178.947368,204.000000
79,2.689549,179.452830,209.000000
80,2.964905,177.644068,203.000000
81,2.764255,180.527273,211.000000
82,3.195988,174.714286,212.000000
83,2.714900,181.740741,220.000000
84,2.736913,180.629630,216.000000
85,3.224580,174.968750,213.000000
86,2.783972,180.709091,206.000000
87,3.431421,172.867647,207.000000
88,3.178951,173.904762,214.000000
89,2.929180,178.534483,213.000000
90,2.875694,179.157895,211.000000
91,2.977940,179.508475,208.000000
92,2.840696,180.107143,211.000000
93,2.849275,180.875000,204.000000
94,3.075724,179.901639,207.000000
95,2.799793,179.890909,202.000000
96,2.889985,178.421053,210.000000
97,2.730687,183.000000,205.000000
98,2.699335,181.981132,207.000000
99,3.727629,169.216216,202.000000
100,2.815026,181.410714,213.000000
101,2.674832,182.641509,216.000000
102,2.864144,180.771930,206.000000
103,2.864032,179.052632,205.000000
104,2.786568,180.290909,213.000000
105,3.114889,179.854839,213.000000
106,2.714599,181.592593,214.000000
107,2.964066,179.711864,213.000000
108,3.064232,177.540984,206.000000
109,2.777437,178.981818,224.000000
110,2.814231,179.214286,218.000000
111,2.813726,179.017857,203.000000
112,2.693285,179.452830,213.000000
