limit,time,average_power,max_power
30,33.518351,110.420896,152.000000
35,29.269027,111.121368,151.000000
40,22.468847,112.496659,151.000000
45,21.467775,112.550117,148.000000
50,17.169917,114.166181,151.000000
55,14.766076,116.061017,150.000000
60,13.426208,114.753731,151.000000
65,12.645176,119.321429,151.000000
70,11.738219,120.192308,151.000000
75,9.867343,122.131980,150.000000
80,10.317077,122.699029,151.000000
85,9.729858,122.876289,154.000000
90,8.621750,126.575581,152.000000
95,8.767181,124.685714,151.000000
100,9.592531,123.654450,151.000000
105,8.695525,124.277457,151.000000
110,7.935714,130.500000,157.000000
115,8.033957,126.731250,164.000000
120,7.037288,132.264286,161.000000
125,7.691854,130.705882,162.000000
130,7.525499,132.133333,161.000000
135,6.337719,136.515873,169.000000
140,7.385347,132.863946,162.000000
145,6.229163,135.056452,167.000000
150,6.182404,134.617886,169.000000
155,7.031055,132.592857,164.000000
160,6.632953,134.704545,167.000000
165,7.277434,130.496552,169.000000
170,7.080754,132.354610,175.000000
175,6.181609,136.739837,173.000000
180,6.580887,133.824427,166.000000
185,5.786377,137.165217,167.000000
190,6.067519,138.057851,166.000000
195,6.282341,136.312000,168.000000
200,7.127937,132.443662,163.000000
205,6.991805,133.187050,167.000000
210,6.781879,135.355556,174.000000
215,6.183540,136.056911,165.000000
220,5.566798,140.153153,172.000000
225,6.431545,137.640625,170.000000
230,6.866877,133.525547,165.000000
235,5.932284,137.389831,165.000000
240,5.794757,139.173913,168.000000
245,5.988037,137.521008,169.000000
250,6.786244,137.029630,165.000000
255,5.937585,139.186441,165.000000
260,6.446521,138.093750,171.000000
265,5.717800,140.017544,168.000000
270,5.891257,139.803419,168.000000
275,5.767435,139.869565,179.000000
280,6.279568,138.704000,169.000000
285,5.730802,143.421053,166.000000
290,5.538465,144.563636,173.000000
295,5.330094,144.877358,175.000000
300,6.222502,140.483871,169.000000
