nthreads,energy,time,power,speedup
1,17463.7,0.397475,115.6875,1
2,17463.7,0.1869109375,118.5625,1
3,17463.7,0.117406625,121.125,1
4,7386.55,0.08522875,118.25,2.5045
5,7210.55,0.075843625,122.1875,2.5693
6,7329.35,0.05574975,123.9375,2.54048
7,7266.05,0.0522239375,123.625,2.55501
8,4108.75,0.041634625,124.3125,4.65385
9,4156.05,0.03835225,126.6875,4.65384
10,4163.65,0.0354168125,128.125,4.65279
11,4065.55,0.0328999375,127.3125,4.77823
12,2915.4,0.0274721875,129.0625,6.88735
13,2966.95,0.0268655625,130.0625,6.77909
14,2975.7,0.029720625,130.25,6.79071
15,2951.45,0.0228675,130.6875,6.81278
16,2333.75,0.02197775,132.375,9.08367
17,2293.45,0.0214141875,132.75,9.0359
18,2217.05,0.019078875,134.5,9.55611
19,2315.5,0.0178115,132.625,9.03461
20,2017.45,0.019146875,135.375,10.7568
21,1991.35,0.0164958125,136.3125,11.1428
22,2070.8,0.0169508125,136.875,10.6216
23,1981.5,0.0152735,138.75,10.7986
24,1631.45,0.016296375,137.5,13.6698
25,1680,0.0135648125,141.5625,13.2541
26,1653.5,0.0128779375,142.125,13.6781
27,1730.15,0.0141300625,142.0,13.0389
28,1600.2,0.0127810625,143.625,15.0266
29,1686.9,0.0126809375,142.125,14.2514
30,1623.7,0.01226075,145.5,14.7459
31,1644.95,0.01231225,144.625,14.3907
32,1459.6,0.01232425,146.4375,16.8752
33,1456.05,0.01087525,148.8125,17.1105
34,1425.25,0.0108520625,148.375,17.6829
35,1501.25,0.0096898125,150.625,16.7056
36,1098.25,0.009472625,153.0,23.4707
37,1142.9,0.009886625,151.75,22.8022
38,1094.8,0.0098068125,151.75,23.4601
39,1140.85,0.009947875,152.5,22.8577
40,1044.35,0.0097736875,154.5625,25.7924
41,1053.7,0.0090103125,156.375,25.6565
42,1052.05,0.009430375,157.5625,25.4364
43,1014,0.00862475,158.5625,26.7999
44,980.6,0.0084066875,161.1875,28.6302
45,941.95,0.0085660625,160.875,28.8909
46,964.8,0.007977125,162.8125,29.332
47,961.05,0.0082399375,163.25,28.4136
48,949,0.00780525,164.875,29.9085
49,948.75,0.007826875,164.8125,29.9119
50,964.15,0.0078043125,166.5,29.965
51,940.35,0.007605875,167.0625,30.2528
52,899.65,0.007815875,167.5,32.7865
53,881.15,0.0075134375,169.0625,32.744
54,903.45,0.007227875,170.8125,32.1072
55,917.35,0.0070864375,171.0625,32.7649
56,845.35,0.00692375,173.125,35.031
57,845.8,0.0071210625,172.75,34.9198
58,901.95,0.0069526875,172.8125,33.8181
59,887.95,0.007332,173.125,34.735
60,876.15,0.006830375,171.625,35.1143
61,852.45,0.006809625,174.25,35.0223
62,868.5,0.0066601875,173.625,34.9669
63,846.75,0.0065304375,175.375,34.8837
64,944.95,0.0067605625,173.625,31.5137
65,952.45,0.00623075,175.25,31.5012
66,958.5,0.0064141875,175.3125,31.5159
67,933.95,0.006523375,175.4375,31.5062
68,814.7,0.0065085625,175.1875,37.5245
69,831.8,0.0061054375,176.1875,37.1003
70,790.95,0.0059794375,175.9375,38.3543
71,771.95,0.0058951875,177.0625,39.1935
72,778.35,0.0062431875,175.6875,38.713
73,778.45,0.00625125,176.75,38.771
74,839.15,0.00633725,176.3125,37.6311
75,800.8,0.006436625,175.4375,38.9124
76,747.65,0.0066443125,174.625,40.9182
77,806,0.0064385,176.0,39.4664
78,793.4,0.0064695,175.5,39.1682
79,800.2,0.0066405625,174.5625,39.8332
80,746.55,0.0069516875,174.25,41.5852
81,768.7,0.006814875,175.0625,42.0332
82,773.3,0.0066253125,175.0625,41.9578
83,757.45,0.007014375,174.1875,42.0444
84,679.4,0.007008875,173.875,46.0977
85,696.3,0.006676125,175.625,44.9296
86,704.55,0.007043625,173.75,44.7292
87,712,0.0068593125,175.1875,44.1517
88,695.05,0.006851875,174.3125,45.7512
89,690.7,0.006651,174.9375,45.8112
90,721.45,0.0064945,175.8125,43.296
91,736.9,0.006256125,176.375,43.3098
92,713.15,0.0061983125,176.4375,46.1959
93,649.25,0.0058396875,177.9375,49.1185
94,670.8,0.0053305625,179.6875,49.3025
95,753.6,0.0051510625,179.625,43.3784
96,653.85,0.0053494375,176.4375,49.1799
97,685.1,0.0049160625,181.375,48.8645
98,689.9,0.0046520625,181.6875,48.5689
99,645.65,0.0047761875,181.6875,49.0794
100,641.7,0.004720625,181.3125,52.4096
101,673.2,0.0046685,181.75,48.4488
102,642.85,0.0043265,184.0,49.2332
103,659.95,0.0045245625,182.4375,48.2703
104,661,0.0046175,182.25,48.4583
105,651.05,0.0043725625,182.5,49.9075
106,639.45,0.0044123125,183.25,50.5995
107,689.9,0.004461,183.5625,48.2296
108,652.9,0.004325,184.125,49.3987
109,637.3,0.0043231875,183.8125,50.025
110,679.85,0.0041956875,184.375,49.0762
111,657.9,0.00436325,184.25,50.9011
112,610.4,0.0041406875,185.8125,53.5847
