nthreads,energy,time,power,speedup
1,17463.7,0.5747426,119.933333333,1
2,17463.7,0.296171733333,122.2,1
3,17463.7,0.277694533333,121.933333333,1
4,7386.55,0.158025066667,124.4,2.5045
5,7210.55,0.1519298,127.0,2.5693
6,7329.35,0.111642,128.733333333,2.54048
7,7266.05,0.1107858,130.0,2.55501
8,4108.75,0.0892369333333,131.933333333,4.65385
9,4156.05,0.0825626666667,131.333333333,4.65384
10,4163.65,0.0675508,135.8,4.65279
11,4065.55,0.0719394666667,136.2,4.77823
12,2915.4,0.0577806,137.733333333,6.88735
13,2966.95,0.0607688,139.8,6.77909
14,2975.7,0.0539238666667,140.866666667,6.79071
15,2951.45,0.0517902,142.6,6.81278
16,2333.75,0.0476954666667,144.733333333,9.08367
17,2293.45,0.0480023333333,143.866666667,9.0359
18,2217.05,0.0444667333333,146.933333333,9.55611
19,2315.5,0.0440507333333,148.133333333,9.03461
20,2017.45,0.0395713333333,148.666666667,10.7568
21,1991.35,0.0413637333333,150.2,11.1428
22,2070.8,0.037055,152.933333333,10.6216
23,1981.5,0.0379059333333,153.333333333,10.7986
24,1631.45,0.0339837333333,155.666666667,13.6698
25,1680,0.0362435333333,152.6,13.2541
26,1653.5,0.0324359333333,158.6,13.6781
27,1730.15,0.0344474666667,158.2,13.0389
28,1600.2,0.0314384,161.2,15.0266
29,1686.9,0.032685,161.666666667,14.2514
30,1623.7,0.0296422,165.466666667,14.7459
31,1644.95,0.0312897333333,165.0,14.3907
32,1459.6,0.0291159333333,167.8,16.8752
33,1456.05,0.0314934666667,166.466666667,17.1105
34,1425.25,0.0278280666667,170.8,17.6829
35,1501.25,0.0290366,170.8,16.7056
36,1098.25,0.0269036666667,174.066666667,23.4707
37,1142.9,0.0288754,172.333333333,22.8022
38,1094.8,0.0253836666667,177.933333333,23.4601
39,1140.85,0.0276945333333,176.133333333,22.8577
40,1044.35,0.0255722666667,178.4,25.7924
41,1053.7,0.0276675333333,178.533333333,25.6565
42,1052.05,0.0250690666667,182.4,25.4364
43,1014,0.0271378,179.8,26.7999
44,980.6,0.0234548,185.866666667,28.6302
45,941.95,0.0252543333333,185.533333333,28.8909
46,964.8,0.0230090666667,191.0,29.332
47,961.05,0.025669,187.6,28.4136
48,949,0.0228950666667,191.533333333,29.9085
49,948.75,0.0249102666667,189.8,29.9119
50,964.15,0.0218435333333,195.6,29.965
51,940.35,0.0240936,193.6,30.2528
52,899.65,0.0220168666667,197.266666667,32.7865
53,881.15,0.0248218,194.0,32.744
54,903.45,0.0215073333333,199.4,32.1072
55,917.35,0.0238941333333,195.733333333,32.7649
56,845.35,0.021231,202.2,35.031
57,845.8,0.037574,186.2,34.9198
58,901.95,0.0216161333333,200.266666667,33.8181
59,887.95,0.0384600666667,188.6,34.735
60,876.15,0.0214871333333,204.866666667,35.1143
61,852.45,0.0410494,187.2,35.0223
62,868.5,0.0220134,204.0,34.9669
63,846.75,0.0379164,191.2,34.8837
64,944.95,0.02081,205.333333333,31.5137
65,952.45,0.0380296,190.866666667,31.5012
66,958.5,0.0220814,205.466666667,31.5159
67,933.95,0.0375866666667,191.666666667,31.5062
68,814.7,0.0208562,207.466666667,37.5245
69,831.8,0.0366526666667,194.266666667,37.1003
70,790.95,0.0222524,204.133333333,38.3543
71,771.95,0.0372318,190.866666667,39.1935
72,778.35,0.0204305333333,209.066666667,38.713
73,778.45,0.0337304666667,195.666666667,38.771
74,839.15,0.0235591333333,205.333333333,37.6311
75,800.8,0.0405816,192.0,38.9124
76,747.65,0.0206372666667,210.866666667,40.9182
77,806,0.0331508,198.066666667,39.4664
78,793.4,0.0235925333333,205.266666667,39.1682
79,800.2,0.0408317333333,192.933333333,39.8332
80,746.55,0.0207540666667,208.133333333,41.5852
81,768.7,0.0311432666667,198.933333333,42.0332
82,773.3,0.0248944,204.133333333,41.9578
83,757.45,0.0437276,191.8,42.0444
84,679.4,0.0206181333333,209.6,46.0977
85,696.3,0.0307980666667,199.333333333,44.9296
86,704.55,0.0228120666667,206.066666667,44.7292
87,712,0.035587,194.333333333,44.1517
88,695.05,0.0395611333333,201.4,45.7512
89,690.7,0.0474088666667,195.266666667,45.8112
90,721.45,0.0550020666667,199.133333333,43.296
91,736.9,0.0644702,192.4,43.3098
92,713.15,0.138203533333,186.4,46.1959
93,649.25,0.274560466667,147.266666667,49.1185
94,670.8,0.297610666667,151.466666667,49.3025
95,753.6,0.297698866667,149.333333333,43.3784
96,653.85,0.270286533333,153.0,49.1799
97,685.1,0.3246606,147.666666667,48.8645
98,689.9,0.3405086,151.8,48.5689
99,645.65,0.357582333333,147.4,49.0794
100,641.7,0.313587,153.8,52.4096
101,673.2,0.3577996,148.266666667,48.4488
102,642.85,0.282607933333,152.666666667,49.2332
103,659.95,0.3541604,148.533333333,48.2703
104,661,0.346404266667,150.2,48.4583
105,651.05,0.335159933333,147.333333333,49.9075
106,639.45,0.3418592,150.733333333,50.5995
107,689.9,0.323239533333,150.466666667,48.2296
108,652.9,0.341835466667,155.666666667,49.3987
109,637.3,0.349183133333,149.6,50.025
110,679.85,0.318190066667,154.8,49.0762
111,657.9,0.324752866667,148.666666667,50.9011
112,610.4,0.363890066667,152.8,53.5847
