nthreads,energy,time,power,speedup
1,17463.7,0.0046625,117.375,1
2,17463.7,0.0078415,120.875,1
3,17463.7,0.00712825,123.0,1
4,7386.55,0.005014625,125.125,2.5045
5,7210.55,0.0049715,119.875,2.5693
6,7329.35,0.005048,126.375,2.54048
7,7266.05,0.00410125,127.375,2.55501
8,4108.75,0.004212625,129.0,4.65385
9,4156.05,0.004381875,128.125,4.65384
10,4163.65,0.00449475,130.5,4.65279
11,4065.55,0.004568125,129.75,4.77823
12,2915.4,0.00408275,131.375,6.88735
13,2966.95,0.004121,131.875,6.77909
14,2975.7,0.0043805,132.625,6.79071
15,2951.45,0.00448625,134.375,6.81278
16,2333.75,0.00407325,127.875,9.08367
17,2293.45,0.004083875,136.25,9.0359
18,2217.05,0.0038645,137.125,9.55611
19,2315.5,0.003918375,135.5,9.03461
20,2017.45,0.003860375,138.5,10.7568
21,1991.35,0.004107875,139.0,11.1428
22,2070.8,0.004108875,137.875,10.6216
23,1981.5,0.003714,140.25,10.7986
24,1631.45,0.00395825,140.5,13.6698
25,1680,0.004162625,141.625,13.2541
26,1653.5,0.0038935,142.25,13.6781
27,1730.15,0.003834125,143.5,13.0389
28,1600.2,0.004019375,144.125,15.0266
29,1686.9,0.004124125,144.875,14.2514
30,1623.7,0.004334625,142.5,14.7459
31,1644.95,0.004292125,146.75,14.3907
32,1459.6,0.004477625,145.0,16.8752
33,1456.05,0.00418675,146.5,17.1105
34,1425.25,0.004465,147.5,17.6829
35,1501.25,0.00435675,148.75,16.7056
36,1098.25,0.004100375,149.125,23.4707
37,1142.9,0.004431,151.125,22.8022
38,1094.8,0.00422825,152.5,23.4601
39,1140.85,0.00438325,153.0,22.8577
40,1044.35,0.0039645,153.25,25.7924
41,1053.7,0.0044445,155.125,25.6565
42,1052.05,0.004501375,154.25,25.4364
43,1014,0.004029125,157.625,26.7999
44,980.6,0.004170125,156.25,28.6302
45,941.95,0.00433675,155.0,28.8909
46,964.8,0.00384125,160.75,29.332
47,961.05,0.00403175,161.75,28.4136
48,949,0.00428825,161.75,29.9085
49,948.75,0.00449225,162.0,29.9119
50,964.15,0.004119375,164.625,29.965
51,940.35,0.0041855,165.875,30.2528
52,899.65,0.004315375,165.875,32.7865
53,881.15,0.004692125,165.875,32.744
54,903.45,0.0040865,168.75,32.1072
55,917.35,0.0042115,169.625,32.7649
56,845.35,0.004265875,170.5,35.031
57,845.8,0.0050375,170.0,34.9198
58,901.95,0.004338625,170.75,33.8181
59,887.95,0.004504375,170.875,34.735
60,876.15,0.004826,171.625,35.1143
61,852.45,0.0048955,171.125,35.0223
62,868.5,0.00442575,172.875,34.9669
63,846.75,0.004565375,172.75,34.8837
64,944.95,0.004779125,171.5,31.5137
65,952.45,0.005174875,171.125,31.5012
66,958.5,0.004435625,174.625,31.5159
67,933.95,0.00460375,173.75,31.5062
68,814.7,0.004877375,173.5,37.5245
69,831.8,0.005053625,173.875,37.1003
70,790.95,0.004645875,173.25,38.3543
71,771.95,0.0048425,173.875,39.1935
72,778.35,0.00501725,174.0,38.713
73,778.45,0.0052455,173.0,38.771
74,839.15,0.004568875,174.125,37.6311
75,800.8,0.0048275,174.75,38.9124
76,747.65,0.00500675,174.875,40.9182
77,806,0.00507175,175.125,39.4664
78,793.4,0.004603875,175.875,39.1682
79,800.2,0.000297625,169.625,39.8332
80,746.55,0.00029975,169.5,41.5852
81,768.7,0.00029775,169.0,42.0332
82,773.3,0.000289875,168.0,41.9578
83,757.45,0.000287,167.875,42.0444
84,679.4,0.0002715,169.125,46.0977
85,696.3,0.0002685,169.0,44.9296
86,704.55,0.00027575,169.5,44.7292
87,712,0.000282875,169.125,44.1517
88,695.05,0.00025325,169.75,45.7512
89,690.7,0.000260125,170.125,45.8112
90,721.45,0.000258,169.875,43.296
91,736.9,0.0002495,170.0,43.3098
92,713.15,0.000251125,169.625,46.1959
93,649.25,0.000255,170.125,49.1185
94,670.8,0.000252375,170.125,49.3025
95,753.6,0.000251875,169.875,43.3784
96,653.85,0.00024375,170.625,49.1799
97,685.1,0.000249625,170.375,48.8645
98,689.9,0.000245375,170.5,48.5689
99,645.65,0.00025525,170.5,49.0794
100,641.7,0.0002365,171.0,52.4096
101,673.2,0.000242375,171.125,48.4488
102,642.85,0.0002385,171.0,49.2332
103,659.95,0.000243875,171.0,48.2703
104,661,0.000242625,170.375,48.4583
105,651.05,0.00023375,171.125,49.9075
106,639.45,0.0055125,179.125,50.5995
107,689.9,0.00471475,181.5,48.2296
108,652.9,0.005251875,180.75,49.3987
109,637.3,0.005524375,180.625,50.025
110,679.85,0.004968125,182.125,49.0762
111,657.9,0.005467375,181.0,50.9011
112,610.4,0.0047175,183.25,53.5847
