nthreads,energy,time,power,speedup
1,17463.7,0.00317575,116.4375,1
2,17463.7,0.0064911875,119.5625,1
3,17463.7,0.006134625,122.0625,1
4,7386.55,0.0042968125,122.75,2.5045
5,7210.55,0.0043891875,125.0625,2.5693
6,7329.35,0.0045285,125.25,2.54048
7,7266.05,0.00358625,125.875,2.55501
8,4108.75,0.003825,124.875,4.65385
9,4156.05,0.0040146875,128.6875,4.65384
10,4163.65,0.0040928125,128.5,4.65279
11,4065.55,0.004221,129.4375,4.77823
12,2915.4,0.003788625,129.125,6.88735
13,2966.95,0.003800375,130.75,6.77909
14,2975.7,0.004059625,129.0,6.79071
15,2951.45,0.0040679375,131.375,6.81278
16,2333.75,0.0037735,132.875,9.08367
17,2293.45,0.003878875,133.375,9.0359
18,2217.05,0.004000375,134.1875,9.55611
19,2315.5,0.003727625,135.875,9.03461
20,2017.45,0.0036621875,136.625,10.7568
21,1991.35,0.0038856875,136.75,11.1428
22,2070.8,0.003791,137.6875,10.6216
23,1981.5,0.0035725625,138.5,10.7986
24,1631.45,0.0037540625,139.5625,13.6698
25,1680,0.003917625,139.25,13.2541
26,1653.5,0.00401675,137.6875,13.6781
27,1730.15,0.0035786875,142.0,13.0389
28,1600.2,0.0038161875,143.125,15.0266
29,1686.9,0.0040105,141.8125,14.2514
30,1623.7,0.0039823125,144.4375,14.7459
31,1644.95,0.00386,145.0,14.3907
32,1459.6,0.004088875,142.0,16.8752
33,1456.05,0.0040149375,146.0,17.1105
34,1425.25,0.00424725,146.875,17.6829
35,1501.25,0.003873625,147.625,16.7056
36,1098.25,0.003914625,148.75,23.4707
37,1142.9,0.0041999375,148.9375,22.8022
38,1094.8,0.0041643125,150.1875,23.4601
39,1140.85,0.00418225,149.4375,22.8577
40,1044.35,0.0038003125,152.5,25.7924
41,1053.7,0.004223875,153.375,25.6565
42,1052.05,0.004294875,152.75,25.4364
43,1014,0.003881125,155.75,26.7999
44,980.6,0.0040265,153.0,28.6302
45,941.95,0.004124375,156.625,28.8909
46,964.8,0.0037114375,158.4375,29.332
47,961.05,0.0039225,159.5625,28.4136
48,949,0.004024375,160.25,29.9085
49,948.75,0.00419475,160.4375,29.9119
50,964.15,0.00395425,161.0,29.965
51,940.35,0.004012375,163.375,30.2528
52,899.65,0.0041899375,163.75,32.7865
53,881.15,0.0044116875,163.5,32.744
54,903.45,0.0038435625,165.1875,32.1072
55,917.35,0.0039530625,166.9375,32.7649
56,845.35,0.004128,167.125,35.031
57,845.8,0.0047566875,166.5625,34.9198
58,901.95,0.00415675,168.0,33.8181
59,887.95,0.004291,168.1875,34.735
60,876.15,0.0045886875,166.0,35.1143
61,852.45,0.0046841875,168.6875,35.0223
62,868.5,0.004173375,168.3125,34.9669
63,846.75,0.00439425,169.1875,34.8837
64,944.95,0.0045199375,168.5625,31.5137
65,952.45,0.005206375,168.875,31.5012
66,958.5,0.0044980625,168.9375,31.5159
67,933.95,0.0046651875,169.0,31.5062
68,814.7,0.004924625,170.1875,37.5245
69,831.8,0.005004625,170.25,37.1003
70,790.95,0.004651125,170.25,38.3543
71,771.95,0.0049336875,170.125,39.1935
72,778.35,0.0050674375,170.5625,38.713
73,778.45,0.0052245625,170.0625,38.771
74,839.15,0.0045919375,171.1875,37.6311
75,800.8,0.004864125,170.375,38.9124
76,747.65,0.0050284375,171.1875,40.9182
77,806,0.0051111875,170.5625,39.4664
78,793.4,0.004629125,171.125,39.1682
79,800.2,0.0008765,165.5,39.8332
80,746.55,0.00090275,166.875,41.5852
81,768.7,0.000932625,166.4375,42.0332
82,773.3,0.0008484375,166.375,41.9578
83,757.45,0.0009055625,166.1875,42.0444
84,679.4,0.000914875,166.25,46.0977
85,696.3,0.000895,166.375,44.9296
86,704.55,0.0009069375,166.5,44.7292
87,712,0.0008665625,167.125,44.1517
88,695.05,0.0008975,167.9375,45.7512
89,690.7,0.0009261875,168.0625,45.8112
90,721.45,0.000854375,167.75,43.296
91,736.9,0.000863125,167.8125,43.3098
92,713.15,0.0008529375,168.1875,46.1959
93,649.25,0.000879,167.9375,49.1185
94,670.8,0.0008448125,168.25,49.3025
95,753.6,0.000867,168.3125,43.3784
96,653.85,0.00088425,167.3125,49.1799
97,685.1,0.0008601875,168.0625,48.8645
98,689.9,0.000843875,169.4375,48.5689
99,645.65,0.0008730625,168.375,49.0794
100,641.7,0.00085575,169.4375,52.4096
101,673.2,0.00088975,168.625,48.4488
102,642.85,0.0008285625,169.25,49.2332
103,659.95,0.00085575,169.8125,48.2703
104,661,0.000900625,169.5,48.4583
105,651.05,0.000866625,169.6875,49.9075
106,639.45,0.0054081875,175.3125,50.5995
107,689.9,0.004712,178.0625,48.2296
108,652.9,0.0051964375,177.4375,49.3987
109,637.3,0.0054168125,176.3125,50.025
110,679.85,0.0051806875,177.875,49.0762
111,657.9,0.005590375,177.1875,50.9011
112,610.4,0.0047376875,179.75,53.5847
